Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7597486254046945,0.9998440742492676,221.87757856390448,190.08450283093399,0.9999743103981018,241.20728910639042,171.68189573823736,0.9996689558029175,204.865448340941,175.94871949613764,0.9995251297950745,270.74484835849717,187.4853241309691,0.9989233016967773,171.74428875526684,198.4970950008778,0.9603758454322815,326.9072594803371,313.7206482619382,0.9766062498092651,125.58947616748594,317.0434844627809,0.9941443204879761,362.80597129564603,448.99490870786514,0.9993993043899536,96.4278386148174,446.860077247191,0.9884055852890015,295.8519959181882,535.2367341116573,0.9980658292770386,155.6497981039326,495.87468179424155,0.8490933775901794,302.76153221558985,600.5980622366573,0.7142473459243774,160.8670283971208,600.9547270014044,0.20887836813926697,309.21661034058985,720.8576742450842,0.11175253987312317,167.71322528967698,736.6724455758426,0.07785052061080933,312.53889791081457,736.1632066362359,0.03897157311439514,322.62994316186797,549.786802141854
1,0.7556769479723537,0.9998151063919067,222.2578618767556,189.5590792880969,0.9999819993972778,241.2619052844101,171.04327598314606,0.9996134042739868,205.04655130793537,175.43003039413622,0.9995814561843872,270.661346778441,187.14400730775984,0.9989384412765503,172.27486942591293,198.08198735955057,0.9546774625778198,325.7472074701545,313.55060020189603,0.9748190641403198,125.78797072507021,316.8746708216292,0.994610071182251,362.7319610252809,448.1803568293539,0.9993472099304199,96.28880190045646,446.5817295031601,0.9867392182350159,293.7519476386938,534.546721383427,0.9971011877059937,158.90166893433985,496.06264264396066,0.8734821081161499,300.68718728054773,606.150697858146,0.6935673952102661,162.61743438377806,602.387420997191,0.14966464042663574,307.9643060919944,719.2836530021067,0.08921033143997192,309.5625768082865,724.2159519838483,0.09926918148994446,312.2046995698736,733.7182891502808,0.03608983755111694,310.11005530196627,735.5974038799158
2,0.7490927016033846,0.9997979402542114,220.9441384304775,187.81629926702948,0.9999845027923584,240.97263979108146,170.4870879784059,0.9995794296264648,205.0926911429073,174.4286560744382,0.9995847940444946,270.73626228932585,186.58474697155899,0.9988739490509033,172.1092927054073,197.7135956153441,0.9582968354225159,327.5696486569522,313.6852890186095,0.9699557423591614,125.02754125702248,317.0804895979635,0.9969218373298645,362.31708655196627,447.10100838307585,0.9992839097976685,96.05723863237358,446.3079353932584,0.9810959696769714,287.85959993855334,533.4620786516854,0.996154248714447,160.2461979898174,496.8040071980337,0.811417818069458,299.28038864992976,609.2303809691011,0.7012609839439392,162.0483947068118,601.6590041257023,0.14318594336509705,309.2204507549157,718.6641941713483,0.0821412205696106,310.6669702422753,723.7440199262641,0.06923002004623413,313.3443699525983,735.6959379389044,0.027810782194137573,311.7737227879213,737.0482026860955
3,0.7428382179316353,0.9998065233230591,221.13681750351122,187.61166004652387,0.9999860525131226,240.96742780021066,170.1361426878511,0.9995983839035034,204.80811644136236,174.43426582250703,0.9995996952056885,270.5143960674157,186.37536209620785,0.9988480806350708,171.9791849543539,197.6214942503511,0.9644547700881958,326.86795009655896,313.65338614817415,0.9714493155479431,125.24271418539325,317.2578618767556,0.9975500702857971,361.5154823560393,446.4116540115871,0.999255895614624,95.92794011148175,446.7374308725421,0.962334394454956,286.69792946804773,530.8047862535112,0.9932788610458374,162.35052558813203,500.8859835849719,0.6934237480163574,297.98616902212075,608.5707075140449,0.7764187455177307,159.69150500351122,581.0422335849719,0.12575557827949524,309.24670272998594,715.1729832338483,0.06834402680397034,310.11740695224717,720.80078125,0.047472983598709106,312.6847513606039,734.607729108146,0.030672580003738403,311.00964492626406,736.3413469978932
4,0.7447785998091978,0.9998307228088379,221.34057891502806,187.36245830407302,0.9999865293502808,240.6580275632022,169.90959938992276,0.9995973706245422,206.4920832601826,174.4765378116222,0.9995583891868591,270.6708929511938,186.1521791608146,0.9988328218460083,172.04252435919943,197.40164424596207,0.9643070101737976,325.96583677141854,313.20702027738764,0.9693666696548462,125.10281337780899,316.9798981741573,0.9971647262573242,361.16002457865164,445.93818578827245,0.9991493225097656,95.78886224982443,446.81256583567415,0.9794349670410156,288.94514791081457,525.4019816537922,0.9860087633132935,155.09096295646066,509.4295338834269,0.7823395729064941,295.65289786692415,618.0801768785112,0.7172552347183228,166.97646923279495,597.4403089887641,0.11872062087059021,310.438630179073,717.8438816713483,0.07159170508384705,310.28345000877806,722.1037789676966,0.050329625606536865,315.1095615344101,733.4517643960673,0.027762144804000854,314.0999714712079,734.0142205056179
5,0.7581504232743207,0.9997972846031189,220.5042189694522,187.05949076106037,0.9999850392341614,240.08698538448033,169.56475761499297,0.9996768236160278,205.81787109375,174.1672610165028,0.999616801738739,270.4887201544944,186.14986119645366,0.9986660480499268,171.66171984726122,196.6872037394663,0.9662397503852844,324.9476057759831,313.1764066889045,0.9734915494918823,125.21174398700842,316.79520167661514,0.9961452484130859,361.4380705758427,446.0905953739466,0.9992889165878296,96.52009085323033,446.8722019838483,0.9797571897506714,288.2458633251404,529.208984375,0.9902560710906982,163.06829902563203,509.6366968047753,0.8213631510734558,297.27314123946627,605.7350004389044,0.8019576668739319,160.43127852879212,595.6170997191011,0.13971370458602905,309.77198911516854,717.2923981741573,0.09505966305732727,311.2616858321629,721.4141502808989,0.08101791143417358,314.5873200491573,733.2862974016854,0.046524375677108765,313.2165664501404,734.7779691889044
6,0.7493775381761438,0.9997955560684204,220.4631539676966,187.2152469935042,0.9999845027923584,240.31483168012642,169.64548861042837,0.9996974468231201,205.86494360077245,174.10767973139045,0.9996670484542847,270.22735252808985,186.3391387596559,0.9988061785697937,171.95531952247188,196.84400237008427,0.9688594341278076,326.75183242626406,310.6775588132022,0.9746934771537781,124.99149622542134,316.40476869733146,0.9967646598815918,362.6293670997191,445.66389791081457,0.9994375705718994,96.62053140361655,447.13771177141854,0.9821298122406006,286.3481500175562,530.8181179775281,0.9922760725021362,153.98278397120788,508.6449372366573,0.7457282543182373,305.5272888869382,588.5160639044943,0.7578799724578857,159.11047774754212,596.145815045646,0.12625181674957275,310.1932277036517,718.1896835498595,0.12662503123283386,310.2824076106039,722.001130179073,0.046711117029190063,315.5909026070927,735.2703651685393,0.02411019802093506,313.7548828125,737.8264900807584
7,0.7419076561927795,0.9998126029968262,221.10957799332863,187.40726770979634,0.9999843835830688,240.56670799683985,169.7768033488413,0.9996638298034668,206.02363500702245,174.65572057145366,0.9995771050453186,270.5013660902388,186.38926988237358,0.9987714290618896,171.91806750351122,197.4790834576896,0.9613672494888306,326.86619447858146,312.31555038623594,0.9710237979888916,125.8006166608146,316.83991507198033,0.996351420879364,362.6888386587079,445.73804533883424,0.9991937875747681,94.55054808198736,447.9606851299157,0.9919242858886719,289.27385994557585,531.0417946804776,0.988670289516449,152.7437291520365,501.9898832514045,0.7204257845878601,300.73508273349717,609.3793890449438,0.7288748025894165,164.9661494908708,598.6648525280899,0.07867643237113953,307.8943556882022,715.8576193820224,0.10499686002731323,294.50787833567415,730.1412175210673,0.04557594656944275,313.2935667573736,733.0459971910112,0.027540147304534912,310.95313597261236,735.7975991924158
8,0.7447222611483406,0.9997952580451965,220.69410002633424,187.38602198911516,0.9999834895133972,240.1265690835674,169.82586464185394,0.9996858835220337,205.70021725772472,174.4925989729635,0.9996035099029541,269.8351639308286,186.62180696980337,0.9986451864242554,171.03087693117976,195.52111679248594,0.9613668918609619,325.21637991573033,313.9058933900983,0.9722397327423096,125.59671809164325,316.13415664501406,0.9955374002456665,362.68346207865164,445.50597458742976,0.9992774128913879,92.64168385709269,447.0014593574438,0.9935038685798645,288.75787284936797,531.464020804073,0.9928560256958008,152.80948253160113,498.33117538623594,0.738056480884552,299.3525061446629,601.2527431530899,0.7080426216125488,164.27561556355334,601.6759568117977,0.1167043149471283,308.0006528704354,716.5585498595506,0.0778857171535492,307.37982246313203,721.8905811095506,0.06581345200538635,311.07808659585675,733.6455407303371,0.04128119349479675,310.6196234199438,735.087341994382
9,0.7425117545268115,0.9997951984405518,220.24501843398878,187.02092202861658,0.9999827146530151,239.93076281601122,169.60484879740167,0.999736487865448,205.2385994557584,174.5257911253511,0.999613881111145,269.7262607531601,186.03799541344802,0.9985950589179993,171.17972041783707,195.81034113851825,0.9623426198959351,323.16258119733146,314.2647526773174,0.9651798009872437,125.4756901773174,316.0087396857444,0.9960889220237732,362.10355951544943,445.2269410551264,0.9993491172790527,90.90528166695927,447.17318074087075,0.9901577830314636,287.86714360955057,531.7696629213483,0.9969772100448608,154.41381561622188,496.1055455582865,0.7552627325057983,301.48681640625,603.5395452949438,0.71968674659729,163.63023393609552,601.6664106390449,0.07900327444076538,306.69337583391854,716.8567854634831,0.09916123747825623,294.25890976123594,730.838197858146,0.03585413098335266,310.5955659673455,735.1910331811797,0.02591291069984436,309.64659958742976,736.0772362183989
