Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9794333471971399,0.9999139308929443,506.2084503745318,326.409139454588,0.9999759197235107,522.5089975421348,297.4792068995787,0.9999140501022339,485.7952949438203,300.57876872659176,0.9990434646606445,562.6472524578652,324.0356902504682,0.9996592402458191,434.53271301498125,328.38976913623594,0.9798880815505981,645.9407917837079,524.9489407771536,0.9787342548370361,355.8913418773409,519.750702247191,0.9953749179840088,750.4198121488764,745.792661516854,0.9816617965698242,261.2041344803371,724.2077042368915,0.9978792667388916,613.1416783707866,568.5432394077716,0.9972985982894897,375.0111920646068,539.021791608146,0.9487199187278748,589.7182964653558,936.6581080290263,0.9478251338005066,400.6039325842697,950.4045236423221,0.9706424474716187,607.6506905430713,1355.2130149812735,0.9884728193283081,364.6385621488764,1364.1271652621724,0.9479853510856628,638.0280021067415,1708.0862301029963,0.9173777103424072,357.1212254213483,1671.8688553370787
1,0.9721722813213572,0.9999090433120728,504.2488149578652,327.9552536867978,0.9999687075614929,520.8260914091761,301.57738617743445,0.9998990297317505,483.33940484550567,302.62634963132024,0.9988912343978882,558.8474367977528,326.0542120201311,0.9995570778846741,433.3699087078652,326.2818205758427,0.989611029624939,646.7951193820224,526.0567722963483,0.9875037670135498,345.05135182584274,522.356880559457,0.9959079027175903,749.9683988764045,746.8919709737828,0.9909168481826782,255.31710849719104,728.7283473782771,0.9984323978424072,597.6407420411986,560.5860472261236,0.9938499927520752,378.78094276685397,529.5406864466293,0.9345619678497314,597.3511382256555,974.7844247425094,0.9560428857803345,395.2331314372659,957.5509129213483,0.9672589302062988,604.1722992743446,1356.98750585206,0.9766311645507812,364.3507139513109,1369.9708860018727,0.9411243200302124,631.662570224719,1710.9748068820224,0.7968624830245972,361.6959269662922,1676.5562090355807
2,0.969642204396865,0.999859631061554,500.8948531132959,330.21872073970036,0.9999557733535767,518.6033327481274,305.1667654201779,0.9999036192893982,481.09711493445695,305.7631817649813,0.9981212615966797,559.1366017088015,334.79071570692884,0.9994009733200073,430.12252750468167,332.6949101708802,0.9822983741760254,640.3000643726591,527.6358043656368,0.9812189340591431,346.9377633426966,525.013752340824,0.9943411350250244,750.9288682116105,749.1351386938203,0.9938920736312866,252.57198033707868,731.5812997425094,0.9973366260528564,590.8605454119851,558.8460469335206,0.9945710897445679,375.836332514045,536.8488851825842,0.9369001984596252,591.3092521067416,978.7457572565544,0.9666690826416016,395.74650339419475,947.1286867977528,0.9668001532554626,602.712429775281,1360.568527621723,0.9704713821411133,363.64707689606746,1371.2579002808989,0.9437747001647949,627.4893199906367,1705.2844101123596,0.7584024667739868,346.6083655196629,1670.7780313670412
3,0.9727237820625305,0.9998618364334106,498.48278031367045,330.8821248829588,0.9999299049377441,514.9449174859551,306.3234616397472,0.9999393224716187,478.375395014045,307.0621196161049,0.9983426332473755,558.5304746020599,335.7950389161985,0.9995287656784058,427.25099485018734,334.9230088366105,0.9714189171791077,626.6782976357679,528.1248536985019,0.9722471237182617,352.232341409176,528.0248200491574,0.9907130599021912,750.4786253511236,749.7325608614233,0.995674729347229,250.22786458333337,733.5522003745318,0.995242178440094,608.1908356741574,554.0172928370787,0.990098237991333,354.77959679307116,543.8600918773409,0.9513543844223022,585.1611511001873,954.0234375,0.9724727869033813,394.9129506086142,953.6780196629214,0.9684611558914185,588.593676849251,1361.9342521067417,0.9651406407356262,361.283210440075,1369.749531835206,0.9502201080322266,629.3967257724719,1712.6483497191011,0.8156585097312927,344.8904201779027,1677.2049098782772
4,0.9693297077627743,0.9998781681060791,495.55272705992513,330.9723197565543,0.9998950958251953,511.79380266853934,306.35299625468167,0.9999638199806213,476.2076457162922,306.70382724719104,0.9983347654342651,555.6879096441947,336.2641912453184,0.9997305870056152,423.36434925093636,329.20192532771534,0.973876953125,628.3265303136704,529.3857165847378,0.983890950679779,349.12416608146066,526.7694434691011,0.9869266748428345,751.4205875468165,747.7868240870787,0.9923712611198425,243.86938202247188,734.5619001638577,0.9965255260467529,603.4065572331461,554.8880062031835,0.9973355531692505,351.9347641619851,543.5571746254682,0.9513974189758301,582.3906396301498,956.3058140215356,0.9739663600921631,392.3087839419476,958.977425678839,0.9800689220428467,589.7559691011236,1361.7919007490636,0.9534116387367249,356.25021945224717,1367.2913740636704,0.9545350074768066,619.2466935861423,1708.3819054307116,0.7364963293075562,352.41273115636704,1675.2002867509364
5,0.9685589040026945,0.9998814463615417,496.0601006554307,331.4169300093633,0.9999134540557861,512.1531922986892,306.56387157654495,0.999967098236084,476.8698062968165,307.5340882490637,0.9982342720031738,554.7138342696629,336.429767965824,0.9996335506439209,425.15390917602997,330.1558110955056,0.97581946849823,624.1805653089889,528.2526114817416,0.9862784147262573,334.9637903792135,513.1568571512172,0.9848890900611877,752.4350421348315,747.5607151217229,0.9951283931732178,244.05715999531833,736.0282069288389,0.9966393709182739,601.2781630383895,554.0771301498128,0.9965329170227051,346.4478727762173,548.44492480103,0.9441654682159424,580.2435919943821,952.4176322565544,0.9700151681900024,392.951486423221,951.6995845037453,0.9801290035247803,589.3251111891386,1361.8640273876406,0.9502559900283813,357.0905752574906,1369.5774812734082,0.9619616866111755,620.8105102996255,1711.6043422284645,0.7260565757751465,338.46259070692884,1675.0820751404494
6,0.9716360323569354,0.9998878240585327,496.35767790262173,331.68016297986895,0.9999148845672607,512.7918714887641,307.649373829588,0.9999597072601318,477.83503043071164,307.90788857677904,0.9982792139053345,554.7904231039327,335.9505939840824,0.9996774196624756,426.5167807818352,331.0008851240637,0.9728008508682251,622.1841350655432,528.2553546348315,0.981849193572998,343.8797694288389,525.935780957397,0.9884652495384216,753.4268199906367,748.6881144662922,0.9958240985870361,239.71588249063677,738.4980688202247,0.99718177318573,601.411955758427,555.7832616455993,0.9969702959060669,348.1982238998128,548.976877048221,0.939852237701416,578.4052405196629,984.832192181648,0.9711306691169739,393.4544709737828,954.0364583333334,0.9722256064414978,589.667895599251,1363.2784702715355,0.9490852355957031,358.0650895365169,1369.5985486891386,0.968416690826416,622.3350450608614,1709.2389396067417,0.7862915992736816,339.08927317415737,1681.0519077715355
7,0.9732376161743613,0.9998617172241211,498.09061914794006,332.3551980922285,0.9999203681945801,514.5258368445693,308.5517614700375,0.9999505281448364,478.9340472846442,307.9659336961611,0.998177170753479,554.2522530430712,335.61296670177904,0.9997164011001587,426.27801673689146,330.881173923221,0.9729499816894531,621.5616953417602,528.7413316362359,0.9856325387954712,343.98898349719104,527.1117523993446,0.988774836063385,754.5517322097378,748.5056764981274,0.9974393844604492,243.18461786048692,739.0859082397004,0.9974050521850586,602.1328563904494,555.7295689957865,0.9970998764038086,349.24040262172286,551.992809281367,0.9380881786346436,576.603830173221,984.4010416666667,0.974252462387085,393.0631876170412,952.6061417368915,0.9784930348396301,586.4690864934457,1363.649783473783,0.945556640625,355.88709913389516,1370.2648057116105,0.9584863781929016,622.5315279728466,1708.588922050562,0.8132349252700806,353.6085264513109,1685.58125585206
8,0.974932660074795,0.9998118877410889,499.33096324906376,336.0592594218165,0.9999366998672485,516.2034029728464,308.6287160580524,0.9999383687973022,480.78015273876406,312.70072565543074,0.997850775718689,555.2697799625469,337.04127165262173,0.9997972249984741,427.8661926498128,333.34847553838955,0.9654666185379028,620.8728347378278,530.271645306648,0.9844724535942078,343.135314255618,534.4650851474719,0.9896689653396606,751.4962985720974,751.9368855337079,0.9970608949661255,248.85043597846447,741.8954822097379,0.9963706731796265,601.4695985486892,561.097188085206,0.9961532354354858,352.4408210440075,554.3526890215356,0.9425959587097168,579.4044066011236,985.9810246956929,0.9718971252441406,393.3301878511236,943.7875263342697,0.9690771102905273,588.7342725889514,1366.232882724719,0.9519660472869873,352.47673806179773,1366.540701076779,0.9696232080459595,622.5668597846443,1713.6941128277153,0.8421679735183716,352.91608146067415,1686.0091877340824
9,0.976292610168457,0.9996678829193115,500.5551410346442,337.5366485252809,0.9999275207519531,517.1317591292135,310.452656835206,0.9999258518218994,481.5622073970038,314.08104371488764,0.9977399110794067,556.5919066011236,335.54874034410113,0.9997214078903198,429.2466204353933,335.53326896067415,0.9842672348022461,652.0190338249065,543.8612257139513,0.9852038621902466,347.1653353230338,534.8060773642322,0.989343523979187,751.8476416198503,754.1384304775281,0.9953500032424927,253.9798396535581,740.2551498127341,0.996261715888977,590.9568849485019,564.552427141854,0.9921753406524658,369.86825550093636,555.527965531367,0.9475857019424438,580.2874092930712,986.3681384597379,0.9641760587692261,393.1074438202247,947.7321073267791,0.9720176458358765,590.5571161048689,1365.4936212546818,0.9614300727844238,353.4137260065544,1367.504535346442,0.9664207696914673,625.7629623127341,1720.0683227996255,0.8457598686218262,353.7137172284645,1688.436183286517
