Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9333718173644122,0.9998842477798462,360.9208216292135,211.23249258739074,0.9999908208847046,390.5707709113608,169.35546875,0.9999361634254456,323.96657498439447,177.97295616807116,0.9995690584182739,438.39117119225966,184.71216399422596,0.9996846914291382,286.38781601123594,204.46896213717227,0.956508994102478,515.4312480493134,390.8372590901997,0.9656402468681335,216.91450140449433,390.0813436329588,0.9994186162948608,541.8345232521847,631.4150768570537,0.9987268447875977,197.24953183520597,633.9815952715355,0.9994040727615356,437.4818098470661,765.5053253745318,0.9930983781814575,333.80710635143566,770.4017926810237,0.8573266267776489,460.1550795880149,714.3949945380774,0.5982214212417603,272.89750117041194,732.0986949906367,0.8995364904403687,596.7346480961298,951.6807116104868,0.993427038192749,248.04853308364545,1008.1666471598002,0.9645430445671082,361.50232131710356,1176.9984784644193,0.6424041390419006,440.73097105181023,1146.3988373907614
1,0.9238132098141838,0.9998660087585449,360.8554736267166,232.25340882490636,0.9999880790710449,390.0676888264669,192.7191108770287,0.9999334812164307,324.7962507802746,201.49112925249688,0.9996119141578674,437.5902680243445,208.62037687265916,0.9994226694107056,287.0775300405743,225.6440679619226,0.9713219404220581,507.72379252496876,413.5976513732834,0.9733208417892456,211.27214029338325,411.55776958489383,0.999496340751648,536.2539501404494,658.136606585518,0.9992153644561768,199.3035561017478,647.1666764200999,0.9998210668563843,434.7390956616729,785.6106624531835,0.9947394132614136,331.81560159176024,788.2535502496878,0.8267920613288879,464.5429053526841,733.5448852996254,0.653219997882843,259.4466877340824,718.5117723938826,0.9265445470809937,588.926927278402,970.8414286828963,0.9903075098991394,239.46375624219718,1024.8202442259674,0.9602026343345642,350.84606156367033,1196.38098860799,0.4110206961631775,448.50162882334575,1163.6576349875156
2,0.9253100577522727,0.9998577237129211,362.26206499687885,232.12832104400746,0.9999879598617554,391.73196590199746,192.9382095622659,0.9999353885650635,325.72828885767785,201.25576671738452,0.999555766582489,438.36985994069903,208.83634226747813,0.9993744492530823,287.8817006086142,225.69917485955054,0.9735565781593323,509.6570692883895,413.50733458177274,0.9667227268218994,212.68048728152309,412.39817415730334,0.9993700981140137,538.4691011235955,656.5897608458176,0.9992127418518066,199.29965472846442,647.485126014357,0.9997873902320862,433.6716799313358,786.2243972378277,0.9947779178619385,332.18062382958794,787.9717247971286,0.8690863251686096,466.4781328027465,735.2513459737827,0.6421127319335938,258.9962254213483,718.0289286828963,0.8834627866744995,593.3852215980024,970.9512523408239,0.9853358268737793,238.13719179151053,1024.7320731897628,0.9605628252029419,351.850909019975,1197.667856585518,0.45757174491882324,429.5592423533084,1174.5570965980023
3,0.9207131266593933,0.9998586773872375,364.33569366416975,231.5026383036829,0.9999864101409912,393.0833040730337,193.01144565387014,0.9999287128448486,327.19227918227216,200.74935627340824,0.9994865655899048,439.1288721129837,208.71544846285892,0.9992066025733948,293.66290184144816,227.07831031523094,0.9673041105270386,511.2843320848939,414.8590628901373,0.962456464767456,215.00277972846442,412.7948462858926,0.999469518661499,538.6352996254681,655.7486247659176,0.999191164970398,198.96164950062422,648.1681101747815,0.99969083070755,434.4125507178527,785.5805731117352,0.9944190979003906,330.14834971910113,786.0802902621722,0.8736605048179626,464.60259636392004,733.5707806647939,0.6305949687957764,258.03497581148565,717.7822643570537,0.8819262385368347,598.1723041510611,972.2974211922597,0.984574556350708,237.27289130774034,1025.4569483458176,0.9580708742141724,348.9026412297128,1199.0514786204744,0.40229785442352295,426.2207884675405,1172.6042642009986
4,0.9187003970146179,0.999845027923584,364.8167329900125,231.12596071317103,0.999985933303833,393.4936310081148,192.7679511938202,0.9999197721481323,327.6189918851435,199.64297557740323,0.9995253086090088,439.2042661516854,208.8726006554307,0.999454140663147,293.6094042602996,225.38428526841446,0.9639087915420532,512.9256398252185,414.819659019975,0.9633034467697144,213.09344764357053,412.5901217228464,0.9994168281555176,537.9383192883895,654.5483672752808,0.9992955923080444,198.40609394506862,648.0741846129837,0.9996743202209473,432.98245357365784,786.401763420724,0.9942926168441772,327.32512094257174,783.2956363139825,0.8445627093315125,428.1186602684145,747.0680204431959,0.6088124513626099,258.8366592540574,716.5636216448189,0.8975228071212769,587.7602215980024,969.373927122347,0.9846712350845337,237.3722787921348,1026.4439957865168,0.9587892293930054,346.07414559925087,1198.043558832709,0.4049265384674072,426.6396008895131,1172.5624219725344
5,0.9233282138319576,0.9998414516448975,365.29177395443196,230.41930009363296,0.999984860420227,393.8666998283395,192.24784936797752,0.9999102354049683,328.01507880774034,198.8401095310549,0.999497652053833,439.3854361735331,208.71756983458175,0.9995112419128418,293.68426186017473,224.45041842228463,0.964158296585083,511.837156679151,414.48740831772784,0.9463099837303162,210.78637055243445,413.96008895131087,0.9993350505828857,536.8602723158551,654.8248283395754,0.9993486404418945,196.15524539637948,647.0225694444445,0.9991934299468994,434.9268004837702,782.8891619850186,0.9937481880187988,323.0666744694132,780.3771652621722,0.8719136714935303,449.9187539013733,735.819239622347,0.6323455572128296,257.0788467540574,718.3842950218476,0.9239634275436401,578.840804463171,973.1721090823969,0.9857975244522095,243.68879720661675,1030.1027036516853,0.964387059211731,352.0467091916354,1198.0250273096128,0.41733336448669434,428.4775866104868,1171.8643687578026
6,0.9317047245362226,0.999817967414856,365.2891892946317,230.2743640761548,0.9999816417694092,394.4940894194756,191.47203690699126,0.9998974800109863,327.9213483146067,197.9803809691011,0.999525785446167,439.437080602372,208.70767009987514,0.9995220899581909,293.12987671660426,224.2316245318352,0.9739389419555664,513.2265332397003,412.54340277777777,0.950798749923706,209.43078963795256,412.9359296972534,0.9991723299026489,536.1084776841448,654.3162355649188,0.9992115497589111,193.50674937578026,643.8149578651685,0.9985765218734741,434.5817727840199,780.8293831928838,0.9784966707229614,316.3653831148564,769.7829861111111,0.9092811346054077,452.26699048064916,730.7694483458176,0.7293881177902222,266.75727606117346,755.8915125624219,0.9042733907699585,576.772784019975,972.8427356429463,0.9898819923400879,244.85940426029958,1032.9834776841446,0.968795895576477,351.93981156367033,1198.722592852684,0.43842005729675293,393.70757256554305,1181.851006554307
7,0.9336865351480597,0.9998071193695068,365.2417876092384,229.86635358146066,0.9999806880950928,394.0370923064919,191.15414813514357,0.9999004602432251,327.88584581772784,197.96789657459425,0.9995331764221191,438.7679950842696,208.66831499687888,0.999581515789032,292.1265410424469,223.7905742821473,0.974484384059906,510.1775612515605,411.91035619538076,0.9464602470397949,206.84510572721592,414.1462819912609,0.9992611408233643,534.9673747659176,653.6788974719101,0.9977852702140808,187.20929892322096,644.9880520443196,0.9973272085189819,436.28189372659176,778.528304463171,0.9903914928436279,318.81754252496876,750.5910092852683,0.8667523264884949,462.9155450218476,716.5511372503121,0.7990065217018127,264.53885767790257,749.9849797128588,0.8664225339889526,590.0961688514357,970.7909058988763,0.994996190071106,244.02338873283395,1038.833977059925,0.9769364595413208,350.04403675093624,1198.60077247191,0.46404436230659485,403.4485213795256,1182.6995552434457
8,0.9250428992159226,0.9997924566268921,365.52692922908864,230.26239173689137,0.9999810457229614,394.1447702091135,191.60255003511236,0.9998936057090759,328.4661263264669,197.8173401412297,0.9995719194412231,439.2713697721598,209.3992616651061,0.9996318221092224,291.69719491260923,223.92470837234706,0.9721270799636841,511.2479030118601,412.06348509675405,0.9417440891265869,207.94334230649184,413.94067961922593,0.999161422252655,534.9923923220973,653.3233360642946,0.9970422983169556,198.8064236111111,649.8647198813982,0.9992295503616333,433.43574438202245,781.8330114700374,0.9880844354629517,320.67898525280896,724.5341760299625,0.848567008972168,457.27142829275897,730.5755013264669,0.6009916663169861,260.56106624531833,742.944659019975,0.9069561958312988,588.5739505305867,969.9581577715355,0.9922308921813965,236.48622815230954,1030.907849563046,0.970437228679657,349.8079061329588,1199.2598119538077,0.5102865695953369,398.4424254837702,1182.8358107053682
9,0.9308288798612707,0.999783992767334,365.56672323657926,230.90628901373282,0.9999818801879883,394.3860213795256,192.17021203963793,0.9999041557312012,328.33835635143566,198.32382373595505,0.9995995759963989,439.59196512172275,210.88583118757802,0.9995326995849609,291.59961181335825,224.8475782225343,0.9633514881134033,513.7928175717852,413.9395092072409,0.9539164900779724,210.1514220505618,413.28661438826464,0.999315083026886,534.9534273564294,653.8066674469413,0.9965835809707642,185.68537375156052,651.9779474875156,0.9991836547851562,437.7601728308364,783.0612613139825,0.9869197010993958,317.9396360018726,701.0326935081148,0.7646176815032959,471.8650514981273,718.0506788389513,0.7492295503616333,264.5958177278402,742.830933988764,0.9380417466163635,574.3477879213483,976.2814060549313,0.9936572909355164,229.86247659176024,1028.1758153870162,0.9579827785491943,350.0992411828963,1198.9322916666665,0.522489607334137,393.58516697877644,1182.6410346441946
