Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7561786700697506,0.9992497563362122,201.7044417134831,163.3452325218477,0.9998684525489807,219.39992489856428,152.81769370318352,0.999566912651062,192.88355863764042,146.43179180321474,0.9964826703071594,237.34753433208488,176.170753355181,0.9995876550674438,164.06367528870163,159.86884070692884,0.9582610130310059,264.58853191323345,268.69677063826464,0.9893330931663513,104.43813397315853,257.04939138576776,0.9947986602783203,294.34269662921344,405.9603230337078,0.9905169010162354,71.75918285736577,391.97470447097373,0.9997968077659607,235.9028558052434,322.20481234394504,0.9939315915107727,146.50188728932585,320.06052005305867,0.7020062804222107,224.50433540106116,507.69126482521847,0.9194636344909668,116.91245806023721,535.018531523096,0.13826465606689453,214.2494050405743,635.5708196785268,0.1192483901977539,101.10867762952557,650.7370669475655,0.03415641188621521,229.96591662765292,643.9587722378277,0.020504504442214966,215.9600353074282,642.3523330212234
1,0.7570123900385464,0.9992153644561768,201.90092462546812,163.1977240363608,0.9998674392700195,219.66807116104866,153.10877272549936,0.9995678663253784,193.1198843242821,146.78591457943196,0.9972186088562012,237.29479264200995,177.06869099172908,0.9995440244674683,164.4785131866417,160.45421738451935,0.9573620557785034,265.028045997191,268.20366143882643,0.9900074005126953,104.5051888264669,257.6087751638577,0.9943240880966187,295.11980142009986,406.3131047128589,0.9892609715461731,71.90497230024968,392.29044748751556,0.9997297525405884,236.36426634675405,322.5273827637328,0.9927739500999451,146.02833372347067,320.5557506242197,0.7033528089523315,224.00152153558048,506.22756710362046,0.9307366609573364,117.59095564138573,533.0470213014981,0.1226716935634613,215.11577812890135,638.737320536829,0.14798203110694885,100.28226923377028,650.3370298845193,0.026059776544570923,301.3616085362047,379.2609335986267,0.019536137580871582,301.4312968164794,381.6024159254057
2,0.751237062846913,0.9991450309753418,202.18143336454432,163.79497551888264,0.9998610019683838,220.40757646691634,153.64215141229712,0.9994937777519226,192.98748146847686,147.03087205446317,0.9978614449501038,237.6950979244694,177.6502638303683,0.99955153465271,162.98284858770285,161.19312529260299,0.9580163955688477,265.11877730961294,268.05189801810235,0.9903724193572998,104.80408278714106,257.6439606741573,0.9929356575012207,295.64161009675405,406.11820673377025,0.9882746934890747,71.75830504837703,392.753930633583,0.9997026920318604,237.87085479088637,323.51762445380774,0.9919402599334717,146.53148895911357,320.03916003433204,0.6576817631721497,222.96248829588012,503.97467033395753,0.9421085715293884,117.17616651061172,535.1088483146067,0.07681956887245178,216.54068156991258,652.2138342696629,0.12789875268936157,101.45941108770285,651.3413409019975,0.03134274482727051,301.1564938358302,378.5128940387016,0.018023759126663208,301.523905664794,380.7767634207241
3,0.750974507892833,0.9991490840911865,202.24451369382018,164.21376355727216,0.9998624920845032,220.79756749375775,153.85591009285267,0.9994986057281494,193.35642946317103,147.23291442337703,0.9981623888015747,239.05467774656677,174.36690465043694,0.9995962381362915,163.1324662531211,161.26406932740323,0.963300347328186,272.6279455368289,267.76607365792756,0.9903006553649902,105.0750575452559,258.00810510299624,0.9931287169456482,296.06237320536826,406.120206187578,0.9867590665817261,72.41746644818974,392.89335596129837,0.999695897102356,237.2095720193508,323.5569064060549,0.9937778115272522,146.86954295411982,320.57762269818977,0.638213038444519,222.82394077715355,503.4302824594257,0.944786787033081,118.3344598548689,534.6196161048689,0.05255362391471863,213.8997200764669,642.9003784332084,0.17242369055747986,100.2605678448814,650.6507490636703,0.021999865770339966,229.55722339263417,648.5688299781523,0.013358324766159058,301.4700667134831,382.108253355181
4,0.7523830533027649,0.9992967844009399,210.1621069366417,164.79261762640448,0.9998443126678467,221.76798533083644,154.5024407966604,0.9992885589599609,194.67582514044943,147.78856751326467,0.9982762336730957,239.2710576622971,175.12853805789638,0.999649167060852,165.40028577559298,160.39286828963793,0.9603015184402466,265.02407147315853,267.3308267009987,0.9897253513336182,105.0003706304619,258.9285609784644,0.9909497499465942,295.45468554931335,406.15487964263417,0.9866060018539429,73.02649520131084,393.0134938748439,0.9997189044952393,238.15277777777777,323.71491202403246,0.9934216737747192,147.6215570380774,320.3525134597378,0.6971899271011353,222.54506573813978,503.4454490480649,0.9482567310333252,118.54981566011236,538.2118055555555,0.04646453261375427,214.77467618601747,653.8698696941323,0.14357301592826843,101.03874551342071,651.5415301186017,0.02574285864830017,228.36125741260923,647.9692376716604,0.012206584215164185,218.1340755696005,640.718047752809
5,0.7567834047710195,0.999291181564331,203.01018258426961,164.6187017205056,0.9998844861984253,222.08097300249688,154.37865753745317,0.9992543458938599,195.00714926654183,147.51958001716602,0.9986103177070618,240.2319415184145,174.7214175639825,0.9996352791786194,166.01553234238452,160.34725879759674,0.9629418253898621,266.3731175873907,267.84761235955057,0.9897663593292236,105.31487008426964,259.2397686485643,0.9908782839775085,295.5318352059925,406.35806803995,0.9824395179748535,73.44328378589262,392.3124414794007,0.9997590780258179,239.24365051498125,328.51491787609234,0.9914431571960449,149.88530450218474,316.88321726747813,0.7390546798706055,223.45223256086138,509.49560120162295,0.9387362003326416,117.94385923845192,535.0201408395754,0.0650196373462677,215.1804921582397,652.4366514513108,0.16954171657562256,100.83370396379524,650.7416510611735,0.02237534523010254,228.27896281991258,647.8824321161048,0.016686469316482544,218.59899734706613,644.3028733614232
6,0.7564782289897695,0.9992554187774658,203.38083742977528,165.20168880696005,0.9998981952667236,222.7832201935081,154.64207338483146,0.9993040561676025,188.50397452403246,147.1422318781211,0.9981921911239624,240.64731585518098,174.3774383583021,0.9996249079704285,166.5910092852684,159.77511021379524,0.9633203148841858,266.1750253589263,267.8370298845193,0.9911813735961914,105.9301654182272,259.1021477059925,0.9914765954017639,296.1595174001248,407.13024734706613,0.9886026382446289,72.93769019194755,393.54317844881393,0.9996964931488037,239.3853922830836,328.6015039794007,0.9933558106422424,141.1124570848939,315.30603835049936,0.7114930748939514,224.03926732209737,508.6823599406991,0.9090375900268555,117.90791783707863,531.9582943196004,0.07295259833335876,215.78440035892635,652.3615987827715,0.20444431900978088,101.49908317727838,650.0637874531835,0.020121842622756958,228.23616963171037,649.3275495474406,0.018172472715377808,219.8803790184145,644.0584523252185
7,0.7556090740596547,0.9994135499000549,204.08961942103616,165.80658454275905,0.9999051094055176,223.81654767478148,154.63071063514357,0.9995034337043762,189.6826769272784,146.8598334113608,0.9978591203689575,241.70068664169787,176.98900544241573,0.999660313129425,164.56836669007487,160.01778782381396,0.9607807993888855,266.1720993289638,268.1613803058676,0.9919335246086121,106.13172011548065,258.87177161360796,0.992023229598999,295.3351084581773,407.29971324906364,0.9891631603240967,73.14014708177277,393.81656718164794,0.9997302293777466,239.48812031835206,328.1437022081773,0.9916287064552307,140.60637581928836,315.89438982521847,0.7080367207527161,223.45810900436953,504.15681569912607,0.9399945139884949,119.95487086454432,533.4515449438202,0.06104069948196411,215.40545509519347,641.9231819600499,0.17627599835395813,102.65881515293381,649.9834679307115,0.023150235414505005,227.98277543695377,649.6746254681648,0.0152549147605896,307.5731800093633,399.8562831616729
8,0.7526865023023942,0.9992276430130005,205.00146789169787,165.8310168929463,0.9998513460159302,225.480751599563,155.55063007178526,0.9997166991233826,190.86608536204744,147.2787311758739,0.9986414909362793,240.52681218789013,176.93645882100498,0.9997121691703796,164.89066889044943,159.73229264200998,0.9588626027107239,265.9236306179775,267.896428292759,0.9914692044258118,105.8733029026217,258.9606253901373,0.9897201061248779,296.6428975499376,407.73973938826464,0.9866292476654053,73.00035600031211,394.36531971754056,0.999741792678833,239.92509850967537,328.91368699282145,0.9916465282440186,147.63323677434454,320.2980649188514,0.6710261702537537,224.75458411360796,510.6726942883895,0.9211817979812622,119.33991690074907,532.4797128589263,0.0419488251209259,216.64611618289638,640.9415476747815,0.21250644326210022,102.70799683988761,650.4775768570537,0.0211525559425354,230.2847319756554,650.5115675717852,0.012635916471481323,307.5805926186017,399.35334737827714
9,0.7616343322922202,0.9989463090896606,205.5620708489388,166.5258636665106,0.9998453855514526,223.61952832397003,156.20114749141698,0.9998121857643127,192.55279533395753,147.79741875390135,0.9991520643234253,238.5016580836454,179.65653284956304,0.9997050762176514,165.2436212546816,159.31616241416978,0.9622898101806641,265.73812031835206,267.5779543149188,0.9915778636932373,105.7934466682272,259.19746313202245,0.9906579256057739,296.54628979400746,407.82083918539325,0.9882540702819824,72.89477508583019,394.1267995084269,0.9998934268951416,241.7253140605493,329.37343945068665,0.9927761554718018,147.40922479712856,319.63734296972535,0.7202223539352417,223.61426147003743,514.8106858614232,0.9306080341339111,117.80267829275903,532.4435763888889,0.05718868970870972,217.2262503901373,653.3016346754057,0.27970948815345764,104.45825042915104,644.369294241573,0.02461180090904236,230.5396379525593,650.2179404650436,0.012533009052276611,300.716272627965,382.2715745942572
