Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7539571506135604,0.9996038675308228,199.8715521613608,156.26538604088637,0.9999289512634277,218.45710927746563,144.8205490207553,0.99989914894104,186.08451349875156,138.32770072565543,0.9990968704223633,228.57714965667913,171.05652846051808,0.9994838237762451,154.63588483146066,153.10061641697877,0.9748567342758179,265.7740617197253,264.32774461610484,0.9795109629631042,104.25674449906364,255.98804716760299,0.9738830327987671,290.1939762796504,400.1233321629213,0.9751889109611511,63.933052434456926,386.5796172752809,0.999744176864624,236.5795977684145,334.87176673689135,0.997938871383667,133.71984238451932,322.50892439138573,0.6541590094566345,216.201091409176,506.08984862671656,0.8489178419113159,110.6262728230337,512.0491963171036,0.1306840181350708,215.73724250936328,647.6022159800249,0.23931360244750977,95.19990149032458,639.1362847222222,0.015967726707458496,220.22109082397003,654.2334289169787,0.029094010591506958,215.89300483770285,643.4882178526841
1,0.7584009486086228,0.9995443820953369,199.78586825062422,156.10171123985643,0.9999449849128723,218.3148310705368,144.8720105727216,0.9998899102210999,185.58674703495626,137.97832055633583,0.9992042183876038,228.75690543071158,170.12942805867664,0.9994614124298096,154.55893024344567,152.94215970271534,0.9746573567390442,265.39587234706613,263.95774812734084,0.9833176136016846,103.42643473002497,255.784712468789,0.9675832986831665,290.63980571161045,400.4693595895755,0.9823734164237976,63.76409858770285,386.4439714029338,0.9995367527008057,238.4803712156679,335.71278089887636,0.9980603456497192,133.6262825764669,322.81625507178524,0.7662333250045776,217.08389903245939,506.6629603620474,0.8495908975601196,109.8551420099875,527.3987593632959,0.09192490577697754,205.15805926186016,643.9005930087391,0.24416989088058472,92.11940152933832,651.1257900280898,0.009246379137039185,295.9392361111111,373.41355532147315,0.028077036142349243,218.65761548064916,640.9021925717852
2,0.75041563020033,0.9995783567428589,199.24923435549312,156.21135202091136,0.9999423027038574,218.05643824126088,144.84952890917603,0.9999035000801086,185.3183569366417,138.1402763147628,0.9992451667785645,228.1479985955056,170.79366124375778,0.9994779229164124,154.35452266697877,153.0221988139825,0.9778876304626465,265.2956070536829,264.21743328651684,0.980079174041748,104.22733789794006,255.6657937343945,0.9768490791320801,288.61167681023716,401.51122132490633,0.9819359183311462,63.38205660892632,386.5250955836454,0.999609112739563,238.3317045099875,336.0239885689763,0.9974263906478882,132.65786419319596,323.0441196551186,0.71576988697052,216.63531425561797,504.39455563358297,0.8286229372024536,110.96591175093633,527.822789872035,0.09761837124824524,210.354371488764,655.3969647315855,0.17344176769256592,94.47529455368289,641.0939450686641,0.012636154890060425,221.71734062890135,655.8909761235955,0.017042040824890137,217.97984940699126,641.5868348158551
3,0.7598252051016864,0.9995174407958984,198.94663409019972,155.98801059222845,0.9999415874481201,217.6090482599875,144.76906308520597,0.9999074935913086,184.69662433676655,138.1389108341136,0.9993257522583008,228.1846471207865,170.03063797206616,0.999504804611206,154.11075998751556,153.30565796660423,0.9785370826721191,263.94173299001244,264.13843047752806,0.9809191226959229,102.78697526529336,255.6559183832709,0.9712337851524353,289.4160912141073,401.0943595895755,0.9791821241378784,63.395784566167265,386.3411458333333,0.9998095035552979,236.7724231429463,334.90997581148565,0.99704909324646,133.05843769506868,322.6549820536829,0.7195045351982117,216.00414520911357,505.4427083333333,0.8644490242004395,109.18035073345817,528.3447448501872,0.09274178743362427,213.42236267166038,648.3209464731585,0.3018455505371094,91.22927883114855,649.5476357677902,0.011913567781448364,101.74889298533083,638.4027777777777,0.021646231412887573,215.80556530898872,644.233672752809
4,0.7560495173229891,0.9994469881057739,199.1339000078027,155.3643273057116,0.9999365210533142,217.32773486267166,144.3082377496879,0.9998871088027954,184.5137230805243,137.59857063436328,0.9988280534744263,227.77953827247188,168.48719374219723,0.9995721578598022,153.99754701154802,152.94743874843945,0.9757385849952698,264.134192610799,263.8349280196629,0.9836971759796143,103.5822702091136,254.71768687578026,0.9764392971992493,291.5363412921348,403.04799664481897,0.9815799593925476,64.07391639357053,385.93940191947564,0.9998822212219238,235.71266385767785,334.20816752496876,0.9972206354141235,133.16114134675405,322.81145150593005,0.7223659157752991,216.9033142166042,506.1560744382022,0.9005075693130493,108.71811115012483,528.1094920411985,0.10801610350608826,206.06529923533083,654.6273700842696,0.17671406269073486,93.70689470193506,641.9559534956304,0.013613462448120117,102.1522462156679,639.008612281523,0.01939597725868225,216.51727333021222,646.8962624843945
5,0.7522256356828353,0.9993902444839478,198.41804677746563,155.27768024344567,0.9999301433563232,216.85920431491883,144.1236174508427,0.9998739957809448,183.90103678995007,137.243228678995,0.9992756843566895,228.7169651217228,168.5949082201935,0.9995813369750977,153.67743933364545,152.15153421504368,0.9784305691719055,266.2658298220974,260.62724328963793,0.985987663269043,102.5541120474407,254.66477450062422,0.9793401956558228,290.6075706148564,399.5885026529338,0.9818823933601379,64.00917798064918,386.2065484550562,0.9998193979263306,236.69342033395753,334.21238588483146,0.9974285364151001,132.56237808208488,322.7099182662297,0.6867979764938354,218.1695780664794,504.6564353152309,0.8666967153549194,108.72662102059923,528.3128023564294,0.1120840311050415,206.9420353464419,654.8526743913857,0.16614305973052979,90.8660365948814,652.4520131086142,0.01489114761352539,100.46100089731584,637.6161633895131,0.020282715559005737,215.78696063514354,645.2187207397003
6,0.7520803703981287,0.9993517398834229,198.4107317025593,155.48754974250934,0.9999316334724426,217.07139025436953,144.4334962156679,0.9998716115951538,184.22385104556804,137.42214321941321,0.9993701577186584,228.13792817571783,169.88242236267166,0.9996047019958496,153.87058169475654,152.56288526061172,0.9781104922294617,264.73800327715355,260.34178468320846,0.9832544326782227,103.22212468789013,254.4889688670412,0.9850378036499023,291.04384168227216,399.2748078573658,0.9783526062965393,63.86465648408239,386.1145979634831,0.9997601509094238,237.34533980961294,334.47036419319596,0.9974242448806763,132.0740236813358,322.8189616495006,0.6860749125480652,217.96380500936328,506.22561641697877,0.858060359954834,110.13860116260923,528.2342872191011,0.1012108325958252,207.03786282771534,654.4580504837702,0.18135762214660645,94.63205660892632,642.1337098158551,0.015433698892593384,101.61188163233456,638.2130247347066,0.023159295320510864,216.02869947721598,646.5599153401997
7,0.7504692901583279,0.9993454813957214,198.42185061641698,155.40391405274656,0.9999266862869263,217.07212176186016,144.29316869538076,0.9998787641525269,184.32116592540575,137.3907371644819,0.9993362426757812,228.0388332943196,169.59423279494382,0.9995559453964233,153.72145170099873,152.3129779182272,0.9768636226654053,265.81487983770285,260.6371917915106,0.983726978302002,102.88187617041197,254.36427122347064,0.9841545820236206,290.89212702871407,400.2466643258427,0.9848904013633728,62.58544495162295,385.5289774500624,0.9997162818908691,237.77551498127337,334.09685646847686,0.9966198205947876,132.60853620474404,322.56166608146066,0.6430854797363281,216.6569181101748,506.8252087234706,0.8674205541610718,110.47965433832707,526.9358126560548,0.10167145729064941,206.82336044787763,654.4434691011236,0.18919482827186584,93.6190406523096,641.3651392790262,0.0138205885887146,221.34890468945065,656.054833801498,0.018770217895507812,217.76361579275903,645.6734745630462
8,0.7537960743202883,0.9993296265602112,198.26411321785264,155.46180067883896,0.9999219179153442,216.99628881866414,144.02175503277152,0.9998810291290283,184.49375292602997,137.38996908161673,0.9991201162338257,227.45560237203495,169.40738139825217,0.9995762705802917,153.8326408395755,152.4264713053995,0.9771605730056763,264.51111403714106,264.26571278089887,0.9862276315689087,102.93920197409486,254.1967072409488,0.9812039732933044,289.83246527777777,400.06086142322096,0.9825127124786377,62.05339517009986,385.15539657459425,0.9998633861541748,236.67469374219723,333.059505696005,0.9966567754745483,133.0202530040574,322.46374161204744,0.6977188587188721,216.87578515137324,507.6709776841448,0.8904839754104614,109.39424352372035,530.1731234394507,0.08923286199569702,211.84664676966293,656.6064392166043,0.1801174283027649,93.97235877028712,641.3308071941323,0.011151283979415894,101.9356712312734,638.5746332709114,0.024374842643737793,218.07294592696627,643.4976299157303
9,0.7622695898308474,0.9993897676467896,198.04492919007487,155.93400095583644,0.999924898147583,216.95520248127337,144.2375985096754,0.999883770942688,184.50701759519347,137.64520423689137,0.9986847639083862,226.7255822799625,169.5783712741885,0.9995448589324951,153.57714965667913,152.3671094725343,0.9762980937957764,262.47537745786514,264.81658668851435,0.9862407445907593,102.83879037921346,254.74158278714106,0.9762742519378662,288.9573872503121,400.89051283551805,0.9831142425537109,61.928112320536826,385.2295714341448,0.9999340772628784,235.139527738764,332.373644272784,0.9956610202789307,133.21880852059923,322.5012923299001,0.7312816381454468,217.20118406679148,506.83384051186016,0.8896417617797852,110.98919807272159,516.8408142166043,0.14950481057167053,206.38116416978772,652.8731175873908,0.22228503227233887,92.29281757178526,650.1238686017477,0.019545137882232666,223.54445127184766,655.6495786516854,0.03137415647506714,219.16401373283395,644.6387328339575
