Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7607244638835683,0.999832272529602,520.281410931648,697.9736511001873,0.9999672770500183,562.3565513810862,645.3505383895131,0.999921441078186,470.50415496254686,647.0929892322098,0.994666576385498,625.4137406367042,683.8350743211611,0.9942869544029236,433.16033181179773,684.8618182350187,0.9620600938796997,750.4705787687267,948.2372132490638,0.9913161396980286,324.01977996254686,958.9576749765918,0.9978345632553101,804.5974514279026,1320.280313670412,0.9995461106300354,274.525471090824,1327.4125117041199,0.9988107681274414,673.8206636235955,1096.131642088015,0.998795747756958,395.69690718632967,1123.5402036516855,0.9096458554267883,671.8115051498128,1586.4630149812735,0.820501983165741,403.32455524344573,1563.5118211610488,0.12613162398338318,640.2956753277153,1963.6135007022472,0.1321410834789276,444.69949672284645,1967.910083099251,0.0047872066497802734,388.2822009597379,1946.0517614700375,0.002070188522338867,380.18938728932585,1925.653675093633
1,0.7601145523435929,0.9998360276222229,519.9730805243446,697.765317766854,0.9999678134918213,562.5958274812734,645.0026334269663,0.999920129776001,470.02062851123594,646.8086522705993,0.9949831962585449,624.8101738061798,684.4647559691011,0.994118869304657,432.8154260299626,685.1299157303371,0.9654986262321472,750.7201691245318,947.7501755617977,0.9908939003944397,324.77352528089887,958.2151217228464,0.9977763891220093,805.7669856039327,1320.0215063202247,0.9994819760322571,274.25444756554305,1327.6784878277153,0.9987918138504028,673.5540291432585,1095.6199525983147,0.9987596273422241,394.67799040262173,1123.5460557116105,0.916826069355011,671.4928604868915,1587.4937090355807,0.8146400451660156,403.55841818820227,1585.6413857677903,0.11726534366607666,639.525397940075,1964.5028675093633,0.12596026062965393,443.5944083567416,1967.2445575842698,0.004802912473678589,388.4230161516854,1948.8159819756554,0.002424389123916626,381.2340531367041,1929.122191011236
2,0.760384961086161,0.9998315572738647,519.9358467930712,697.8323238529963,0.9999688863754272,562.8193030196629,645.0468164794007,0.9999151229858398,469.9659849016854,646.8485925795881,0.9950704574584961,624.8583069990636,684.781791315543,0.9949747920036316,432.1203476123595,684.1071219569288,0.9701207876205444,750.9016561329588,947.1084971910112,0.9891935586929321,326.1731917134832,958.2703505383895,0.9978126287460327,805.3400778323971,1319.4984784644196,0.9994702339172363,273.91115110018734,1328.4208216292136,0.9986780881881714,673.5434222846443,1096.7466204353932,0.9987791776657104,395.041330173221,1123.8193469101125,0.9198586940765381,670.9454002808989,1587.418363764045,0.8288604021072388,402.3165379213483,1564.3751463014983,0.09105566143989563,638.0299771769664,1966.4080056179776,0.13682234287261963,442.6008017322098,1968.6231566011236,0.0038610994815826416,389.5907215589888,1951.3790379213483,0.0022708475589752197,284.4771184456929,1246.8897764513108
3,0.7586762799936182,0.9998195171356201,520.2635621488764,698.2237535112359,0.9999686479568481,563.1464331694757,645.1661985018727,0.9999204277992249,470.28762874531833,647.2226123595506,0.9950695037841797,625.4530225889514,684.9476972144195,0.9942348003387451,432.90291432584274,684.1076340121723,0.9674074649810791,752.2616017088014,947.0678253745318,0.991181492805481,323.74758602528095,958.556882022472,0.9976035356521606,806.1942591292136,1320.4007198033707,0.9995062351226807,274.89422401685397,1327.902036516854,0.9985713958740234,673.0906191479401,1096.2058900983147,0.9987920522689819,395.7816157537453,1123.2092696629213,0.9202196598052979,671.0922869850187,1587.3106858614233,0.8191085457801819,402.56707923689146,1590.3315191947565,0.07496532797813416,637.4235574672284,1967.2343164794008,0.13609254360198975,439.1582543305244,1969.4155255149813,0.002880960702896118,386.04108146067415,1951.6802727059926,0.0021546483039855957,284.0605249297753,1250.5372191011236
4,0.7578205308493446,0.9998252391815186,520.3895277387641,698.18359375,0.9999649524688721,563.5419592696629,645.2513459737828,0.9999107122421265,469.9180711610487,647.632110252809,0.994866669178009,624.9852235486892,684.3803400046817,0.9943431615829468,434.6795265683521,688.3749561095506,0.9685183763504028,752.6544212312735,946.9215970271536,0.9910470247268677,324.81002750468167,958.7934515449439,0.9977927207946777,806.7942415730338,1319.7152972846443,0.9994783401489258,274.8623302902622,1329.0392380617977,0.998656153678894,673.4426205524344,1095.4138137874531,0.9987806677818298,395.7771535580524,1123.5153323970037,0.9135241508483887,670.4198121488764,1586.2255676498128,0.8246290683746338,404.73124414794006,1590.4762113764045,0.07126608490943909,636.3701866807116,1968.7605337078653,0.1257295310497284,440.27768024344573,1970.0396477059926,0.0022387802600860596,386.4334620786517,1953.0828651685395,0.0023773908615112305,377.3130998361423,1931.009919241573
5,0.756737702033099,0.9998210668563843,519.7945195458802,698.119294241573,0.9999673366546631,563.5337663857679,645.2957484784645,0.9999094009399414,469.4934310627341,647.3339477996254,0.9953598976135254,625.8985106507491,684.8073209269663,0.9947069883346558,434.2929980102997,688.6790437734082,0.9672039747238159,751.6142175795881,946.9347641619851,0.9907093048095703,324.1009772940075,958.2309954353933,0.998082160949707,807.1913769897005,1320.430711610487,0.9994577169418335,273.98327773876406,1330.373215121723,0.9986217021942139,673.8893521769664,1095.4099367977528,0.9987431764602661,395.17585440074913,1123.6543188202247,0.9239072799682617,671.5709854868915,1587.6266970973784,0.8200465440750122,400.24607911985026,1563.158356741573,0.0563969612121582,635.8342111423221,1970.3991104868915,0.1171451210975647,442.33460615636704,1970.7500877808989,0.0022020339965820312,385.9092638108615,1952.7080407303372,0.002260267734527588,376.3816713483146,1931.0791198501872
6,0.7589867851313423,0.9998217821121216,519.9242889747192,698.1517731741574,0.9999656677246094,563.5653675093633,645.5738676264045,0.999910831451416,469.7518726591761,647.2362183988764,0.9956275224685669,625.3705816947565,686.0156981507491,0.9946329593658447,432.7603435159176,684.3242333801498,0.9699581861495972,752.1423659878278,946.6608146067416,0.9917386770248413,324.9189489700375,958.0264659410112,0.9979572296142578,807.3699379681648,1320.4212020131088,0.9994610548019409,274.480629681648,1330.4484140917602,0.9985829591751099,673.5242567883895,1096.2192766853932,0.9987025260925293,395.07410170880155,1123.830538974719,0.9205214977264404,672.0084269662921,1587.5684691011236,0.8274193406105042,403.4218457397004,1583.6942591292136,0.06726780533790588,636.1581226591761,1969.6733087546818,0.13572663068771362,443.77384714419475,1968.0164442883895,0.0025406479835510254,383.62974016853934,1950.2023349719102,0.0029400289058685303,377.5807584269663,1931.811944054307
7,0.7570704537279466,0.9998167753219604,518.9932993913858,698.0349514279027,0.999964714050293,562.9159351591761,645.3724104634832,0.9999063014984131,469.26783415262173,646.7259919241574,0.9954391121864319,624.9560363998128,686.2092550327716,0.99573814868927,430.28002106741576,682.8623888108615,0.9725152254104614,752.4223139044943,945.9449613764045,0.9907763004302979,325.12435627340824,958.8766239466293,0.9977730512619019,806.5374092930713,1321.3309047284645,0.999479353427887,274.15262172284645,1330.942035346442,0.9985592365264893,673.9123946629213,1096.1033327481273,0.998746395111084,393.8960088951311,1124.2925591058054,0.9099665284156799,670.3305682350187,1586.5803487827716,0.8272409439086914,403.9833508895132,1586.3752340823971,0.06200090050697327,635.8971939372659,1970.1926790730338,0.11676260828971863,441.74581577715355,1969.6879389044946,0.002588123083114624,383.8914735486892,1953.1599660580525,0.00292399525642395,379.38897179307116,1933.8369030898878
8,0.7586862602654625,0.9998232126235962,519.1590589887641,698.2040759597379,0.9999656677246094,562.6077510533709,645.2365695224719,0.9999110698699951,469.45707514044943,646.5546728698503,0.9953888654708862,623.5538096910113,685.7452598314607,0.9961973428726196,428.6788243211611,682.4733731273409,0.9707374572753906,751.904918656367,946.9414940308989,0.9914959669113159,324.08795646067415,957.4568410580524,0.9977939128875732,806.9054307116105,1320.6163682116105,0.9994709491729736,275.3095739700375,1329.7205641385767,0.9983274936676025,673.4321599953184,1096.3346354166667,0.9986858367919922,394.4774841994382,1124.4799713249065,0.9128912091255188,675.5970564138577,1569.7245142790264,0.821181058883667,403.27942123127343,1587.8672167602997,0.0691440999507904,637.1637991573034,1969.1368211610488,0.14059552550315857,439.4525397940075,1969.08985838015,0.003131479024887085,384.78142556179773,1952.5141912453184,0.002925276756286621,378.9266590589888,1932.7554424157304
9,0.7586908217738656,0.99981689453125,518.6600977294008,698.3298220973783,0.9999649524688721,562.2700140449439,645.2992597144195,0.9999088048934937,469.6048396535581,646.3690894194757,0.9951501488685608,623.4680038623596,684.8612330290263,0.9964790344238281,428.0308549859551,682.047343164794,0.9704828262329102,750.7150485720974,945.4289559925094,0.9913512468338013,321.8505676498128,959.25547167603,0.9982008934020996,806.3805740870787,1320.4545587546818,0.9994896650314331,273.5504447565544,1330.0280898876406,0.9983129501342773,674.3644662921349,1097.3182935393259,0.9986763000488281,394.1025134597379,1124.3147969335207,0.9155743718147278,670.2693410580525,1586.979459269663,0.8226174116134644,400.81248536985026,1562.0533415262173,0.06476646661758423,637.6872659176031,1968.693527621723,0.14170029759407043,440.2397881554307,1967.81718164794,0.002872377634048462,383.63456811797755,1952.7766561329588,0.0023793280124664307,772.8897471910113,1122.70782127809
