Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9823845379492816,0.9999043345451355,523.4538857677903,250.2284132139513,0.9999836683273315,566.439606741573,222.1217740519663,0.999983549118042,495.6140273876405,224.78230337078654,0.9988492727279663,616.1963073501872,256.7521981800094,0.9997435808181763,442.1147881554307,256.5901875585206,0.9847897291183472,684.8728639981273,475.4195561212547,0.9884524941444397,360.0038038389513,459.27386908941946,0.9950487613677979,719.2559837312735,730.2081138810862,0.9959368705749512,299.32203885767797,730.7157069288389,0.9983386993408203,707.4700081928838,983.2251433754682,0.9989000558853149,296.5192679073034,662.5247981039327,0.9303493499755859,602.9134480337079,945.9648583801498,0.9716975688934326,429.2734667602997,880.5129330524345,0.9873878955841064,613.7106448970037,1320.964126872659,0.9780491590499878,408.80069346910113,1329.1906601123596,0.9506045579910278,629.6723577949438,1660.3553663389514,0.9225175976753235,374.6285404962547,1630.8048045411986
1,0.9804756010279936,0.9999209642410278,525.0313816713483,249.7295616807116,0.9999821186065674,567.2474836142322,221.79740534293072,0.999984622001648,496.52065777153564,224.32631817649815,0.9987308382987976,615.7952949438202,256.31801190894197,0.9997432231903076,442.7052610018727,255.5946241514513,0.9827651381492615,684.53907713015,474.66401860955057,0.9898517727851868,371.5864934456929,454.0612564372659,0.9943604469299316,719.5064518960673,726.8013371956929,0.996932864189148,295.33437207397003,726.9696570692884,0.9978740811347961,708.3669826779026,981.2787482443821,0.9969921112060547,299.58296757958806,662.759612008427,0.931997537612915,602.6440338249064,946.0060422518727,0.9661391973495483,433.16830524344573,884.6154465121723,0.9889564514160156,612.4343106273409,1320.1776100187267,0.9836302995681763,405.6625263342697,1328.4815367509364,0.9565298557281494,630.2782654494383,1659.402504681648,0.8836936950683594,372.8371518024345,1626.3649929775281
2,0.9825845325694365,0.9999144077301025,526.1299596207865,248.62963044241573,0.9999768733978271,566.5859813904494,220.53420163272472,0.9999817609786987,496.72526041666674,222.8084767088015,0.9987940788269043,615.867348431648,257.254688963015,0.9997595548629761,443.31760592228466,254.58069990636704,0.9821569919586182,685.0909263810861,465.69635855571164,0.9824537038803101,371.29681647940083,455.2920543656367,0.9940129518508911,713.7996693586142,725.8399900514981,0.9974967837333679,286.1587078651686,720.9816830524345,0.9974192380905151,709.9844920411986,979.3285492743446,0.9953563809394836,308.04833801498125,668.6904552902622,0.9276899099349976,601.3039121020599,945.5545558286517,0.9667882919311523,434.3481536750936,880.6160756086142,0.9900141954421997,610.6786194990636,1319.3249648876406,0.9815295934677124,403.38870845037457,1330.6863003277153,0.9585634469985962,651.8799742509364,1647.2262698970037,0.9320288896560669,371.7178721910112,1626.0078710205994
3,0.9827772168552175,0.9999122619628906,527.4079032069288,248.45898803253746,0.9999692440032959,567.6069463951311,219.96187017205057,0.9999802112579346,498.2216321395132,221.8731346558989,0.9986248016357422,617.1820136938202,256.61639381437266,0.9997575283050537,444.9270687031835,254.58439401919478,0.983792781829834,686.3024490870787,464.60794856039325,0.9857020378112793,367.3904201779027,456.1767761001873,0.9950908422470093,715.6658912687267,724.8353376638577,0.996090829372406,275.1161633895131,715.7563055945693,0.9974061846733093,710.6292427434457,979.8905664794008,0.9948505163192749,322.69992099719104,673.1269019194757,0.933651328086853,603.6788974719101,948.8268082865169,0.9634811878204346,430.13979108146066,886.6742011938203,0.9903177618980408,610.9142380617977,1318.163916198502,0.9825427532196045,404.8588190543071,1329.2557642790262,0.9546375870704651,650.5211990870787,1643.1769370318352,0.9314048290252686,373.138752340824,1627.5412570224719
4,0.9813924081185285,0.999911904335022,527.656176849251,248.21062295177904,0.9999706149101257,568.0245640215356,219.8516502808989,0.9999827146530151,498.49075374531833,222.22840955641385,0.998580813407898,583.2794943820226,253.28863822565543,0.9997632503509521,445.6074438202247,255.46026451310863,0.9833086729049683,684.8632080992509,465.15848109784645,0.9849570393562317,364.3499824438203,458.08516941713486,0.9951993227005005,714.8820809925094,724.203754096442,0.9910883903503418,266.16397471910113,707.0501228932585,0.9974704384803772,709.8670850889514,979.400237008427,0.9959418177604675,333.53435159176036,683.0155664794007,0.9344937205314636,604.5270804073034,945.2792164091761,0.9562950730323792,429.0928575608615,877.1490227059926,0.9877893924713135,610.3678751170412,1318.0496547284645,0.983344554901123,408.6276919475656,1325.4118387172284,0.95501708984375,635.6448238529963,1646.0353757022472,0.9205561280250549,374.74046114232215,1628.4407186329588
5,0.9802938875030068,0.9999165534973145,526.1091848080524,248.7210323033708,0.9999783039093018,566.9456636235956,220.8380332689607,0.9999845027923584,497.11551966292143,222.99881495786516,0.9986000657081604,616.46484375,257.4469474192416,0.9997339248657227,443.9423133192885,254.9628759948502,0.9831939935684204,682.4057086844571,472.49279465121725,0.9786767959594727,360.9945575842697,456.48452130149815,0.9939242005348206,714.0701808286517,724.5265683520599,0.9913728833198547,273.1093457397004,705.4359784644195,0.9974592924118042,709.3970915262173,978.5797782069288,0.9936566352844238,334.9795177902622,685.6596734550562,0.9307211637496948,602.0888927902622,944.9101708801498,0.9530965685844421,427.97079822097385,872.0467579588015,0.990363359451294,607.0130354634832,1317.215150983146,0.9855114221572876,405.8462810159176,1324.672430945693,0.9627389311790466,635.3488559222847,1644.441567181648,0.9060674905776978,370.83421114232215,1628.186007724719
6,0.9799666334601009,0.9999228715896606,526.5919797518727,249.48229386118913,0.9999784231185913,567.9122776217229,221.58598139044943,0.9999851584434509,498.3023905664794,223.9849602059925,0.9985834360122681,617.0731653792136,256.5800196044008,0.9997357130050659,444.61625117041206,255.72331460674158,0.9840311408042908,685.7849806882023,465.6987359550562,0.9834378361701965,359.3859726123595,458.5241836376405,0.9938642978668213,714.4166959269664,725.5750380383895,0.9918823838233948,275.02092111423224,708.3759802200375,0.9973919987678528,708.8889132724719,979.7260504447565,0.9922022819519043,334.664457514045,690.0326983848315,0.9415754079818726,604.2662979868915,968.8445107677903,0.9556460380554199,426.7747834737828,874.7887406367041,0.9895381927490234,610.0008778089889,1319.4184515449438,0.9839545488357544,406.3159088249064,1326.153441011236,0.9486290216445923,636.597978113296,1645.1463014981273,0.8990740180015564,372.73291198501875,1623.645394428839
7,0.9819214238839991,0.9999169111251831,527.8713132022473,248.6224068059457,0.9999715089797974,568.5289384363297,220.8150639337547,0.9999834895133972,498.7087429775281,223.0835235252809,0.9986387491226196,587.6196014747192,258.27973212195695,0.9997413158416748,444.99473314606746,255.91284819756555,0.9858232736587524,685.1763664559926,464.57565250468167,0.9833956956863403,359.56892263576776,457.2685876053371,0.9945881366729736,714.6924742509364,725.8035609784645,0.9944159984588623,277.7784849016854,709.3459591526217,0.9974372982978821,711.5266561329588,979.4073326310862,0.9885724782943726,319.3183813202247,697.2820107677903,0.9453554153442383,602.8958187031835,968.1808140215356,0.9546851515769958,428.1489202949439,873.1489202949439,0.9895696640014648,610.1520072565543,1319.5095973782772,0.9821836948394775,404.80190777153564,1327.9002808988764,0.9562200307846069,649.8654757724719,1646.0940426029963,0.9221653938293457,375.1350362827716,1625.4094978932585
8,0.9811858675059151,0.9999170899391174,527.2237827715356,247.3435488354401,0.9999711513519287,566.9382753979401,218.8281798630618,0.9999808073043823,497.64966643258435,221.33030123478466,0.9988622069358826,614.8552346676031,255.4730476065075,0.9997560977935791,444.22204178370794,254.55326837546818,0.9835622906684875,684.0135621488764,463.7166066830525,0.986869215965271,361.18101884363296,455.07219978932585,0.995366632938385,713.1112476591761,723.5695371020599,0.9898505210876465,282.88148115636704,707.6027768024345,0.9968979358673096,710.3662658005619,976.5055155664794,0.9932830929756165,334.6240051498128,688.8529962546817,0.9350041151046753,603.2201691245318,952.8994030898876,0.940400242805481,425.8158503043071,869.6755032771536,0.9882729053497314,608.3197272940076,1316.1045763108614,0.9848920106887817,400.986876755618,1327.123127340824,0.9604088068008423,635.3088424625469,1643.8708450374531,0.9268646240234375,372.025544241573,1628.2241924157304
9,0.9827593354617848,0.9999212622642517,527.4400163857679,247.4903989641854,0.9999701976776123,567.5270657771536,218.94185612710675,0.9999816417694092,498.2783971207865,221.19868474953185,0.998688817024231,614.9858087546818,254.87633865870788,0.9997599720954895,443.9633075842697,254.19184881203185,0.9839525818824768,683.5481039325844,463.7234462780899,0.9876149296760559,362.98784234550567,453.9009099953184,0.9952925443649292,713.9253423455057,723.6425415496255,0.9902181625366211,279.8904201779027,709.0046377574906,0.9973715543746948,710.714536516854,977.3432379447565,0.993550181388855,335.13306121254686,687.8070136938203,0.935907244682312,601.8495435393259,950.3945019897004,0.943065881729126,425.7470154494382,867.1267848782771,0.9889414310455322,607.4365051498128,1315.6782537453184,0.9849716424942017,401.77302785580525,1327.3128803838952,0.9656411409378052,634.9441128277153,1644.2984843164795,0.9420595169067383,371.17355746722853,1628.4888518258429
