Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7468575116466073,0.9998575448989868,574.6535580524345,614.6792339653558,0.9999749660491943,621.6384304775281,567.0116090238764,0.9998029470443726,528.3328212780899,579.754140332397,0.9991741180419922,697.7948706694756,602.6436680711611,0.9983997344970703,479.9487213249064,626.6683491338952,0.9741207361221313,865.5887172284645,890.441172167603,0.9781603217124939,395.02318878745325,881.8638079353933,0.9940953254699707,912.5974367977528,1278.3162160580525,0.9991948008537292,303.7601679541199,1212.8430038623596,0.9959752559661865,923.7205933988764,1639.8257549157304,0.992671012878418,230.82279962546818,1115.2648057116105,0.8918770551681519,771.348826661985,1627.8028441011236,0.7171652317047119,455.3851386938203,1500.550239934457,0.06454667448997498,746.7115080758426,1813.086961610487,0.05718538165092468,426.5619147940075,1826.0930184925094,0.023385584354400635,917.393199906367,1651.5845915262173,0.010991007089614868,728.3971207865168,1912.7484199438202
1,0.7410310682128457,0.9998454451560974,574.339375585206,614.5929892322098,0.9999781847000122,621.567035346442,566.9081372893259,0.9998137950897217,528.0141766151686,579.6259802200375,0.9992733001708984,697.598826661985,601.2089258544007,0.9984184503555298,479.40301673689146,626.0080904728464,0.9725102186203003,866.9044066011236,892.508046582397,0.9742037653923035,393.23874941479403,882.8846997893259,0.9949157238006592,913.3504506086142,1280.0472553838952,0.9980512261390686,338.78789208801504,1192.658663974719,0.9965473413467407,923.6963073501872,1639.934310627341,0.8443319201469421,233.51942883895128,1155.7080261001872,0.88890540599823,779.0778616573034,1628.3620084269664,0.7879043817520142,455.9310627340824,1519.7296348314608,0.04754766821861267,750.9160668305244,1805.2536867977528,0.042973071336746216,483.29968398876406,1954.624297752809,0.04505443572998047,918.6480278558054,1647.5672986891386,0.007253825664520264,729.3992128979401,1923.567123127341
2,0.7414297969902263,0.9998157024383545,575.6448238529963,613.1518463249064,0.9999829530715942,623.0757695458801,565.8729444639513,0.9998854398727417,530.414764747191,577.7466277504682,0.9993100166320801,698.683432818352,597.8795792368915,0.9985961318016052,483.1240490402622,626.3268814372659,0.9730420708656311,870.1931179775281,891.6175093632959,0.9683034420013428,391.94851650280907,886.9538565074906,0.9942981004714966,912.8958918539327,1276.3366104868915,0.9730590581893921,335.6704997659176,1184.5330787687267,0.9959502220153809,921.4865695224719,1640.2593925561798,0.9577468037605286,258.4467169943821,1193.8226386938202,0.7965794205665588,776.4879593867042,1641.8246722846443,0.7867990732192993,458.4624444054307,1510.9941186797753,0.04100078344345093,759.1717872191011,1899.230015215356,0.05752095580101013,431.5924918071162,1831.7225538389514,0.052549272775650024,918.7239583333335,1646.6151685393259,0.009867101907730103,933.3103639981273,1638.212341994382
3,0.7433610681225272,0.9997817873954773,579.8830319522473,611.6773101006554,0.999974250793457,627.3674508426966,564.4124531835206,0.9998988509178162,534.6886704119851,576.9015902972847,0.9993416666984558,703.0034966058054,599.9564021535581,0.9987586736679077,488.2592316245318,628.5563699672285,0.9750789999961853,870.5897413389514,890.8257988061798,0.962344765663147,393.12514630149815,888.8252721207865,0.9925367832183838,912.0366631554307,1277.4720564138577,0.9965810775756836,328.64349250936334,1173.1979312968165,0.99737948179245,925.8522062265918,1639.5741163389514,0.9872937202453613,279.4176468867041,1253.859140917603,0.7340097427368164,766.0252077481273,1672.7054073033707,0.8738069534301758,467.13263693820227,1510.5394136235955,0.04074770212173462,758.8186154026218,1890.383748829588,0.024670332670211792,431.4036897237828,1848.2588658707866,0.0490168035030365,920.6427024812735,1644.748507724719,0.005916565656661987,936.1086727528091,1637.3440426029963
4,0.743096377919702,0.999782919883728,582.3163184691011,609.2746371722847,0.9999658465385437,629.4027972846443,561.5470651919476,0.9999063014984131,537.8242041198503,574.5288726006554,0.9991181492805481,711.2115227059926,599.342338190543,0.9988563060760498,489.6597027153558,629.1970242275281,0.9750390648841858,868.7691654962548,891.6890507958802,0.9678816795349121,392.44411282771534,889.7631378745318,0.9906270503997803,915.1281601123596,1277.5163857677903,0.9990112781524658,335.5266853932585,1176.617582514045,0.9973140954971313,925.7522823033707,1637.9150573501872,0.9800906777381897,265.41022940074913,1289.0878101591761,0.7347372174263,775.9680770131088,1625.013752340824,0.8202721476554871,476.53250819288394,1486.3472904962548,0.04153117537498474,735.5029845505619,1796.071951076779,0.0689130425453186,436.5731068586142,1823.2733497191011,0.05323761701583862,923.7845271535582,1640.9496430243446,0.006353855133056641,728.1825696395131,1928.1963951310863
5,0.7434786768520579,0.9997888207435608,581.5097583099251,607.5390259246254,0.9999629259109497,629.239451661985,560.7253628277153,0.9999110698699951,537.5445488061798,572.4212166432584,0.9991015195846558,712.4367977528091,602.201252340824,0.9983852505683899,490.1138957162922,629.8496020599251,0.9744726419448853,870.1379623127341,891.0885562968165,0.9783930778503418,392.0731653792135,887.7964799859551,0.9935454726219177,916.1983555711611,1274.9594744850187,0.9987344741821289,343.486876755618,1175.753672167603,0.9972928762435913,926.6537921348315,1642.3640859082398,0.9811725616455078,285.4569727294007,1289.8124414794008,0.6792026162147522,775.958201661985,1673.7909644194758,0.8575693964958191,471.7000965589888,1499.504769428839,0.027498513460159302,758.5804365636704,1855.1032888576779,0.07792288064956665,429.8558930243446,1832.651422050562,0.06716758012771606,923.243357911985,1638.582192181648,0.009015828371047974,937.9712371254682,1636.4529201779026
6,0.7454764509902281,0.9997990131378174,580.4234696863297,606.0283532303371,0.9999488592147827,626.0643433988764,558.1968340355805,0.9998959302902222,536.6174362125469,570.4605205407304,0.9990306496620178,710.763840121723,599.9319332279963,0.9983963966369629,490.64475070224717,631.5890537219101,0.9798479080200195,870.7850538389514,890.4504623127341,0.9761715531349182,392.1008163623595,889.0941742743446,0.9950238466262817,921.2265917602997,1272.5558871722847,0.9980978965759277,344.5612418071162,1179.1547430945693,0.9976592063903809,925.1091409176031,1643.3522062265918,0.9866013526916504,282.69136235955057,1271.3093984082398,0.7759773135185242,784.4459562265918,1652.9327598314608,0.8358371257781982,474.5790174391386,1516.267263576779,0.015262991189956665,491.8391561329588,1892.6863881086142,0.04709067940711975,484.59803663389516,1955.2166725187267,0.06234109401702881,924.5957689606741,1638.2107326779026,0.0061178505420684814,926.9115753745318,1644.991953417603
7,0.7439915730672724,0.9998130202293396,580.2726328417604,603.0141034644195,0.9999542832374573,623.0894487359551,556.5649871254682,0.9998947381973267,536.441801264045,570.3353230337079,0.9990452527999878,701.8935071395131,602.0030869616105,0.9986954927444458,489.2372571395132,632.4814197097378,0.9854881763458252,873.5460557116105,891.6228493679776,0.9766017198562622,393.9638927902622,886.9263518258427,0.9954692125320435,926.6100479868915,1277.3705231741574,0.9920904636383057,346.35094803370794,1196.233906835206,0.9974157810211182,927.1449262640449,1644.6778441011236,0.9804502725601196,264.98953944288394,1206.8206489934457,0.7424606084823608,780.2263284176031,1655.601006554307,0.8152283430099487,466.1157683754682,1514.9853698501872,0.0523715615272522,756.3987886235955,1859.7398759363296,0.04924002289772034,427.86933813202245,1830.0797343164795,0.05679824948310852,924.7831811797753,1635.0450608614233,0.006839543581008911,703.3206782537454,1964.8553078183522
8,0.7095182187416974,0.9998021721839905,578.216804190075,604.0065396769663,0.9999724626541138,620.2283034878278,556.6086581226592,0.999881386756897,531.8290613295881,571.1708508895131,0.999125599861145,697.1513635299625,597.6468135533709,0.9982708096504211,485.68600772471916,632.4463073501873,0.9744621515274048,872.0334445224719,891.5456753277153,0.980765700340271,396.9687792602997,888.0007168773409,0.9944074749946594,924.5467579588014,1279.0756671348315,0.9746161699295044,343.5664647705993,1209.5504154962548,0.9957960844039917,932.957338483146,1647.7242801966293,0.5819758772850037,252.85609784644203,1181.6317006086142,0.6662395000457764,783.4942649812735,1645.284995318352,0.6935551762580872,455.646798923221,1533.1293890449438,0.023872852325439453,487.5076808286517,1972.7978698501872,0.045868247747421265,482.36569522471916,1956.1354459269664,0.12340247631072998,925.9582748127341,1637.5472553838952,0.009795576333999634,927.3071746254682,1668.182350187266
9,0.7537166704149807,0.9998465776443481,575.8072185159176,603.4098855922285,0.9999735355377197,618.1336317883895,556.1736306179776,0.9998655915260315,528.2210469335206,573.2700945107678,0.9994200468063354,696.8423016151685,598.6552332045881,0.9976606369018555,482.2000087780899,630.287189840824,0.9690662622451782,870.2289618445693,890.4980834503746,0.9811193943023682,403.3107297518727,885.2057730571162,0.9946157932281494,931.3102762172284,1277.4032947097378,0.999187171459198,328.2018814372659,1222.566713483146,0.9947366714477539,936.1553429307116,1650.4175444756554,0.9490776062011719,257.35413740636704,1125.2613676264045,0.8504002094268799,783.0326837546818,1648.8976182116105,0.7279133200645447,457.01442532771534,1526.1391034644196,0.033788204193115234,487.85331811797755,1970.209064840824,0.034993499517440796,438.43735369850185,1831.6156074438202,0.2636261582374573,931.0293773408241,1635.9066303838952,0.01789271831512451,932.0543656367042,1666.8148700842696
