Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7996317007962395,0.9999107122421265,218.70789442883893,164.56794729244695,0.9999178051948547,233.73198540886392,147.7506022745006,0.9996464252471924,209.73532108302118,147.93924586454432,0.9888616800308228,254.28810178682892,162.1579836727528,0.9989173412322998,184.40901997503119,159.64481653792134,0.9861067533493042,290.4835069444444,245.10619050405742,0.9396824836730957,138.38715277777777,255.15600616416978,0.9293953776359558,308.07865168539325,392.57422362671656,0.998214602470398,114.15604030118601,360.63492411828963,0.9916454553604126,310.0992216760299,492.4899051966292,0.9899773597717285,165.89907634987514,355.84771964731584,0.3214016556739807,276.42095817727835,639.0657674001249,0.6134597063064575,178.57619869694128,404.55178097690384,0.8403521776199341,235.20809437421968,388.00534975811485,0.8921331167221069,181.03857482833956,399.1293841682272,0.05128517746925354,267.94805321473154,639.383192883895,0.05283108353614807,270.47194912609234,638.9748654026217
1,0.7896455315982595,0.9996572136878967,222.97960557116102,156.3590677668539,0.9999445676803589,235.3684651997503,139.71345632412607,0.999906599521637,206.11050639825214,140.5827188670412,0.9862267374992371,246.5221744303995,152.04255179073033,0.9990389943122864,181.65279728464418,153.29842823423843,0.9838377237319946,292.19572214419475,239.3324018804619,0.9652458429336548,144.18254525593005,245.55060568820224,0.9765313863754272,306.3874551342072,382.9971568742197,0.994515597820282,113.41114622347067,355.68586142322096,0.9929301142692566,308.9539247815231,480.669817025593,0.9911820888519287,161.6938348548689,350.98409702715355,0.3294442892074585,231.9625419397628,400.64162960362046,0.48375949263572693,176.98419456148565,396.2394419085518,0.9284276366233826,236.14049820536826,383.9032752028714,0.7195947170257568,182.8263059847066,393.2384080446317,0.033884525299072266,263.7108448423845,638.9780840355805,0.0398465096950531,264.1481156367041,622.6741963171036
2,0.7958550716147703,0.9996912479400635,222.2444649266542,156.23352888966915,0.9999585151672363,234.7126931179775,139.4616348704744,0.9999130964279175,205.32533064138573,140.31942493757802,0.9860539436340332,246.2383982911985,151.26475206772784,0.9990758895874023,181.09616885143566,153.6191576935081,0.9856079816818237,292.0408376248439,239.10434222846442,0.9581502676010132,143.62952559300874,246.23302902621722,0.9632564783096313,308.07075140449433,383.24123654026215,0.9949662685394287,113.70677278401996,355.7162433676654,0.9955369830131531,308.5808071941323,480.1995064762796,0.9940762519836426,160.83448423845192,350.58881476279646,0.4097136855125427,232.50629584113608,401.3440718632959,0.3961228132247925,173.98303877965043,408.62135221598,0.9284747838973999,231.2157947097378,377.2845222768414,0.8069901466369629,183.60482502340824,381.3612866729088,0.03525438904762268,240.41594003589262,664.9169495162297,0.07669347524642944,265.8860311329588,574.031484082397
3,0.7995786631808561,0.9996964335441589,222.32851513732834,156.11843837780899,0.9999573230743408,234.7033542056804,139.48125146301498,0.9999174475669861,205.09139454588012,140.35303770677277,0.9870677590370178,246.2867021691635,151.47109813904493,0.999076247215271,180.38421699438203,153.34302580758427,0.9855285882949829,292.6550600811485,239.1124863451935,0.9681625366210938,144.14701837546812,246.10104069132333,0.9791280627250671,306.82221441947564,382.32833957553055,0.9956973791122437,115.41018551029958,351.08889766697877,0.9964337348937988,308.0233497191011,480.3369811173533,0.9935116767883301,160.47421679931335,350.6828622425093,0.4192606210708618,233.6061905040574,399.7911789950062,0.4662027955055237,177.45704100343318,394.3459347690387,0.9127088189125061,235.58062675561797,381.8564440933208,0.7983022928237915,183.13061310081144,392.1997893258427,0.02454209327697754,240.87625331616726,666.468330602372,0.06764346361160278,265.34968984082394,570.8436719725343
4,0.8048235248116886,0.999698281288147,222.11920646067415,156.02169651217227,0.9999614953994751,234.44444932116102,139.22745493913857,0.999924898147583,204.58031464575527,140.44456148564294,0.9871550798416138,246.28999395287138,150.54231526997503,0.9989938735961914,180.58028538545568,153.46170070614855,0.9871337413787842,291.79110096754056,238.7630939840824,0.9670605659484863,144.10851669787763,246.11969413233456,0.9678014516830444,306.2893843632959,383.34486676810235,0.9964204430580139,115.71527290106116,351.0187460986267,0.9944145679473877,308.3378491729088,480.4668480805243,0.9930076599121094,160.53271301498125,351.1011138420724,0.5294156670570374,232.5466019038701,398.6814089809613,0.47888270020484924,178.0939158083645,394.64607229244695,0.8727658987045288,229.9979322721598,379.8333138264669,0.8239848613739014,183.32594998439447,392.53720934769035,0.023028701543807983,243.1708947799625,667.5990461142321,0.06235003471374512,265.8284858770287,578.1817162141074
5,0.7872752249240875,0.9997124075889587,222.04239817415726,156.043800230181,0.9999611973762512,234.5506642088015,139.25337468789013,0.9999251365661621,204.6849689840824,140.48373371176655,0.9878861904144287,246.49374317259674,151.0735360096754,0.9988821744918823,180.80073735955057,153.24779572409489,0.9868104457855225,292.34109706616726,238.91288233458175,0.9683554172515869,144.70364680867664,245.2066996332709,0.9645671844482422,306.61578300561797,381.3322945926966,0.9969168901443481,115.49386996722848,350.73901763420724,0.9941691160202026,308.90442610799,481.1861637796504,0.9926419258117676,160.72917154338325,350.47343164794006,0.3131287097930908,261.62119616104866,525.2721695536828,0.5544039011001587,171.87015254369538,405.55428760923843,0.8516223430633545,227.91559866573033,378.52364719881393,0.7078171968460083,181.4622151997503,393.32267770755305,0.03343474864959717,309.81315348002494,489.0683520599251,0.033443838357925415,259.4552268648564,577.2940074906367
6,0.8028827853062573,0.999670147895813,222.83732736423218,157.4663750390137,0.9999555349349976,234.69233282615477,138.95539511157926,0.999930739402771,204.82949048064916,140.19826291354556,0.9889187812805176,246.55870103776527,150.6269506866417,0.9987267255783081,181.16010260611733,153.31788633348938,0.9862604141235352,291.4443176498127,239.40501619069911,0.9694715738296509,144.68567610799,245.57876872659173,0.9546619653701782,307.84603230337075,381.22810354244695,0.9967362880706787,115.50981683052436,351.01879486579276,0.9967756271362305,308.1893531523096,485.80880344881393,0.9898239374160767,160.85250370630462,349.45190582084894,0.4446660876274109,261.50237496098623,527.4418207709114,0.5130659937858582,176.40001267946315,391.69977957240945,0.9363387823104858,228.63369518570534,378.68357911985015,0.8221064805984497,186.6543334503745,379.50030723314603,0.026795685291290283,309.7287862827715,489.65550873907614,0.025102585554122925,306.4892322097378,493.51011431023716
7,0.8007236736662248,0.9996342062950134,222.19328378589262,155.7804453417603,0.9999440908432007,235.41169729244695,138.87491709581772,0.9999237060546875,205.3226240636704,139.86450042915106,0.9902530312538147,248.16206792290882,150.7816157537453,0.9986052513122559,181.6638674313358,152.71870854790885,0.9860396385192871,292.7684925093633,239.7918373517478,0.9650352001190186,143.99154865012486,245.48762289325842,0.9545067548751831,308.21124960986265,381.8812421972534,0.9970550537109375,115.90846402933829,350.84789033239696,0.9946401119232178,308.2112983770287,484.42084113607984,0.9891625046730042,161.4309310627341,349.1194112827715,0.34447622299194336,232.61329100343318,400.8269936017478,0.5829793810844421,172.75208235799,401.5057837858926,0.9229099750518799,234.11093067259674,380.33564002028714,0.8185334205627441,184.30095193508112,395.57372132490633,0.030854880809783936,242.74032947097373,665.4085225499375,0.037749022245407104,263.1026695146691,634.9985857521847
8,0.8023545952404246,0.9996709823608398,223.38571414637948,157.10599787375156,0.9999285936355591,235.8110028480025,138.5105775983146,0.99989914894104,206.15154396847686,139.65278996956928,0.9912625551223755,249.71447311953807,150.71406103698502,0.9987587928771973,182.53292271379524,152.31511148174155,0.9793310165405273,293.75241885143566,237.1963756242197,0.9515149593353271,144.98147335362046,245.24154377340824,0.9874188899993896,308.29659215043694,387.7920665574282,0.9977544546127319,116.36682662297125,350.8862944756554,0.9904921054840088,309.6329588014981,487.6535190387016,0.9837874174118042,164.65448950530583,348.2304833801498,0.39403480291366577,258.8649490870786,526.5961493445693,0.49291008710861206,172.25380383895128,406.5768619303995,0.9158794283866882,235.29280294163544,380.90141229712856,0.8672423362731934,184.39999804931335,395.36782634987514,0.0445859432220459,300.10131866416975,494.2416705680399,0.045556604862213135,306.39750117041194,494.7120786516854
9,0.8003128539113438,0.9996815919876099,215.18024832240945,157.16640820068665,0.9998763799667358,236.47043246722842,137.9881959074594,0.9998811483383179,206.93159917290882,139.32044173299,0.9906482100486755,250.4592452793383,150.06076388888889,0.9991158246994019,183.34465219257174,152.23419456148562,0.9837086796760559,293.8129876716604,236.69151353776527,0.9630013108253479,145.34356956148565,245.13666998283395,0.9821627140045166,308.25226279650434,385.5820605102996,0.9979492425918579,116.50834893882643,350.55499473314603,0.9939056634902954,308.0608516697877,489.4553195224719,0.9784910678863525,162.16212156679148,348.7047684534956,0.4532812833786011,261.0014873985643,518.4913877184769,0.5144678354263306,171.73828612671656,419.04835752184766,0.90435391664505,230.37938904494382,379.1023671582397,0.7482826709747314,184.49297265137324,394.85625877808985,0.028632313013076782,300.3215511860175,494.4144038701623,0.06787866353988647,306.5686251560549,495.2276451310861
