Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9875555003390593,0.9991610050201416,528.4847553838952,407.34192123127343,0.9999840259552002,555.7598899812734,374.51954588014985,0.9999289512634277,478.0375848548689,371.6476108965356,0.9995404481887817,605.8671289794008,409.1393814372659,0.9989601373672485,446.3505091292135,399.9491602294008,0.990684986114502,672.1794534176031,614.466877340824,0.9877608418464661,363.06465063202245,626.0894341058053,0.996243953704834,699.97344627809,852.8755559456929,0.9960900545120239,322.0395160346442,862.0207162921348,0.9916306734085083,678.916637406367,1089.4525397940076,0.9802017211914062,279.0384334035581,1089.225626170412,0.9553530812263489,590.5987388810862,1111.145467579588,0.9283398389816284,411.16982677902627,1098.4844627808989,0.9897911548614502,590.0929014513109,1409.150866104869,0.9895837903022766,392.92602996254686,1409.670236423221,0.9911021590232849,599.4733877574906,1657.1671640917605,0.9940866827964783,383.8677727059926,1654.4057233146068
1,0.9885217442232019,0.9993277788162231,528.3469393726592,407.21972290496257,0.99997878074646,554.6572155898876,375.81164413623594,0.9999040961265564,476.60331811797755,372.68982619382024,0.9994553327560425,607.394224016854,410.23861774344573,0.9988831281661987,425.3851386938203,399.9111584152622,0.990147590637207,669.827656835206,614.4089419475656,0.9883108139038086,363.2413096910112,627.6314518960675,0.995111346244812,700.8249941479401,855.0062178136704,0.9949989914894104,325.6982970505618,862.8214975421348,0.9906859397888184,678.2337020131085,1088.2530138108614,0.9876717329025269,281.77683169475654,1089.2327217930713,0.9597468972206116,596.5415057350187,1115.5718194054307,0.9372114539146423,410.2419826779027,1104.933286516854,0.993664026260376,586.393594920412,1411.5979049625469,0.9909468293190002,395.88636762640454,1406.8156015917602,0.9882294535636902,593.130632607678,1656.278675093633,0.9905954599380493,388.04153499531833,1651.902504681648
2,0.9883353394620559,0.9993716478347778,528.9208801498128,407.6651378160112,0.9999841451644897,555.2013108614233,375.6602586610487,0.9999259114265442,477.13417310393265,372.7860560042135,0.9995269775390625,606.9279611423221,409.64079324672286,0.9989676475524902,446.740548923221,400.66651305009367,0.9893112778663635,669.8840560627341,613.3590458216293,0.990179181098938,362.9991807116105,628.7562909644195,0.9956222772598267,701.8202100889514,853.8905225889513,0.9952887892723083,322.20110603932585,857.5232619382023,0.9924762845039368,677.9979371488764,1088.45703125,0.9896464347839355,283.9984930945693,1087.1260533707866,0.9559693336486816,595.7885650749064,1110.9180419007491,0.9358224272727966,412.0629974250936,1099.2186768492509,0.9932253360748291,588.6029669943821,1410.914384363296,0.9915010929107666,397.8278616573034,1405.0099485018727,0.9868651628494263,600.1973607209738,1659.3558345037454,0.9880168437957764,387.4720564138577,1649.0064665262173
3,0.9868875180973726,0.9994508624076843,504.2062412219101,408.1120157420412,0.9999852180480957,555.9933140215356,375.18525427200376,0.999923586845398,478.11717286985026,372.2139439957865,0.9994941353797913,606.8978230337079,409.61358116807116,0.9990425109863281,446.4840092462547,398.5603566830525,0.9910875558853149,671.2587780898878,613.4121532654494,0.989554762840271,362.2746225421348,627.0191069756554,0.9951069355010986,700.8080231741574,853.7325901217229,0.9928712248802185,316.10545411985026,859.1458918539327,0.9912468791007996,677.2273671582398,1086.980629681648,0.9923831820487976,285.6143199906368,1082.1285404962548,0.9541233777999878,594.1249707397004,1109.8592579588014,0.9103199243545532,406.0310598080524,1098.2383836610488,0.9917237758636475,588.8074964887641,1411.185627340824,0.9932248592376709,402.8876258192885,1401.410785346442,0.9900646209716797,600.4161546114233,1658.5514688670412,0.9874843955039978,387.48346793071164,1652.6575667134832
4,0.9859691121998955,0.9995203018188477,504.8591116573034,407.87540964419475,0.9999848008155823,557.5708830758427,375.80780372191015,0.9999202489852905,478.1533824906368,371.76567620552436,0.999483048915863,607.7341555477528,410.26144077715355,0.9989289045333862,425.6274871254682,398.61792632256555,0.9907298684120178,672.7409585674159,614.2624941479401,0.989440381526947,363.0817679073034,627.1147881554307,0.9938817024230957,701.5278265449438,856.3805009363297,0.9939943552017212,317.40088073501875,857.8750438904494,0.9894101619720459,677.9489261470037,1086.9104049625469,0.9954630136489868,289.81024695692884,1075.2002136001872,0.9566947221755981,595.0960469335206,1115.2991134129213,0.8989605903625488,405.384846090824,1098.095081343633,0.9919583797454834,590.5557262406368,1409.8086376404494,0.9923476576805115,399.48406776685397,1402.969774110487,0.9860540628433228,601.6069756554308,1658.833830758427,0.9847027063369751,386.75890976123594,1650.8055360486892
5,0.9853092887822319,0.9992774724960327,502.6898993445693,407.9639220505618,0.9999839067459106,556.5156835205993,374.3033854166667,0.9999092817306519,476.83001228932585,370.95845768960675,0.9994596242904663,607.1564840823971,408.70665818117976,0.9988700747489929,447.62662394662925,399.07446014747194,0.9893693327903748,673.6186944054307,614.3098958333334,0.9919450283050537,361.195941596442,628.802887991573,0.9932565689086914,700.9711493445693,856.199379681648,0.996086597442627,315.70707514044943,847.5460849719101,0.9936978816986084,677.2746225421349,1089.3158210440076,0.9967643022537231,292.5755647237828,1056.5396038155432,0.9587292671203613,591.539457514045,1113.6467111423221,0.8811497688293457,403.875160931648,1099.9470388576779,0.9914692640304565,589.9839799859551,1407.461815308989,0.9904810190200806,396.97433871722853,1403.5116748595506,0.9821401238441467,600.4570458801498,1660.4684573970037,0.9876683950424194,384.85794124531833,1649.6330758426966
6,0.9852696937673232,0.9991645216941833,526.2064753043071,406.15742772705994,0.9999858140945435,555.829456343633,373.4240402621723,0.9998967051506042,474.67228464419475,369.67089477996257,0.999454140663147,607.238120318352,408.2376521535581,0.998834490776062,446.71597027153564,399.91847349016854,0.9897657632827759,674.0058813202247,613.3785770716293,0.9912803173065186,358.49938553370794,626.1043568586142,0.9937940835952759,701.6606683052435,856.6966584737828,0.9945766925811768,315.98694990636704,842.4212166432585,0.9930659532546997,677.1791608146068,1088.033195809925,0.995273768901825,285.23905664794006,1044.3226972144196,0.9545648694038391,588.6998917368915,1113.62813085206,0.883843183517456,400.6221471207865,1092.2635036282772,0.9898889064788818,593.8835001170412,1397.1456577715355,0.9933688640594482,397.8697770365169,1400.8975596910113,0.9840737581253052,600.1893872893259,1658.5229400749065,0.9887529611587524,385.4206899578652,1649.5324204119852
7,0.9863106959006366,0.9993451237678528,504.4458099250936,408.7316757373596,0.9999799728393555,556.3213219803371,374.41651305009367,0.9999197721481323,477.920470505618,370.8642395248128,0.9993846416473389,608.3260914091761,408.2990256320225,0.9987623691558838,447.95894779962555,396.00106800093636,0.9913811087608337,673.7836493445693,613.030781835206,0.9877077341079712,362.5092169943821,625.8356741573034,0.9940736293792725,700.5490695224719,855.8930974953183,0.9945026636123657,309.322185159176,840.1522998595506,0.9903576374053955,678.0409497893259,1086.571716994382,0.9951412677764893,286.86271067415737,1021.6487447331461,0.962183952331543,582.9149841994382,1108.7087429775281,0.8917434811592102,401.3095447097379,1081.1220593398878,0.9901999235153198,592.3825198970038,1405.8681530898878,0.9928271770477295,397.64586259363296,1401.5196336610488,0.9866691827774048,600.25390625,1656.9589770599252,0.9931021928787231,386.70163272471916,1653.8777212078653
8,0.9866248228970695,0.9994115829467773,505.43312558520597,407.9601913623596,0.99997878074646,557.5713951310862,374.88946921816483,0.9999189376831055,478.8610428370787,371.3684310627341,0.9993621706962585,608.3078037219102,410.3515259246255,0.9988544583320618,426.3850362827716,395.2791066830525,0.9902037382125854,674.886250585206,612.8661194990636,0.9864835739135742,360.9538857677903,624.2870727996254,0.9935323596000671,700.9817562031835,855.5611393960675,0.9975487589836121,312.15794709737827,825.3253013810862,0.9864959716796875,677.1101796582398,1085.1005091292136,0.9941173791885376,286.8464712078652,981.8196980337079,0.9573028087615967,580.4766502808989,1108.056018843633,0.9106441736221313,405.68944580992513,1086.7746371722847,0.9891918301582336,592.4741777855805,1406.6643258426966,0.9922741651535034,399.3311095505618,1399.0752282303372,0.9844765663146973,598.3163623595506,1654.6661399812735,0.9928247332572937,386.56842521067415,1654.2344042602997
9,0.9856817722320557,0.9993354678153992,504.2817327949439,407.88872308052436,0.9999790191650391,557.1868416432585,374.7392907303371,0.9999216794967651,478.3629593867041,370.4532420411985,0.9993881583213806,608.5943352059926,410.9801834620787,0.9988224506378174,447.62698970037457,395.6730234667603,0.9906007051467896,674.1548893960673,612.8268009714419,0.9895102381706238,364.44551732209743,619.3769019194757,0.9947192668914795,699.7154435861423,855.8353084035581,0.9986423254013062,313.48153675093636,811.197038857678,0.9855545163154602,678.0563114466293,1086.616485252809,0.99061119556427,292.0225450608615,938.543202832397,0.956967294216156,588.401875585206,1111.8741953417602,0.8880620002746582,397.5563992275281,1074.7629184222847,0.9891742467880249,593.8088132022473,1406.9775573501872,0.9934541583061218,398.55329763576776,1399.6251755617977,0.9869956970214844,602.0606566011236,1656.8997249531835,0.9948517084121704,387.19335205992513,1653.9398993445693
