Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8346040441709406,0.9997273683547974,235.68340172928367,212.6147186622191,0.9999610185623169,253.74050869030896,200.87701347436797,0.999812662601471,220.3152705846208,198.49616232882724,0.9963908791542053,271.45697090063203,225.24087627282302,0.9917864799499512,197.91369491748594,216.7097936051615,0.9845807552337646,310.7053469540028,315.0657533795646,0.9550747871398926,162.69031996137642,302.2505650895365,0.9727345705032349,334.44857136587075,455.7035090414326,0.9246028661727905,138.43824065133424,414.1675901948736,0.9935791492462158,328.83731456285113,563.4275697858146,0.9606527090072632,129.95443622717696,545.2719561973314,0.662782609462738,269.7457097085674,560.1043495435393,0.68560391664505,177.94093442766854,533.1626360603932,0.9551085233688354,255.8207239729635,650.5492341116573,0.974509060382843,203.63174267029495,665.3863456811797,0.09730136394500732,241.7033883426966,750.7790006144663,0.0340600311756134,246.15558067064603,749.2656030547753
1,0.8399220617378459,0.9997355937957764,237.5487458304073,212.36729996927667,0.9999688863754272,256.0363632373595,201.37870874297752,0.9998793005943298,222.13252721207863,199.3344699130969,0.9974476099014282,272.2974455758427,225.8952142951194,0.9908618927001953,200.10769619030896,219.3232915642556,0.9864858388900757,309.4475838307584,315.05922467521066,0.9560621976852417,165.5155481917135,301.1349521594101,0.9638346433639526,335.51140603054773,452.32649556706457,0.9390125870704651,141.31992297226122,415.074860647823,0.9915903806686401,330.5156579178371,562.7781008602528,0.9419679641723633,131.33594298630618,546.2171918890449,0.6908067464828491,248.30942218223316,560.0119052844101,0.7590580582618713,251.10247322682585,554.5225816362359,0.9660016298294067,258.9523075403792,651.7880969101124,0.9801409244537354,203.15794526860952,665.4566252633426,0.06728911399841309,241.68832843223316,751.6570290554776,0.048531681299209595,300.1844221822331,608.8036560744382
2,0.8369622791514677,0.999733567237854,239.0422006671348,213.26307661077948,0.9999659657478333,258.41218069698033,202.25653144750703,0.9998965859413147,223.99740497717698,199.53462407830057,0.9978611469268799,272.93975487183985,226.88586288623594,0.986933708190918,202.42983014396066,219.4639741704705,0.9858230352401733,313.5208918539326,315.1213022296348,0.9475021958351135,164.56200074613764,302.37729876228934,0.9209060668945312,338.14112974016854,448.8802449087079,0.9065514206886292,140.51949833216293,414.853241309691,0.9940876960754395,331.2862919153792,562.6751777563202,0.939842700958252,132.74537504389045,546.5425847085673,0.7637226581573486,275.60887025983146,560.2851781952247,0.7233451008796692,179.37033663974717,536.5285397647472,0.9597206115722656,261.10499692766854,652.6336464185393,0.9876030683517456,202.68946958391854,665.785858497191,0.06486347317695618,243.23305280021066,750.9957645716291,0.049999743700027466,302.2889143697331,604.3929402212078
3,0.8272718138554517,0.9996829628944397,239.76581702071627,212.8094825316011,0.9999772310256958,258.93132241924155,201.5317629696278,0.9999300241470337,225.13441450140448,198.79309493504212,0.9974371194839478,273.90523503335675,226.8235110165028,0.9795916080474854,204.44357882724717,217.6133882329705,0.9839558601379395,312.5194215238764,314.2747377545646,0.9675039052963257,163.5404231039326,301.91787548279495,0.9234610199928284,338.92114532127806,442.46979788448033,0.8612082004547119,141.8038974719101,412.6582799332865,0.9928440451622009,333.64765295821627,562.8741660814607,0.8577892780303955,123.40499363588484,540.9672357794943,0.7549798488616943,268.28884853405896,555.1134568117977,0.6439505219459534,246.50826786341293,551.3540203651685,0.9644593000411987,260.4247772559691,652.8682408707865,0.9879447221755981,203.48748024929773,663.9319807759831,0.07566070556640625,242.4944313992275,751.1955758426966,0.07324448227882385,302.4097502633427,605.0571124473314
4,0.8309723226463094,0.9997410774230957,239.93111942591293,213.17673586727528,0.9999648332595825,259.9413239554073,201.81039874473313,0.9999357461929321,225.62209225772472,199.56109550561797,0.9972981810569763,274.91364554073033,226.93009622981037,0.9833595752716064,205.7320652650983,218.02089734023875,0.9832597970962524,314.2276378160112,315.84088614817415,0.9662889242172241,163.90035222085675,303.72937148876406,0.9350165128707886,337.66099565484546,445.3487644838483,0.9383513927459717,142.27418363764042,419.5064518960674,0.9882123470306396,330.69881824964887,562.9121313202247,0.8314917087554932,125.58977791432582,545.0037306882023,0.6988100409507751,271.4242176527388,548.972140537219,0.7181054353713989,246.75597458742976,549.9433264571629,0.9582184553146362,260.6066757373595,652.879487798455,0.9907070398330688,203.12845637289325,663.1466709094101,0.07146993279457092,343.2165664501404,514.447967872191,0.0662984848022461,301.90506495786514,606.8002765098314
5,0.8306504330214333,0.9997372627258301,242.2118591994382,214.48224357004915,0.9999502301216125,261.49040993679773,202.7354311139396,0.999935507774353,227.1536769224017,200.53296721383427,0.9972295761108398,276.17450842696627,225.96102253774578,0.9848430156707764,207.040741309691,219.63016810042134,0.9690870046615601,322.809784278441,316.7886729722612,0.9471811056137085,166.0184504476826,302.55960871664325,0.9815155267715454,337.1493153089888,438.6209620786517,0.9432114958763123,142.66661911867976,419.16857772998594,0.9865075945854187,331.8965611832865,563.8864992977528,0.8629853129386902,126.5623628423455,545.336365431882,0.692578911781311,277.6268982619382,559.9682891502808,0.66170334815979,252.69089602352528,555.2161604634831,0.953626275062561,262.39932628160113,664.2588000351124,0.9804151058197021,203.47809866573033,666.7300517907303,0.12621381878852844,8.74524062938903,380.2611481741573,0.03433626890182495,146.3618657830056,548.9053721910112
6,0.8546864600742564,0.9996877908706665,245.8183099982444,212.52736295207163,0.9999355673789978,263.98988873771066,201.27636170119382,0.9999328851699829,229.56241221910113,199.3639862403441,0.9977465867996216,278.50489927141854,226.10857674245085,0.9870420694351196,208.56985713658707,219.4700776860955,0.9578146934509277,309.00412570224717,314.2436303985253,0.954814076423645,169.11478449789325,301.96722480688203,0.965538501739502,341.2830275632022,440.3125274315309,0.8677616119384766,142.20052997717698,415.8956943469101,0.9870015978813171,333.9298959796348,563.3055543363764,0.7481710314750671,118.26243196980337,545.2073823735955,0.8048708438873291,272.9783236042837,561.6606500175561,0.7488065361976624,257.36177251580057,557.4962144487359,0.9145253896713257,267.56462868679773,655.1275017556179,0.9627273082733154,199.89134370610952,670.3088241748595,0.5355138182640076,8.023311314957851,378.3146616046348,0.09777951240539551,9.174283488412925,380.2147065923455
7,0.8638137806864346,0.9997223615646362,246.6789742801966,212.49558352352528,0.9999070167541504,265.26059954353934,201.24315583304073,0.9999361634254456,230.17627501755618,199.86858925122894,0.9973102807998657,280.16179116924155,226.66209017292837,0.986514687538147,209.47822485077245,221.1300144838483,0.9736400246620178,310.8519410551264,313.46301132373594,0.9349246025085449,170.9008240431882,306.6683582777388,0.9482454061508179,342.6073670119382,439.61977155021066,0.8022938966751099,133.17275829529493,431.2227056267556,0.9882802963256836,335.95851255266854,562.4171567766854,0.8213688135147095,112.05086354459269,541.2266831987359,0.8348103761672974,274.4100026334269,565.4152036516854,0.7166469097137451,179.29753335674155,532.5697309515449,0.9233523607254028,266.52247739641854,655.1670580231741,0.9806427955627441,200.8635445926966,668.5528221558989,0.596179723739624,10.858030854985941,382.5215886148174,0.18105855584144592,134.26392973139045,551.3389878862359
8,0.8829023838043213,0.9997133016586304,247.96715897120788,211.97999418451545,0.9999127388000488,266.11517402563203,200.73988325140448,0.9999074935913086,231.37393565660113,199.15199536955757,0.9975494146347046,281.4355743065309,225.859375,0.9905067682266235,209.7701512025983,218.975830078125,0.9804738759994507,313.9082799332865,312.2778868943118,0.9592555165290833,174.9484012903792,303.5136773613062,0.9354162216186523,346.88059603230334,451.70349806882024,0.9290919303894043,137.695038184691,424.94535639044943,0.9890768527984619,337.37611920646066,561.9301373771067,0.9772413372993469,107.26891678370785,532.738709181882,0.707789421081543,180.6497981039326,496.53177668539325,0.6122372150421143,187.12706833742976,547.6230578476124,0.9194003343582153,265.11304533883424,664.7583282127808,0.9798675775527954,201.3078530986657,667.4066230688202,0.7853055596351624,11.514618262816015,382.0015416520365,0.24659496545791626,11.8148289369733,378.092438772823
9,0.8835864978678086,0.9997283220291138,248.07181026158707,212.0369969057233,0.9999055862426758,266.76170777738764,200.3538667485955,0.999852180480957,232.25289676966293,198.41873683286516,0.9978201389312744,283.3211354459269,226.41757922226122,0.9866305589675903,211.58499385533707,217.23056750351122,0.9792851209640503,315.1335915554775,311.947419241573,0.9022296667098999,166.53449240695227,302.56616485252806,0.9223124980926514,347.1851408883427,438.75548630617976,0.9949955344200134,144.53007044417132,414.8899172665028,0.9916612505912781,332.87987183988764,559.824493065309,0.9952309131622314,106.56484539589184,498.00117406952245,0.7370805144309998,257.91292683462075,560.5419921875,0.7092350721359253,201.37305784761236,534.357882724719,0.9039015769958496,265.4001711727528,655.8619535639044,0.9850033521652222,201.67466752984552,665.7361525632023,0.685869574546814,4.953681860077239,385.09131956636236,0.23022860288619995,9.99773689870085,383.17701018258424
