Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8578755504944745,0.9998478889465332,527.7680243445693,512.8769458099251,0.9999755620956421,572.1215911750936,456.87869411282776,0.9997971057891846,470.3698501872659,460.47537014279027,0.993532657623291,646.6511587078653,498.9948721324906,0.9770243167877197,414.4071131788389,501.7866338951311,0.9841618537902832,752.4362125468165,787.8530255149813,0.9779691100120544,375.5666988529963,794.2709796348315,0.992974042892456,790.3937704822097,1122.0831870318352,0.9961230754852295,231.04656776685397,1132.7245727996255,0.990847110748291,845.011411516854,1429.1656425561798,0.9996517896652222,322.2114202949439,850.5108116807116,0.8526246547698975,694.1998771067417,1436.6227762172284,0.917405366897583,419.129140332397,1448.8506554307116,0.7964339256286621,629.3717813670412,1853.8228581460676,0.9151557683944702,439.15935159176036,1846.1813845973784,0.07926294207572937,801.2433432818352,1323.505091292135,0.11109718680381775,430.1492275280899,1926.4216116573034
1,0.8535919522537905,0.9998509287834167,528.2545499765918,513.817188963015,0.9999767541885376,575.5672840589888,455.2086259363296,0.9997775554656982,470.66647647471916,461.1430170294944,0.9932414293289185,647.1838424625469,498.5668305243446,0.9772884845733643,414.73826661985026,503.63906688904495,0.9849479794502258,751.9025778323971,785.9276246488764,0.9819977283477783,376.4068352059926,789.2330875468165,0.9943586587905884,791.36016502809,1126.5363851825844,0.9962171316146851,230.98014688670412,1134.7087868679776,0.989022970199585,845.9344276685395,1425.722583099251,0.9997035264968872,325.90977586610495,846.2669709737828,0.8201278448104858,695.2826544943821,1435.4792837078653,0.9064068794250488,418.29865987827714,1448.4276977996255,0.8037744760513306,648.9699643024344,1841.461405664794,0.9224400520324707,440.0637143024345,1847.9555828651687,0.05957666039466858,431.58890742041206,1915.7211200842696,0.08235412836074829,430.93376931179773,1933.8330992509364
2,0.8500313951688654,0.9998419284820557,527.5883661048689,514.5655577013109,0.9999750852584839,576.4559193586142,456.447031542603,0.9997349381446838,470.1631993211611,461.697499707397,0.992849588394165,646.0708538155432,500.39044212312734,0.9761390686035156,414.00719803370794,505.3120245201311,0.9817889928817749,752.2956899578653,786.2649227528091,0.9805020689964294,376.5140742041199,789.4361540262173,0.9941716194152832,793.2616455992509,1127.2418510065543,0.9955016374588013,229.98675971441946,1135.6130032771537,0.9862806797027588,849.084152621723,1430.8056823501872,0.999550461769104,323.60443000936334,850.9451076779027,0.8071804642677307,695.8492070458801,1433.893668071161,0.915195107460022,421.4161253511236,1446.568205758427,0.8109582662582397,647.9134480337079,1842.4081226591761,0.8889581561088562,438.1140273876405,1849.427814840824,0.057268232107162476,429.66197038857683,1919.564314138577,0.06463742256164551,430.48615987827714,1937.3462371254682
3,0.8569227562231176,0.9998376369476318,526.4453856507491,515.4219335205993,0.9999712705612183,575.2581489934457,457.18226972144197,0.9996267557144165,468.6509538857679,462.4986467111423,0.9919096231460571,645.077978698502,499.9540247542135,0.9797837734222412,413.17730278558054,506.83403558052436,0.9863057136535645,753.6204500234082,786.5205114700375,0.9824771881103516,375.7200228230338,791.311958684457,0.9945957660675049,791.6592784410113,1127.8737271769664,0.9955356121063232,231.36477352528095,1135.4297606507491,0.9869785904884338,848.3950725655432,1430.1855102996255,0.9994857311248779,322.0894779962547,853.8521184456929,0.8417136073112488,694.9933432818352,1437.7100889513108,0.9169145822525024,418.86192064606746,1446.2501463014983,0.8420686721801758,628.4038506554307,1854.9523057116105,0.9000231027603149,438.15491865636704,1848.16874414794,0.08247408270835876,805.2759246254682,1320.7710088951312,0.06798514723777771,431.01035814606746,1934.5448560393259
4,0.8549277396763072,0.9998056292533875,525.2949438202247,516.871488764045,0.9999616146087646,573.4170909410112,458.6617070458802,0.9995169043540955,467.20169124531833,463.8174815660112,0.9929872751235962,642.7636352996255,500.5281484082397,0.9766218066215515,412.641254096442,506.5651334269663,0.9832390546798706,757.8531718164795,789.9539881788389,0.9731111526489258,371.80462897940083,787.8199613764045,0.9914337992668152,788.3853435159176,1131.146637991573,0.9957066774368286,229.1940981975656,1137.9395628511236,0.9878623485565186,847.2574321161048,1430.2452013108614,0.9992648959159851,318.7177405196629,858.0838161282771,0.8479509353637695,694.0634509597378,1436.7373302902622,0.9363839626312256,422.22678195224717,1449.8362886235955,0.8366622924804688,647.6808286516855,1851.2236657303372,0.8855119347572327,462.1990578183521,1842.741104868914,0.08608481287956238,806.8857531601125,1323.2227294007491,0.04166647791862488,430.9451076779027,1939.966496956929
5,0.8546924836495343,0.9998158812522888,524.5681179775281,516.9268273057116,0.9999580979347229,568.984301849251,460.53436622191015,0.999528169631958,465.67737593632967,464.15905898876406,0.9935057163238525,641.8606624531835,501.56388986423224,0.9771944880485535,411.3800620318352,506.3390244616105,0.986533522605896,756.8902153558054,788.3843194054307,0.9721015691757202,371.7379886470038,787.8955261001873,0.9932249188423157,788.8336113061798,1123.8480951544943,0.9965275526046753,228.29997659176036,1139.2540818117977,0.9869780540466309,848.7593632958801,1432.8069405430713,0.9991496801376343,314.96561914794006,857.2730863764045,0.8258380889892578,693.4653704353932,1435.0234082397005,0.9181607365608215,416.8000936329588,1446.8273057116105,0.8470780849456787,629.2860486891386,1861.9240110018727,0.8814405202865601,460.5842550327716,1837.1522413389514,0.10927176475524902,805.9731975655432,1324.9901977996255,0.043465375900268555,433.090472846442,1940.3660463483147
6,0.8543846677331364,0.9998296499252319,522.7321804775281,516.3288565074906,0.9999529123306274,567.9788448033709,460.22830348782776,0.9995291233062744,464.2962897940075,464.05079588014985,0.992920458316803,640.883441596442,500.45796026451313,0.9755544662475586,409.8982473080524,506.46049128043074,0.9885696172714233,755.2457133661048,784.8706694756554,0.9625170230865479,366.85502984550567,791.1359579822098,0.9942467212677002,788.173206343633,1116.0792661516855,0.9959107637405396,227.7629037921348,1137.4395043305244,0.9905483722686768,846.2908181179776,1429.8403850655432,0.9993647933006287,314.10814606741576,854.7569200608615,0.8416471481323242,693.4331841058054,1434.2011938202247,0.9082543849945068,414.16578885767797,1449.8651100187267,0.8520160913467407,647.0234228698503,1852.427434456929,0.8772236108779907,458.9875204822098,1841.2816011235955,0.0924021303653717,807.190938085206,1327.857121956929,0.05405208468437195,430.789223431648,1935.4165203651687
7,0.8584854374913609,0.9998199939727783,520.3374444054307,515.5006071512172,0.9999507665634155,567.0240812265918,458.9334255032772,0.9995015263557434,463.6791900749064,462.85412277621725,0.9935302734375,641.4416549625469,499.57323852996257,0.9758354425430298,408.8989349250936,505.1065806413858,0.9845963716506958,752.7311563670412,784.3622717696629,0.9674973487854004,366.81340706928836,789.9233380149813,0.993926465511322,787.9692620552435,1119.093296465356,0.9964786767959595,228.56792778558054,1137.2836200842696,0.9913071393966675,846.2042076310861,1431.3616280430713,0.9994405508041382,314.70586083801504,854.0636704119851,0.8669246435165405,691.0438611891386,1437.8599016853932,0.919826090335846,419.21472670880155,1444.987271769663,0.8172881603240967,647.4318235018727,1855.8257256554307,0.859351634979248,456.85693176498125,1844.704617275281,0.17344829440116882,806.1809456928838,1327.3766678370787,0.05552905797958374,430.0924625468165,1934.669066011236
8,0.8538870373192955,0.999838650226593,521.4036897237828,514.7657347261236,0.9999599456787109,567.8656805945693,457.9063524110487,0.9996280074119568,464.73241455992513,461.35976269897003,0.9929037094116211,642.1771857443821,499.152658298221,0.9742196798324585,408.2149754213483,503.95076223080525,0.9878840446472168,753.1254389044943,782.9920119382023,0.9710708856582642,367.9500965589888,784.3052873361423,0.9939486384391785,786.8891180945693,1120.5048864700375,0.9965847730636597,230.1485691713483,1136.3966672518727,0.9895962476730347,846.3747951779026,1429.4259129213483,0.9992526769638062,316.7114349250936,852.6703680945693,0.840526282787323,693.3720300795881,1438.0489232209738,0.9115731716156006,415.099923923221,1447.1744791666667,0.8133052587509155,646.9543685627341,1857.9806004213483,0.870720386505127,456.2310539559926,1845.786955758427,0.11746490001678467,806.0524929775281,1327.7705114700375,0.057602375745773315,430.15288506554305,1933.9801322565543
9,0.8518154095200932,0.9998436570167542,521.5578915028091,514.6257973431648,0.9999638795852661,567.3848607209738,457.0067444990637,0.9997278451919556,465.3838219803371,459.9633148993446,0.9936445951461792,642.9800152153559,497.6097261235955,0.973672091960907,409.0391649110487,503.2238632373596,0.9893229007720947,752.8541959269664,781.8831928838952,0.9734537601470947,369.3747073970038,784.224382607678,0.9934204816818237,788.3376492275281,1120.227498829588,0.9963393211364746,230.855863764045,1135.6506759129213,0.9895986318588257,844.9822975187267,1428.7529260299625,0.9991670846939087,318.2876141151686,852.0420763108615,0.8364622592926025,693.4844627808989,1436.6818820224719,0.9112091064453125,417.5937792602997,1444.6117158239701,0.808601975440979,646.5201457162921,1858.3549859550562,0.8699891567230225,455.59829997659176,1844.2718574438202,0.08807641267776489,805.3019662921349,1328.5214770599252,0.058368802070617676,428.5857765683521,1935.839770599251
