Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.698148646775414,0.9999414682388306,503.3474514279027,511.9522106156367,0.9999560117721558,565.1752691947565,446.5035039208802,0.9998441934585571,451.0581987359551,464.5878686797753,0.9884557723999023,657.2174918071162,485.35536633895134,0.9961930513381958,355.40898583801504,507.1793071161049,0.9571577310562134,852.3690601591761,859.3902885065544,0.8631900548934937,274.7738910346442,878.4172372425094,0.9895986318588257,938.1383134363296,1270.762816011236,0.9978396892547607,49.85753891619851,1329.6901334269664,0.9967781901359558,982.4356273408241,1713.516649110487,0.9938627481460571,156.23105395599248,1057.2824496722847,0.20800051093101501,749.4305214185395,1935.4323209269664,0.5301337242126465,343.61671933520597,1912.895014044944,0.24777927994728088,978.7823326310861,1639.4202071629213,0.04737401008605957,294.5293480805244,1873.1725479868915,0.03607615828514099,973.7880383895131,1789.0420177902622,0.01634576916694641,976.8027270599252,1768.3059749531835
1,0.6929199204725378,0.9999370574951172,504.77498829588023,511.9575506203184,0.9999493360519409,566.5178048923221,445.89576749765916,0.9998084306716919,452.02590999531833,463.91546699438203,0.9900382161140442,631.8457397003747,482.132892965824,0.9971301555633545,362.02729985955057,506.1197185159176,0.9593015909194946,854.4468340355807,858.3019516619851,0.8611098527908325,276.48093691479403,875.335469335206,0.9921058416366577,938.0360486891386,1269.2090941011236,0.9972387552261353,53.32488442181648,1328.0945692883895,0.9965481758117676,983.4860720973784,1709.7419241573034,0.9941914081573486,156.38949847846447,1055.6552112593633,0.19645971059799194,750.3476123595506,1915.4424157303372,0.47419053316116333,344.8687675561798,1945.892439138577,0.24771225452423096,982.9277855805244,1638.7908181179776,0.037243038415908813,297.2637230805244,1871.4271711142324,0.02587553858757019,974.6523876404494,1779.7392907303372,0.010798752307891846,974.5031601123596,1725.3900397940076
2,0.6867038011550903,0.999920129776001,507.2227586610487,510.98691333099254,0.999940037727356,567.8225216526217,445.17881700608615,0.999790370464325,452.68682701310865,463.23348256086143,0.9882403612136841,661.2720915262173,485.4702130149813,0.996950626373291,364.0361657303371,505.4047430945693,0.9455558061599731,855.1799508426966,860.1531045177903,0.8166743516921997,268.29865987827714,877.1074730805244,0.9920978546142578,940.0735896535582,1267.3079061329588,0.9972156882286072,54.55304892322101,1328.2089770599252,0.9951652884483337,985.0522296348315,1711.0599543539327,0.9937430620193481,152.83115344101122,1054.7929102294008,0.1461981236934662,748.3388196395131,1887.690484550562,0.5272763967514038,350.76983848314615,1899.8308754681648,0.19920605421066284,985.7241924157304,1644.7707455524346,0.04178488254547119,295.08207514044943,1869.9324087078653,0.02294290065765381,975.7407244850187,1781.9538565074906,0.011262685060501099,972.840004681648,1728.8989349250937
3,0.6836312693708083,0.99991774559021,507.32436505149815,510.6669153792135,0.9999382495880127,568.7930857911986,445.23660609784645,0.9997971057891846,452.87833567415737,463.02635621488764,0.9852129817008972,625.4395628511236,481.0456168071161,0.9972144365310669,363.63903031367045,506.0527124297753,0.9496644735336304,853.9631612827716,860.2161604634832,0.8044320940971375,279.36293012640454,894.8076866807116,0.9919101595878601,940.0880735018727,1267.450403792135,0.9970604181289673,53.77381056882024,1328.840706928839,0.9959677457809448,983.907420411985,1711.0760475187267,0.9944726824760437,152.54337839419475,1054.0894194756554,0.15304604172706604,749.044139161985,1888.257110252809,0.536855936050415,351.92964360955057,1903.5854108146068,0.13061687350273132,983.9647705992511,1639.1489641853934,0.050118863582611084,298.2819083567416,1868.2832982209738,0.025284528732299805,975.5246371722847,1778.4219920411986,0.010221242904663086,969.4585381554307,1728.8012055243446
4,0.6869852718184976,0.9999102354049683,508.7287862827716,511.1888825491573,0.9999338984489441,569.0859082397004,445.0130574087079,0.9997601509094238,453.4928019662922,463.0915335323034,0.985272228717804,625.6551381086142,482.8396023525281,0.9972649216651917,364.7863266619851,505.5264293656367,0.9548963308334351,854.0781542602997,859.5011850421348,0.865951418876648,279.6515829822098,892.9462195692885,0.9932283163070679,938.9971032303372,1266.3070575842696,0.9974803924560547,56.32124882958806,1330.0313085205994,0.9957858324050903,985.2421289794008,1710.9222846441949,0.9946883916854858,155.58604722612358,1054.9949525983147,0.15228158235549927,748.6851884363296,1911.6477937734082,0.5292096138000488,359.644926264045,1898.639688670412,0.12715932726860046,975.5222963483147,1642.105863764045,0.04555100202560425,297.3395072565544,1865.7964653558054,0.029517710208892822,976.3149578651685,1780.96485838015,0.010858267545700073,971.4973958333335,1726.9485896535582
5,0.6873445686172036,0.9999033212661743,509.91302375936334,511.90323618913857,0.9999233484268188,570.4324672284645,444.9278367860487,0.9997442960739136,453.57890039794006,463.11011382256555,0.9847308397293091,625.6337780898878,481.950235545412,0.99688720703125,366.78707279962555,506.51268433988764,0.9551082849502563,857.8281542602997,859.0886879681648,0.8889338374137878,278.4307701310862,892.7869703885768,0.9929455518722534,939.2368913857679,1267.1421465355807,0.9968896508216858,57.1207499414794,1330.0927551498128,0.9954289793968201,985.6113939606741,1710.3913565074906,0.995329737663269,156.48042485955057,1054.5112798455057,0.15153035521507263,746.7068264279026,1825.330787687266,0.5136537551879883,350.52492977528095,1898.698209269663,0.12615379691123962,987.1342462546818,1636.3666022940076,0.04738736152648926,296.35745845037457,1865.0301381086142,0.028616100549697876,976.5209503745318,1777.9705056179776,0.011691242456436157,969.5167661516855,1726.9563436329588
6,0.6857158454025493,0.9999061226844788,509.99348958333337,512.1412687265918,0.999923825263977,570.7875409644195,445.5151641502809,0.9996858239173889,432.09832923689146,461.6947199789326,0.9903430342674255,629.9596207865168,481.5742406952247,0.9965687394142151,366.7895599250936,506.21024256788394,0.951418399810791,857.1869147940076,860.2437382958802,0.8909827470779419,280.4789911048689,893.9043480805244,0.9918898344039917,940.9582748127341,1267.1697975187267,0.996982216835022,58.37162775046818,1329.4226942883895,0.99470055103302,985.1438143726593,1712.0387113764045,0.9948481917381287,155.31432876872657,1053.9646242977528,0.15492957830429077,749.1559866573034,1827.7648057116105,0.4721117913722992,356.2115227059925,1904.428838951311,0.1344340443611145,975.9573970037454,1644.4765332397005,0.04784420132637024,297.04705056179773,1862.668831928839,0.028305083513259888,978.644224016854,1776.6482326779026,0.012295186519622803,245.84796348314615,1950.7756905430713
7,0.6849767793627346,0.9999119639396667,509.5504154962547,512.390859082397,0.9999312162399292,569.938992275281,445.9329646535581,0.9997143745422363,453.89198560393265,463.9179541198502,0.9896951913833618,628.755852059925,481.89800591058054,0.9961588382720947,366.15051498127343,505.7331533824906,0.9501357078552246,857.0095973782772,861.168436914794,0.8629895448684692,279.70717755149815,894.4431764981274,0.9908469319343567,940.4075959737829,1268.0941303838952,0.9973125457763672,57.017424508426984,1330.3919417134832,0.9940705299377441,985.049303604869,1711.940396769663,0.9951050877571106,156.34952159410113,1055.0385504447565,0.18392285704612732,749.5914530664795,1827.3637933052435,0.4792882800102234,355.1046055711611,1904.091028792135,0.13684824109077454,975.3555126404494,1641.929131554307,0.03554573655128479,294.3871430243446,1861.4368270131088,0.021405965089797974,978.2979283707866,1777.6860955056181,0.01172223687171936,248.98942240168537,1955.9085323033707
8,0.6864737412508797,0.9999220371246338,508.1499444054307,512.3646345388577,0.9999380111694336,569.378364934457,446.2894648291199,0.9997471570968628,453.2632549157304,464.37931589419475,0.9872860908508301,626.8831928838952,482.83378686797755,0.9958663582801819,365.4056940543071,507.13552639279027,0.9488980770111084,857.9056940543071,860.1066537921348,0.8633537292480469,280.906410931648,895.2291812968165,0.9921284914016724,939.6687734082398,1268.385855571161,0.997381865978241,58.344854576310865,1329.2923396535582,0.9942741394042969,985.7007841760301,1710.7803721910113,0.9948834180831909,154.6281381671348,1055.3969891151685,0.20211532711982727,750.6293158941949,1834.0449438202247,0.4865145981311798,356.11313494850185,1900.8737125468165,0.12559235095977783,975.6725479868915,1642.9292485955057,0.04969429969787598,298.7570224719101,1865.1230395599252,0.02086472511291504,978.2162921348315,1778.3601065074906,0.01159292459487915,248.16764688670412,1955.0889513108616
9,0.6813287244123571,0.9999264478683472,508.15104166666674,512.4381144662922,0.9999465942382812,569.4551000702247,446.8760241104869,0.9997243881225586,453.7029640683521,465.2916154611423,0.9853845834732056,658.4044358614233,485.4893053604869,0.9961087107658386,366.53067942415737,507.98517234316483,0.9507040977478027,856.6426732209738,860.9470827481274,0.8317474126815796,280.0765888342697,895.6304131554307,0.9921952486038208,939.1872951779026,1267.487271769663,0.9965155124664307,60.55192240168543,1328.6370552434457,0.9944915175437927,986.4665262172284,1711.1594393726593,0.9944348335266113,153.12020862593636,1055.3385416666667,0.1613306701183319,750.9780255149813,1833.7290788857679,0.47469717264175415,361.79607034176036,1904.4076252340824,0.11541283130645752,982.95704588015,1637.45859667603,0.0544278621673584,299.2197009597379,1867.3346793071162,0.022312909364700317,977.1513635299625,1779.0317766853934,0.013227522373199463,247.85126989700382,1958.1519194756554
