Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9787091192077187,0.9998259544372559,524.9401626872659,408.87962312734084,0.9999654293060303,559.5203505383895,384.80161516853934,0.9999268054962158,494.31589419475654,384.91097553838955,0.9914588928222656,594.1481595271536,403.21014747191015,0.9971219301223755,451.5112944756554,413.3396974485019,0.9945608377456665,636.7099719101125,553.4557511118915,0.9992273449897766,405.05486306179773,538.7642643960675,0.9727268218994141,801.4081519194756,564.0230717462547,0.9923224449157715,320.51922401685397,470.6282186329588,0.9783930778503418,641.5161224250937,370.4741265800562,0.9820531606674194,429.72612359550567,182.02751931179776,0.9282594919204712,647.6303546348315,992.844613178839,0.9469525218009949,437.2752808988764,975.1955319522473,0.9771398305892944,645.7209737827716,1354.2528382490636,0.986600399017334,411.10706343632967,1362.1330758426966,0.9472155570983887,658.5448121488764,1633.8794768258429,0.9443045258522034,400.9544709737828,1629.433520599251
1,0.9772896626416374,0.9998202323913574,525.8864407771536,411.1719847261236,0.9999642372131348,561.3158356741574,387.27923103932585,0.9999179840087891,497.3113442181648,386.17443527621725,0.9916664958000183,595.6321687734082,406.31082484784645,0.9984093904495239,447.6119937968165,413.45439782303373,0.9970881938934326,642.800942181648,554.5958786867977,0.9992805123329163,403.8777212078652,538.7389176615169,0.9603768587112427,802.3754974250937,563.3199833216293,0.9940261840820312,322.4394311797753,485.57394077715355,0.9696531295776367,643.8166403323971,371.6226664911049,0.9820547103881836,430.4696278089888,183.27521506320227,0.9143587350845337,649.5638020833333,999.0161224250936,0.933991551399231,436.5281922986892,981.3693088717229,0.9776021242141724,646.9224016853932,1354.5550971441949,0.9891612529754639,414.2583977059926,1363.3761996722847,0.9489107131958008,667.4636440777153,1626.0723899812735,0.9576419591903687,404.5474894662922,1628.4348665730338
2,0.9783536967109231,0.9997313022613525,525.1320371020599,411.7113617743446,0.9999490976333618,558.6156952247192,388.88159819756555,0.9998946189880371,495.73238529962555,386.49267761001875,0.9881328344345093,591.6699584503746,410.94624151451313,0.997909665107727,447.68112125468167,414.16491104868913,0.9961628317832947,637.0287628745318,555.3821760884832,0.9992802739143372,405.5053253745318,539.6410492743446,0.9748328924179077,799.0303136704119,566.2382958801498,0.990449845790863,318.79718223314615,483.087656542603,0.9684260487556458,645.0536926498128,375.27369352762173,0.9728132486343384,431.2730424859551,182.53692284058988,0.937565803527832,643.1727674391386,999.5030869616105,0.936655580997467,436.40259246254686,976.6538652855805,0.9729840755462646,645.2288155430713,1356.6252633426966,0.9902647733688354,411.9152329119851,1362.3892497659176,0.9531008005142212,660.1052639279026,1634.486189138577,0.9538591504096985,403.501799508427,1627.5106800093633
3,0.9757469892501831,0.9997516870498657,526.1605366338952,411.8805228815543,0.9999194145202637,560.8821248829588,390.9273320458802,0.9998819828033447,497.5237008426967,387.6757446746255,0.9874371290206909,593.185788272472,411.0806560159176,0.9984958171844482,448.8357326779027,414.4765698150749,0.9967703819274902,638.2021008895131,555.0332470154494,0.9993394613265991,405.2007256554307,538.431099309457,0.9700638055801392,800.2442503511236,567.4164618445693,0.9895066618919373,319.35181121254686,483.5983219218165,0.9629947543144226,642.5828066479401,376.2053048923221,0.972956657409668,430.8747366573034,179.83242992158242,0.93840491771698,644.4564899344571,999.0542339653558,0.9359591007232666,438.3644224016854,976.7799771769663,0.9709927439689636,646.6627165262173,1357.3819346910113,0.9868746399879456,413.15557701310865,1363.5047986891386,0.9439866542816162,659.4371049859551,1633.0941303838952,0.9343630075454712,410.7352381788389,1643.3330407303372
4,0.9742318567107705,0.9997755885124207,527.1786487593633,412.4068059456929,0.9999074339866638,562.7866777855805,391.57815426029964,0.9999082088470459,498.914223431648,387.26657595973785,0.980998694896698,595.6780342930712,411.0464946161049,0.9987486004829407,451.64142965823976,413.373127340824,0.9968314170837402,640.6023964185395,554.2992523993446,0.9993594288825989,407.28310802902627,536.3887303955993,0.9648957252502441,801.5196336610488,568.434061914794,0.9854366779327393,319.77023349719104,483.1032742275281,0.9583838582038879,639.2009012172284,378.29324672284645,0.9694011807441711,431.13427551498125,179.72138708450376,0.9408760070800781,644.2608848314608,993.141020014045,0.9336743354797363,435.71124473314615,977.9013781601124,0.9736067652702332,645.1273554541199,1355.8450374531835,0.9868723154067993,412.25194580992513,1364.3512991573034,0.9469085335731506,667.5132402855807,1628.0724777621724,0.9263567924499512,400.277972846442,1631.5927844101125
5,0.9750210046768188,0.9997074007987976,527.6158707865169,413.1655255149813,0.9998695254325867,563.1633309925094,392.088673338015,0.9998992681503296,500.53714595037457,388.32985867275283,0.9805333614349365,596.7540818117977,410.7432116104869,0.9986097812652588,452.6212839419476,414.72784263810865,0.9968240261077881,640.2729985955057,555.4243840706929,0.9993487000465393,406.5856156367041,536.2260065543071,0.9630539417266846,801.6619118679776,568.2755076661986,0.9900751113891602,321.2867948267791,483.7095842111423,0.951554536819458,636.6142175795881,377.87859170177904,0.9735060930252075,431.20274461610495,181.3664925678839,0.9362995624542236,646.6788828417602,994.0011265215356,0.9406248331069946,437.68931413857683,974.6595564138577,0.9711192846298218,644.9856624531835,1357.1637991573034,0.9889990091323853,412.01947272940083,1363.2771535580525,0.9437379837036133,668.7628745318352,1629.8833977059926,0.941594660282135,402.56473841292143,1630.1221617509364
6,0.9733493994264042,0.9996334314346313,528.9540174391386,413.56185627340824,0.9998418092727661,564.0349953183521,390.7339214653558,0.9998916387557983,501.660083099251,389.00705173220973,0.9824860095977783,597.0119382022473,408.60848987593636,0.9986002445220947,455.2907742275281,416.7826471793071,0.9967505931854248,640.8890742041199,555.5503862359551,0.999314546585083,405.7728376638577,536.9193293539327,0.9663823843002319,801.133909761236,567.5664574555244,0.9916912317276001,323.13824028558054,482.4316040496255,0.9458050727844238,642.513679190075,377.25966321395134,0.9613741636276245,435.21213717228466,184.36848958333334,0.93196702003479,646.6134129213483,993.5331811797753,0.9309787750244141,438.2787628745318,976.8049947331461,0.9645161032676697,639.9882227294008,1363.9941772003747,0.9901692867279053,410.73172694288394,1363.3469393726593,0.9489487409591675,662.3941508661048,1635.1891678370787,0.9385887384414673,402.0844305945693,1630.3362008426966
7,0.9753134320763981,0.9997559785842896,528.9439957865169,412.88835732677904,0.9998339414596558,566.5139279026217,390.3866017088015,0.9999057054519653,503.1220739700375,388.60735603932585,0.9820499420166016,598.0171757958802,409.9609009246255,0.9988541603088379,456.11598782771534,416.0586010650749,0.9962906837463379,639.7530430711611,555.6732429190075,0.9993865489959717,404.12343457397003,535.8094861891386,0.9689099788665771,800.9915584035582,565.6557233146068,0.9929862022399902,326.007578417603,480.9768551029963,0.9633228778839111,642.3519428838952,374.87070605102997,0.9717172384262085,435.0809047284645,181.36484667602997,0.9287310242652893,647.6730746722847,992.9589477996255,0.9250091314315796,436.9940894194757,981.3979839653558,0.9700512290000916,639.4492480102997,1362.8852118445693,0.989842414855957,410.85213307584274,1362.1446336610488,0.9464722871780396,665.9325257490636,1628.6410053838952,0.9472090005874634,401.70697272940083,1630.1739524812735
8,0.9741955329390133,0.9996843934059143,529.0089536516854,411.0142717111423,0.9998286962509155,566.6277504681648,389.274454295412,0.9999415874481201,504.40872249531833,387.00590326544943,0.9811545610427856,596.9095271535581,406.8177595388577,0.9987693428993225,457.51228932584274,413.3137289325843,0.9969087839126587,640.107897354869,554.2391224836142,0.9993934631347656,408.23340941011236,533.9581870318352,0.9592366814613342,801.0485428370787,562.6070561212547,0.9945197105407715,327.0389308286517,478.7532917837079,0.9747532606124878,642.3687675561798,372.1259070692884,0.9685704708099365,440.9092638108615,179.48101372308054,0.9214335680007935,647.5363559222847,992.0474163155432,0.9298229217529297,435.97509948501875,980.4890859082398,0.9708584547042847,646.0000438904494,1354.4458099250937,0.9888302087783813,410.00819288389516,1362.8591701779026,0.952019214630127,658.6333245552435,1630.5035697565543,0.9255987405776978,400.4197389981274,1629.5751404494383
9,0.9753660734962014,0.9994843006134033,529.0674742509364,412.3091131203184,0.9996769428253174,566.0161370552435,390.70082075140454,0.9999240636825562,503.54269077715355,387.24788594335206,0.9791164994239807,597.9796494616105,408.7544987710674,0.9987248778343201,466.0146008895132,403.9260007022472,0.9966616630554199,640.9471558988764,553.1557233146068,0.9993458986282349,407.3785697565544,534.5950374531835,0.9631303548812866,799.9415525514983,561.8028002106741,0.9947382211685181,325.8801498127341,480.17801234784645,0.9762564897537231,644.0407742275281,372.1914135650749,0.9655519127845764,439.28451252340824,181.30850231156367,0.9274433851242065,646.1857736423221,989.4859696863297,0.9314177632331848,433.6756788389513,979.5171319054308,0.9717336893081665,645.2198911516855,1354.5609492041199,0.9885358810424805,410.19509304775283,1361.3734784644196,0.9488059878349304,658.4640537219102,1632.0019897003747,0.9406753182411194,400.38660170880155,1628.7521945224719
