Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7004508674144745,0.9994099736213684,485.27365695224717,742.4197536282771,0.999789834022522,511.54465121722853,699.5555360486892,0.9956668615341187,448.80676498127343,739.2932906132959,0.9965028166770935,601.0214039091761,731.0866543773409,0.9640207290649414,406.5871518024345,818.6377867509364,0.9435349702835083,677.6361335440076,982.2068849485019,0.9848634004592896,395.75030723314615,960.6776685393259,0.9558026790618896,693.0450462312735,892.1709679307116,0.9185758233070374,162.4467096793071,1039.5260562968165,0.6325350999832153,640.0905606273409,408.89308286516854,0.9909918308258057,325.4524373829588,770.7769341058053,0.48285558819770813,680.6706460674159,1607.5354049625469,0.700652003288269,366.07626697097385,1731.8150163857679,0.06402593851089478,682.9280050327716,1716.1094042602997,0.02439698576927185,687.4350421348315,1956.0955056179776,0.07607346773147583,341.3322214419476,753.1017380617977,0.17796674370765686,654.8968574438202,392.2587122542135
1,0.704547091441996,0.9993288516998291,484.4780694054307,738.3400632022472,0.9997919797897339,512.0856741573034,698.7326632724719,0.9941364526748657,453.9412160580524,736.6618387172285,0.9943193197250366,593.9598694990638,728.6854810393259,0.952312171459198,411.1677785580524,813.8863529962547,0.9406912326812744,677.9086200842696,978.7362476591761,0.9848209619522095,394.8038096910112,959.5183754681648,0.9623968601226807,693.2022471910113,888.2876872659176,0.9255986213684082,166.27830933988764,1035.4605571161048,0.6126644611358643,641.7002428604869,409.45981829353934,0.9945039749145508,332.35413740636704,762.9312236657304,0.46575599908828735,643.7415876638577,1575.4116924157304,0.6194930076599121,370.57679365636704,1737.3443352059926,0.0642872154712677,685.8266766151685,1714.4086493445693,0.030098527669906616,679.0266561329588,1714.7900573501872,0.15852007269859314,649.8201223080525,400.6684149695693,0.27858084440231323,656.7297226123596,394.61734843164794
2,0.7092808940831352,0.9995774626731873,481.079924508427,735.7094159644195,0.9998221397399902,509.5087927200375,698.8564343398876,0.9949731230735779,452.82478932584274,733.5976269897004,0.9942218661308289,594.1684954353933,724.6890361657304,0.9565865993499756,408.8043510065544,813.6613412921348,0.940792441368103,680.9696131788389,979.7886674859551,0.9828606843948364,389.3672460205993,960.1682467228464,0.9617542028427124,692.2125175561798,882.3588922050562,0.9242274165153503,164.27119908707868,1034.6772588951312,0.7537157535552979,645.7269721441949,413.538594335206,0.9974936246871948,335.86113061797755,763.5193556882023,0.5776065587997437,646.9269370318352,1612.0515859082398,0.6767171621322632,364.12292251872657,1741.0216233614233,0.07877427339553833,691.6049274344571,1740.679131554307,0.04269614815711975,705.7904669943821,1934.1890507958801,0.06451109051704407,645.8794183052435,412.39144428838955,0.11144465208053589,654.4640244616105,403.80548484316483
3,0.6990241425878861,0.9994749426841736,483.9250497425094,740.4964009831461,0.9997209906578064,509.78654611423224,698.6988676264045,0.9920182824134827,443.3645687031835,726.5548923220974,0.9918117523193359,594.8334357443821,727.5158737125469,0.9414974451065063,412.6183579119851,801.997966409176,0.9175847768783569,680.0921699438202,984.6062295177903,0.9827566742897034,393.9420938670412,961.4467023642322,0.9652078151702881,694.1047811329588,881.780708684457,0.9526317715644836,166.72961288623594,1037.8600479868915,0.6758034229278564,649.595549508427,416.0203066479401,0.9986340999603271,330.11418831928836,759.2300152153558,0.4399576783180237,680.1304277855807,1595.7323852996255,0.7084010243415833,366.87865753745325,1719.0597202715358,0.10580295324325562,689.9508426966293,1725.5026919475656,0.03729516267776489,682.9394165496255,1711.3434866573034,0.08551362156867981,697.6370113529963,1908.3893668071162,0.08929800987243652,653.5720973782772,402.4311651451311
4,0.70600706689498,0.9994609355926514,483.2931004213483,743.9860574672285,0.9996805191040039,509.59606156367045,696.7281864466293,0.9955765008926392,449.3352791432585,736.2341994382023,0.9948761463165283,599.974689840824,727.8305682350187,0.9175301790237427,409.2510826310862,809.6936446629214,0.9145355224609375,679.5379798689139,990.1789998829588,0.9798478484153748,399.3155284410112,965.0422811329588,0.9744178056716919,692.9639220505619,884.7879359784645,0.9319846630096436,162.59392556179773,1034.90000292603,0.6171658635139465,650.3612915496255,418.26391327247194,0.9979530572891235,337.0149373829588,760.459533005618,0.6687370538711548,638.6048689138577,1614.881788389513,0.6234049201011658,348.933827832397,1576.1797752808989,0.10829463601112366,678.1571863295881,1730.2356917134832,0.024396151304244995,699.3556150514983,1921.429073033708,0.11867743730545044,705.8448180009364,1896.9613178838952,0.1355808973312378,660.4307116104869,395.84540320692884
5,0.6938855595448438,0.9993095397949219,482.52728522940083,744.623054190075,0.9997442960739136,509.288828417603,699.9634977762172,0.9955048561096191,458.5483233848315,736.7407683754682,0.9963700175285339,599.4354956694757,726.1471500468165,0.9499897956848145,412.6338658707865,803.7342725889513,0.9135072231292725,679.1755179073034,986.341804190075,0.9840074777603149,395.4992538623595,960.4756993211611,0.9682726860046387,698.4249180711611,894.768989934457,0.9141465425491333,165.2740958567416,1032.733204588015,0.565075159072876,654.6618972378278,418.13330261001875,0.9960877299308777,339.1246781367041,757.8013810861423,0.5163720846176147,682.4546465355807,1604.2017790262173,0.6762440800666809,378.5107238998128,1735.5340004681648,0.06790360808372498,702.5991192649813,1725.020628511236,0.027931630611419678,685.7865900046818,1725.157127808989,0.08897250890731812,652.3749122191011,420.6733892205056,0.13661527633666992,655.0484257958801,404.6280284410112
6,0.7025463633677539,0.9994984865188599,483.0632607677903,744.1779318820224,0.9998290538787842,511.1430536048689,698.3415993679776,0.9956058859825134,459.26527387640454,732.2806940543071,0.9950073957443237,594.4599280196629,724.6412687265918,0.9653255939483643,415.51790730337086,806.8594188904494,0.931796669960022,682.3125877808989,986.8081402153558,0.9815495014190674,398.1899578651686,961.9501989700375,0.9621567130088806,695.0897559691011,889.871254681648,0.9078909158706665,169.90815923455057,1035.419373244382,0.6121723651885986,647.0500497425094,410.23547226123594,0.9879497289657593,329.6011089653558,767.4033678604869,0.49865633249282837,682.1103259597378,1600.9720271535582,0.7282743453979492,355.13211025280907,1714.7531893726593,0.05788606405258179,699.7520189606741,1884.3581753277153,0.02420628070831299,693.3116807116105,1894.4017731741574,0.11164689064025879,652.6792924859551,403.98978815543074,0.1838359534740448,655.5034234550562,395.02457865168543
7,0.7085402222240672,0.9997361898422241,482.06219276685397,743.6899432350187,0.9998878240585327,509.0186095505618,697.3829588014981,0.9983195662498474,450.3323238529963,735.7736423220974,0.9942388534545898,596.7487418071162,727.5433052434457,0.952488362789154,407.5604956694757,815.4785522003746,0.940308690071106,680.9315747893259,981.2713600187266,0.977742075920105,398.1512611189139,965.8486218398876,0.9725934863090515,696.8767556179776,892.3682555009364,0.9343716502189636,165.79171055711618,1036.6112915496255,0.6163647174835205,647.7411048689139,415.056874707397,0.9852811098098755,326.02762172284645,769.6119352762173,0.5591059327125549,677.8858702013108,1596.4283415262173,0.7333385348320007,366.59183345037457,1721.3496313202247,0.07515233755111694,684.3673191713483,1721.145394428839,0.04376456141471863,676.1619996488764,1718.6610486891386,0.15358617901802063,722.1926937031835,1900.769838483146,0.10890370607376099,650.4034263810861,424.3253306413858
8,0.7213267806698295,0.9996780753135681,485.37694580992513,741.4547489466293,0.9998607635498047,512.6997746956929,696.9343252574906,0.995439887046814,456.8449350421348,734.4664384363297,0.9955894947052002,597.1994967228464,730.1189431179776,0.945704460144043,413.49689840823976,814.7637962312734,0.9446940422058105,679.3660024578653,984.029143258427,0.977390706539154,396.9458099250936,966.0769253277153,0.979851245880127,709.3561271067417,891.7298689138577,0.9608192443847656,169.26051907771534,1039.0639630149813,0.6653534173965454,646.6647647471912,405.2029933286517,0.9941085577011108,336.19023583801504,765.0742480102997,0.5568611025810242,649.8809105805244,1612.5725655430713,0.7286267876625061,359.6048396535581,1721.1133544007491,0.10271957516670227,699.9422109082398,1730.664940308989,0.06314507126808167,683.6508075842696,1730.1029962546818,0.20315995812416077,689.2015595739701,1876.4494089419477,0.14955288171768188,708.856800093633,1878.3276275749065
9,0.7076094553751104,0.9994110465049744,486.15058813202245,738.8484609082398,0.9998576641082764,513.6050152153558,697.3607941245318,0.9930180311203003,437.74388459737827,727.2531893726592,0.9973217248916626,580.7922957631087,739.4547343164794,0.9379099607467651,412.28303487827714,808.2106595271536,0.9448720216751099,678.9450198970037,983.5508836610487,0.9784666299819946,395.3432233146068,962.0104020365169,0.9881870746612549,710.8613500702247,903.9154669943821,0.9633947610855103,171.07268258426973,1041.6259216994383,0.638418436050415,644.7504096441949,407.43339624297755,0.9957646131515503,336.654304190075,769.3798279494382,0.43255001306533813,657.5613003277153,1602.2060802902622,0.7112290859222412,358.2745201310862,1716.688904494382,0.1469423472881317,678.404143258427,1734.6222495318352,0.033829957246780396,678.0256612827716,1729.4411282771537,0.14113807678222656,699.8221705290262,1891.3251989700375,0.1270492970943451,647.9505354634832,435.5464360955056
