Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.8935463288251091,0.999642550945282,233.16137420997188,159.52421381232443,0.999893307685852,250.90592630793537,149.30569423718399,0.9999059438705444,212.76353471734552,144.37697507022472,0.9994758367538452,274.1906326808286,173.38561325930476,0.9973139762878418,189.36641393082863,169.66903857970505,0.993090033531189,305.2767292837079,292.32238083742976,0.9773749709129333,145.11614510182585,286.7041564255618,0.9938898682594299,315.7353570488062,431.9970428809691,0.9963186979293823,127.83378686797752,425.8191055126404,0.9822705388069153,324.89076764396066,561.7777277914325,0.9534592628479004,108.0526219057233,552.2229964009831,0.7589325308799744,281.93186556355334,539.5101277212078,0.8474993109703064,172.91580714536514,532.1642380617977,0.9408550262451172,265.55779274929773,691.2066581811797,0.8593651056289673,173.01820905021066,706.5410485428371,0.2565769553184509,165.3149688377809,718.1585213307584,0.6344236731529236,156.76867538623594,701.871763079354
1,0.8856432192465838,0.9997261762619019,231.08664523349717,160.3163815616222,0.9999328851699829,249.41354130091293,149.7737858804424,0.9998670816421509,211.71992955582863,144.75170349806882,0.9994585514068604,272.56701522998594,174.51747937148875,0.9980158805847168,188.5986053809691,168.8756775588132,0.990973949432373,305.18491594978934,293.7236108672753,0.9809610843658447,143.55087451720505,286.8009897296348,0.9928643703460693,322.0504246400983,433.0761993065309,0.9934186935424805,127.76197112008427,428.8032720330056,0.9822249412536621,324.76716116573033,563.1715238764045,0.960371732711792,106.44769904318821,551.9694741924158,0.7743285894393921,281.8057902475421,538.1421721383426,0.8436282873153687,173.07732399929773,531.9325513518259,0.9340776205062866,263.6910222085674,691.3850179950842,0.8771877288818359,149.36084533005618,643.1082667661517,0.203804612159729,164.7623880793539,722.0342674683989,0.5250925421714783,157.16374429424155,702.6347985428371
2,0.9154739344821257,0.9997749328613281,229.77783203125,160.55605084708566,0.999932587146759,248.57265515273878,149.6836458699087,0.9998751282691956,211.25353866748594,144.77462254213484,0.9994152784347534,271.7501042398174,174.5409607619382,0.9986751079559326,187.99961047226122,167.7154609594452,0.9892244338989258,303.4871510709269,293.45513847436797,0.9811068177223206,143.79734682233146,286.5869963570927,0.9953455328941345,321.70764022998594,434.96486020891854,0.994895875453949,125.74191318469101,425.78687346383424,0.9843945503234863,324.1068019224017,562.3271264922753,0.9534814357757568,105.6711672665028,552.7396967169943,0.7870829105377197,280.9441109989466,536.9481873244382,0.8841583728790283,172.39521155196627,531.2289325842696,0.9392962455749512,264.44678831636236,690.8812104985955,0.965614914894104,144.96845373946627,639.6047116397472,0.28262102603912354,172.1797917398174,715.2984001931179,0.808161735534668,154.65359462780896,702.9183857092696
3,0.8927174298202291,0.9997460842132568,230.93066954880618,160.77178612183988,0.9999363422393799,249.19757285814603,150.11484210410813,0.999861478805542,211.88619206460675,144.77917617626403,0.9995726346969604,272.13565440660113,175.02784300386236,0.9984680414199829,188.66024403089887,167.72521286867976,0.9884326457977295,303.93694588307585,293.3176790730337,0.9786306619644165,144.67309844627806,287.16009590063203,0.9934601783752441,322.45380530196627,433.69033642029495,0.9957495331764221,126.01913623595505,425.96018587605334,0.983394980430603,323.95326764396066,562.8964953476124,0.9779708385467529,105.75368131144663,554.3179424157303,0.7663793563842773,281.16545602176967,537.665741309691,0.8636082410812378,172.85013606039325,530.3989093223314,0.9464132785797119,264.6892556179775,690.8958589360955,0.9179761409759521,147.50880552141854,638.519959181882,0.2254708707332611,176.0205626755618,716.9992648349719,0.5411249995231628,153.90150434515448,703.2856390449438
4,0.8928147186251247,0.9997888207435608,229.9319698033708,160.86386005530196,0.9999322295188904,248.2100651773174,149.6476282698385,0.9998648166656494,211.46755947155896,144.66359342082163,0.9994519948959351,271.60540291432585,174.70576939957866,0.9986773133277893,188.1783817591292,167.57977089185394,0.9885091781616211,303.6878401509831,293.30994338132024,0.979702353477478,143.9209807320927,287.3962813816713,0.9941643476486206,322.45416191186797,431.62616858321627,0.9930782318115234,124.94200974367976,425.70658137289325,0.9836091995239258,323.57726364992976,562.1298389220506,0.9819679260253906,105.7101200403792,554.0360011411517,0.7776578068733215,280.80179621664325,538.4754103757023,0.8816530704498291,172.64881605512642,528.6046128862359,0.9354593753814697,265.3293703915028,691.4639110779494,0.8772132396697998,147.0646890361657,641.4302251580056,0.2030443251132965,177.9924508426966,717.3566976825842,0.5840759873390198,153.26262399051967,692.6316164852528
5,0.8888309773276833,0.999647855758667,232.79132285814603,160.08188311973313,0.9998897314071655,250.19141722261236,149.47266996576545,0.9998838901519775,212.6676615168539,144.65965699613764,0.9995500445365906,273.5709818293539,174.04115826896066,0.998127818107605,189.7872959094101,168.26333721032302,0.9915516376495361,304.31396484375,291.56063465589887,0.978411078453064,145.4561589273174,287.1899962693118,0.995341420173645,315.3975377457865,429.34156096383424,0.9928518533706665,126.22640888342696,425.51609682233146,0.9867112636566162,319.572479590941,565.4307847612359,0.9453590512275696,107.76168308900984,553.061249122191,0.750873327255249,279.92278024051967,531.3013518258426,0.8451142311096191,173.66301461551967,524.7178941362359,0.9577680826187134,266.1418649051966,691.6707996839888,0.8807737827301025,151.58546019136236,638.4067218223314,0.27948182821273804,164.12241046348316,725.4957426264044,0.5087897181510925,156.10170514396066,703.5039391678371
6,0.8981921287143931,0.9996493458747864,232.73824284585675,159.94903221558988,0.9998809099197388,250.01722700140448,149.18365135621488,0.9998801946640015,212.71794351299155,144.69542771242976,0.9995172619819641,273.81621971558985,173.77379685305476,0.9979084730148315,189.63762947682585,168.79320466116573,0.9912911653518677,304.5910781688904,291.3838110077247,0.9794780611991882,145.74792068995788,287.12048477001406,0.9946026802062988,317.1391930740871,432.74197353405896,0.9913285374641418,124.99709225772472,424.4385314255618,0.987580418586731,319.1687423191713,565.4165752282303,0.9695945978164673,105.90515822507021,555.1301351825842,0.7558501362800598,280.8194621225421,529.1423257549158,0.8354414701461792,172.97464777914325,524.2025105337078,0.9453692436218262,268.79262859901684,693.1849653265449,0.9085121154785156,153.6833413799157,636.7183659585673,0.31441760063171387,160.6416783707865,721.6346997893259,0.5989639759063721,157.77928041608146,711.4601255266854
7,0.9117484758881962,0.9998306035995483,229.22390712780896,160.3415774227528,0.9999089241027832,248.00594715589887,148.9660918846559,0.9998618364334106,210.4119392995084,144.82184592257724,0.9992544054985046,271.00210125526684,173.58258536692415,0.9988828897476196,187.7588713570927,168.07787262991573,0.9878963232040405,302.9657873946629,291.51304094978934,0.9819390773773193,143.7915313377809,286.5731160024579,0.995322585105896,315.3215798367275,431.6770540730337,0.9934467673301697,121.25414216116573,426.6361262289326,0.9868173599243164,324.0894926264045,562.2842784410112,0.9705281257629395,112.90648042485955,551.7347700140449,0.7719632387161255,279.90577269136236,528.8788184691011,0.8557964563369751,171.61231566011236,527.0156140273876,0.9318456649780273,265.8448362886236,689.5770606566011,0.9598978757858276,150.7007384568118,639.5415093925561,0.29050928354263306,171.47049464536514,711.506320224719,0.7760226726531982,157.80742516678367,700.160309866573
8,0.8966007670935463,0.9998167753219604,229.19030350245788,160.6396484375,0.9999158978462219,247.96175495962075,149.04354481214887,0.9998559951782227,210.18132241924155,144.9291169241573,0.9992572069168091,270.40469737535113,174.25085860691712,0.9986583590507507,188.0937006232444,167.96976496664325,0.9878686666488647,303.41207097085675,291.59689913974717,0.9838333129882812,144.57324767380618,286.7676055565309,0.9950233697891235,315.9227144048455,430.6698231214888,0.9924219846725464,116.69301922401684,421.17450842696627,0.9876949787139893,317.2555301966292,564.5157237535112,0.9637433290481567,113.14464097612358,547.9545404669943,0.7582361102104187,280.44622871313203,523.9918912394663,0.8919399380683899,172.62431969803367,529.7601386938202,0.9495302438735962,264.7187993767556,688.5566077071629,0.8780120611190796,176.52110581987358,704.0897120786517,0.23432615399360657,175.4175353318118,712.544768258427,0.6220786571502686,157.2578893082865,702.4794812148876
9,0.8946047810947194,0.9998116493225098,230.23821541432585,161.5488802449087,0.9999395608901978,247.71133251404495,149.60892237974016,0.9997934103012085,210.63701501053367,145.579833984375,0.9993215799331665,271.17250592521066,174.0303776773174,0.9979355335235596,188.48498397998594,168.98471789413622,0.9890598058700562,304.9214909585674,291.85889769136236,0.9821205139160156,145.56898481390448,286.0558670558286,0.9972360134124756,319.23474258251406,431.46794351299155,0.9954332113265991,113.64888737710675,418.9127238412921,0.9817558526992798,325.48435854108146,563.5029516327247,0.979751706123352,109.51809658093399,539.7983233848314,0.7309606075286865,280.7552723402388,524.8061139396067,0.9121874570846558,173.79869096734552,529.0696321980337,0.9642748236656189,269.10457996839887,693.3307913448034,0.9004062414169312,149.24102440308985,639.8614159058989,0.21143406629562378,163.3512826983848,723.8280152738764,0.566859245300293,158.70147362183985,706.1042837078652
