Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7748260866193211,0.9998624324798584,231.8624637903792,236.47033005617976,0.9999327659606934,247.64546940835675,223.3565495523174,0.9997358322143555,214.14940308988764,225.1172423630618,0.9993321895599365,274.73490168539325,236.16306947858146,0.9991023540496826,194.31621422928367,241.58518587605337,0.9768040180206299,323.32612798455057,338.2364268785112,0.9722782373428345,152.31143565660113,338.47790664501406,0.9950293302536011,340.3508492801966,465.9114949087079,0.9925046563148499,139.6330484111657,470.2680609199438,0.9956861734390259,342.26699657654495,590.425079002809,0.9951844811439514,142.0604645804073,601.0064628686797,0.8441555500030518,295.76690330933985,578.8070575842696,0.839932382106781,187.4393214536517,584.2049793714888,0.016730666160583496,263.69083018785113,709.0439562851124,0.4308318495750427,170.54270540730334,698.226167485955,0.08921796083450317,342.1805323911517,548.8388232970506,0.025722593069076538,439.3566757373595,565.3460761938202
1,0.7707196929875542,0.9998502731323242,231.4892578125,236.57742275280899,0.9999260902404785,247.18064211727528,223.44179303458566,0.9997218251228333,213.77981807408707,225.15102429336375,0.9993958473205566,274.29868548103934,236.10414655021066,0.999118447303772,194.22387969627806,241.28513979108146,0.9822314977645874,317.3250965589888,334.06848007373594,0.9785633087158203,153.9770233497191,337.7918166257022,0.9946608543395996,339.22906425561797,464.7307869557584,0.9934496879577637,138.43686907478934,467.7836968925562,0.9975093603134155,341.4749934164326,589.8709072155899,0.9958376884460449,140.9005771594101,600.6042617626405,0.8335500955581665,296.59774951720505,578.4343728054776,0.8360720872879028,188.4647669417135,582.6166937324438,0.02054572105407715,289.8660792661517,730.4088395365168,0.41416528820991516,171.82441625702245,699.2081065660112,0.04773285984992981,340.39292924859546,550.9000285287921,0.00990384817123413,455.98940045646066,573.7477506144663
2,0.7675446061527028,0.9998597502708435,231.97707272647472,236.3841401860955,0.9999327659606934,247.71462429775278,223.35059691011236,0.9997527599334717,214.2155405108848,225.13134216994382,0.9993493556976318,275.4046150807584,236.58562478054773,0.9991436004638672,194.1654779669944,241.09506671348313,0.982464075088501,318.1049475509129,334.93463066186797,0.981372594833374,153.55235581987358,337.7226891678371,0.9956402778625488,339.3335235252809,463.65130135182585,0.993050754070282,138.81451896067415,470.0317657127809,0.9985727071762085,340.96537043539325,590.7974346032303,0.9985654950141907,141.03647296348316,600.3359265273876,0.8371134996414185,296.4665170733848,577.2011609023876,0.8302979469299316,183.847381934691,575.2652080407303,0.016666710376739502,203.47631561622188,702.7405745259831,0.3709300756454468,172.68900324789325,700.8363873771067,0.04105919599533081,341.31907259480334,551.5995325667135,0.004486739635467529,340.33389659410113,601.0509019487359
3,0.7696768045425415,0.9998674392700195,231.9377907742275,236.09130859375,0.9999257326126099,247.37148327773878,223.12083040730337,0.9997266530990601,214.21013649929773,224.88063169329354,0.9994233846664429,275.3588592872191,235.79984857794943,0.9990406036376953,194.05786407127806,240.93278177668537,0.9813297390937805,317.04046699438203,334.48637201544943,0.9828809499740601,153.45574196804773,337.31223117099717,0.9957907199859619,339.73534058988764,464.3436183286517,0.9950215816497803,136.12049574262642,467.0838088132022,0.9983701109886169,339.90988742099717,589.6109660287921,0.9971257448196411,140.10273108321627,599.9737205933989,0.8261520266532898,291.9087133514747,571.6398569171348,0.8515322208404541,186.65228340063203,587.9948648174158,0.016445815563201904,203.56096932057585,702.0579134480337,0.3876095414161682,173.77317964360952,700.7162921348314,0.04630404710769653,340.9106719627809,550.7803173279494,0.007959365844726562,436.87384787570227,569.4802822155899
4,0.7708565399927252,0.9998823404312134,232.12278901860952,235.95733299683988,0.9999313354492188,247.8441834181882,223.03864554073033,0.9997332096099854,215.4581888606039,223.57002172577248,0.9992862939834595,275.55694237183985,236.5793978230337,0.998639702796936,195.26507088307585,240.7711277650983,0.982370138168335,317.2083479634831,334.391266897823,0.982522189617157,153.10645628511236,337.62566384304773,0.9956225156784058,340.46776246488764,465.8794000175562,0.9957767724990845,137.18124561095505,465.6392643960674,0.9983437061309814,339.37884041432585,590.169252545646,0.9983818531036377,141.28843157478934,599.5101825842696,0.8147776126861572,285.2726694171348,582.4507878335673,0.8541877865791321,183.95384370610952,576.1883887816011,0.012652486562728882,204.87568030196627,704.9676307935393,0.4030846357345581,172.04537723841293,701.5701808286517,0.05937153100967407,340.2782105863764,551.698395804073,0.009997069835662842,445.3988544592696,577.5566735428371
5,0.7796516488580143,0.9998749494552612,232.0528111832865,235.64425693469101,0.9999307990074158,247.71273152212075,222.9589569434691,0.9996943473815918,214.94436885533707,223.6338686139396,0.9993289709091187,275.47991463307585,236.8917058023174,0.9986894726753235,195.37707382373594,241.1102363500702,0.9780144691467285,316.40759414501406,334.26124144136236,0.984341025352478,153.73345878686797,337.79689145891854,0.996491551399231,339.65181157830057,464.45131451896066,0.9917471408843994,137.43040620610952,468.4595000877809,0.9980374574661255,339.0695773349719,590.616057320927,0.9983848333358765,141.27455122015448,599.7749517205056,0.8776850700378418,294.5674596207865,577.7599960498595,0.8596966862678528,189.21567766853934,586.9926812675561,0.021302133798599243,191.37640449438203,700.8492253335673,0.48728710412979126,171.62704639220505,702.7708040730337,0.04632502794265747,338.8205538974719,552.021210059691,0.017246991395950317,445.74180345856735,568.4931311446629
6,0.7781834146555733,0.9998587369918823,231.6007944171348,235.57608958040728,0.9999279975891113,247.31670251053367,222.92090941011236,0.9996476173400879,213.82439431179773,224.40355622366573,0.9993348717689514,274.4055861569522,236.77262552668537,0.9986957311630249,194.83532852001406,241.20375043890448,0.9772799015045166,321.8723391415028,337.74600596910113,0.9826710224151611,153.7987458304073,338.0916981214888,0.9975876212120056,339.85000438904495,465.37498902738764,0.992088794708252,134.95265317766854,466.3061797752809,0.9987276792526245,339.0857619382022,590.4381364115169,0.9986347556114197,140.69854393433985,599.333468662219,0.8566299676895142,294.8219145014045,577.1695597787921,0.8288122415542603,188.61114159058985,585.3367494733146,0.026778995990753174,290.0822945926966,736.0612710674158,0.5253446102142334,172.39822902036514,700.0656710849719,0.030202001333236694,339.2550419153792,553.3443425210673,0.01689550280570984,443.0656381671348,573.3662877457865
7,0.7787896131767946,0.9998617768287659,231.56883668363764,235.84629015976122,0.9999247789382935,247.11233760533707,223.09374177054073,0.999640941619873,213.73639396067415,224.69924069522472,0.9992890357971191,274.38059603230334,236.68380222963484,0.9988304376602173,194.33198735955057,241.24338900105337,0.9827210307121277,320.7757088307584,337.73248222436797,0.9820331335067749,153.26125241397472,337.6320005266854,0.996601939201355,339.4058879037921,467.2733058286517,0.9954491853713989,134.24420646067415,467.00228230337075,0.9982740879058838,338.3373200491573,591.5433527914325,0.9967048168182373,139.63570926966293,599.7768719276685,0.8658943176269531,293.2360702686095,578.5650017556179,0.856938362121582,191.5849115607444,576.2513715765449,0.01943439245223999,288.9925221646769,736.9443469101124,0.5052061080932617,171.56518829002806,702.8725201896067,0.029219329357147217,338.58513649929773,600.8777541257023,0.013399749994277954,441.7792639571629,566.982147559691
8,0.7798953634851119,0.9998786449432373,231.82309954353934,235.56166059515448,0.9999295473098755,247.37351321102528,222.91320114992976,0.999692976474762,213.89799310919943,224.4458556443118,0.9992587566375732,274.4096185919944,236.52908839536516,0.9990415573120117,193.96059186271066,240.56703717521066,0.9780459403991699,321.91466599367976,337.6897164676966,0.9841524362564087,152.58890559164325,337.7054073033708,0.9976130723953247,338.51411626580057,464.99347129564603,0.9933491945266724,136.2764439957865,469.15192679073033,0.9976881742477417,338.4912658005618,590.9298740344101,0.9982935190200806,140.31068951896066,599.7438443644663,0.834209680557251,290.99686183286514,574.5850158005618,0.8473520278930664,187.4706482619382,586.7591840765449,0.02309352159500122,204.38750877808985,702.2984879740168,0.5534036159515381,170.57211200842698,699.9321343925561,0.031048119068145752,338.2219978932584,590.6669702422753,0.02217039465904236,444.027497366573,578.0442964360955
9,0.789848069934284,0.9998830556869507,231.87343640273878,235.64143148700842,0.9999196529388428,247.42983014396066,222.88725092169943,0.9997113943099976,213.9969660726826,224.45088933023175,0.9992481470108032,274.9732816889045,236.18232641327248,0.9988645315170288,194.4669779231039,240.74920997191012,0.9785187840461731,317.17680170294943,333.9623200491573,0.9831812977790833,151.92742165554773,337.9452137464888,0.9976494312286377,338.54346800386236,463.67264308286514,0.9918433427810669,135.84327269136236,469.49004784058985,0.9973806142807007,338.53658268960675,590.0443293539325,0.9986965656280518,141.12817657127806,599.495698735955,0.8371134996414185,295.6229974982444,579.1925254564607,0.8191454410552979,188.93420272998594,590.1469232794943,0.02736729383468628,202.65485099192415,700.4689694522472,0.6199318170547485,171.61489422401684,697.1032303370787,0.08232972025871277,449.39694522471905,574.9458501580056,0.09663259983062744,441.2693666608146,574.1250987535112
