Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9182672290241017,0.9970977306365967,432.90364583333337,487.40684252106746,0.9967907071113586,467.5754915730338,463.02877018960675,0.9964109659194946,423.8380735018727,459.1991455992509,0.8583736419677734,503.0945692883895,505.3962576076779,0.9844026565551758,356.29535346441946,460.1226738061798,0.9943010807037354,523.2374327013109,695.2465911750936,0.911872148513794,258.89008368445695,680.2280840355805,0.8613121509552002,696.3087400514983,661.861174508427,0.9866291284561157,293.8787453183521,592.563750877809,0.7896980047225952,878.6345681179776,424.0875541315543,0.9569435119628906,430.6039325842697,395.5870713366105,0.7183152437210083,533.0484111657304,1186.0541022940076,0.8806886672973633,282.1496079119851,1175.7508924391386,0.9494754076004028,480.42017790262173,1566.87031835206,0.9044651389122009,293.6295938670412,1583.7066947565543,0.9420320987701416,473.562734082397,1896.1237418071162,0.8817346096038818,309.06484082397003,1881.5089536516855
1,0.9103648311951581,0.9899810552597046,443.32170236423224,510.96207865168543,0.9977447986602783,455.50437441479403,488.92706138810865,0.9920778274536133,407.3776919475656,484.05690396769666,0.9573730230331421,497.89559925093636,540.7934295997192,0.9921118021011353,336.16565718632967,484.3492509363296,0.9910203218460083,507.13292954119856,718.958991690075,0.7434029579162598,259.52686095505624,712.564372659176,0.8742190599441528,688.4899490870787,685.1714653558053,0.9911212921142578,268.24782010767797,624.0342638108615,0.9034841060638428,848.5467872191011,444.11553429307116,0.9934492111206055,411.89621371722853,412.74154377340824,0.7507729530334473,436.38693820224717,1287.0613881086142,0.9245521426200867,296.85524929775283,1217.9548513576779,0.9565973281860352,470.2490051498128,1605.2599777621724,0.8606495261192322,291.86717286985026,1610.1075316011236,0.8767180442810059,462.43540788857683,1905.6896652621724,0.6809266805648804,318.0375117041199,1926.5396769662923
2,0.9139622134320876,0.9894057512283325,409.93036048689146,514.742582514045,0.9992511868476868,450.2301322565544,490.75784176029964,0.9951677322387695,417.62274695692884,489.92030225889516,0.931462287902832,498.89008368445695,545.6902138927903,0.9944030046463013,329.76833157771534,480.4398554541199,0.9882044792175293,526.8284761235956,716.7061680711611,0.8028673529624939,263.3548396535581,706.6998771067416,0.8327566385269165,687.5046084971912,684.5828944288389,0.9879260063171387,266.13493387172286,624.3525427200375,0.765749454498291,853.0853522940076,456.01408883426967,0.9968723058700562,418.99666432584274,410.5766107794944,0.7729056477546692,516.3597261235956,1207.9463658707866,0.9413184523582458,291.71253218632967,1204.9618884597378,0.960636556148529,465.44270833333337,1609.984930945693,0.9504008293151855,281.5050766619851,1615.6327539794008,0.8704260587692261,460.77656835205994,1907.6903382490636,0.7576038837432861,313.92461083801504,1917.650251638577
3,0.9085980794009041,0.9899615049362183,442.8815543071162,513.6662423923221,0.9984639883041382,450.49896125936334,491.58254330524346,0.9914145469665527,412.4727147705993,491.42340385065546,0.9121806621551514,503.06940543071164,541.7120567064607,0.9963537454605103,325.97378277153564,486.6056955173221,0.9916098117828369,503.50743211610495,716.0501521535581,0.754281759262085,319.24742509363296,655.0121430243446,0.7077969908714294,715.8550591058054,682.6685393258427,0.9846391677856445,260.53524403089887,628.3925122893259,0.7900607585906982,828.2761294475656,451.5035039208802,0.9947015047073364,419.21275163857683,414.6068147237828,0.8710517883300781,514.6798923220974,1201.7618357911986,0.9176120758056641,288.88467052902627,1193.3004154962548,0.964939534664154,475.52719744850185,1598.2272647471912,0.9733073711395264,278.77421289794006,1610.8516210205994,0.8322173357009888,457.2573589653558,1912.776802434457,0.775574803352356,310.90311914794006,1917.0261294475656
4,0.8978186530225417,0.9980286955833435,422.17228464419475,515.4420499765918,0.9986144304275513,461.1234492041199,486.68718545177904,0.9983619451522827,413.3254330524345,480.3295075491573,0.7231770753860474,480.4168129681648,512.2953242041199,0.9921109676361084,331.8463980571162,473.3029391970974,0.9894946813583374,524.6910843867041,715.7250702247192,0.811360239982605,316.7058754681648,666.0073589653558,0.8552762269973755,688.5985779494383,682.5067298689139,0.9837268590927124,262.26065074906364,625.6629652387641,0.7357167601585388,828.1484082397005,449.56208304073033,0.9951510429382324,420.9848285346442,400.686410053839,0.8103747367858887,512.7394224016854,1208.4631759129213,0.9303855895996094,287.9781132958801,1202.980307818352,0.9667668342590332,473.4590063202247,1597.3178546348315,0.9609876275062561,279.30850596910113,1609.7249531835207,0.7249816656112671,453.3987301029963,1916.7629330524346,0.78840172290802,308.09888518258424,1916.646330758427
5,0.8839138080092037,0.9977735280990601,421.83001228932585,513.375541315543,0.9980913400650024,456.09996781367045,492.6436314957865,0.9984820485115051,413.4484726123595,477.82980015215355,0.724027156829834,475.8965355805244,509.61859199438203,0.9932090044021606,326.9794592696629,470.0682862242509,0.9915076494216919,521.6542310393259,715.6508953651686,0.7977445721626282,312.2950316011236,666.8156015917604,0.8221344947814941,684.9897588951312,679.0281922986892,0.9810881614685059,260.56984433520597,625.2027738764045,0.6836544275283813,819.4765332397005,433.77670002340824,0.992793083190918,417.7139659410112,402.5405620903558,0.7937124967575073,507.97343164794006,1190.480307818352,0.9369645118713379,280.3893082865169,1202.2135416666667,0.9610441327095032,473.0699906367041,1599.8238529962548,0.9385933876037598,277.2617480102997,1610.2611481741574,0.6098442077636719,476.1685832162922,1921.6230688202247,0.805870532989502,448.06647940074913,1934.9745435393259
6,0.8997794529970955,0.9975123405456543,423.67041198501875,512.2595534878277,0.9988406300544739,461.2573150749064,486.01383280664794,0.9987491369247437,417.24214360955057,480.91643258426967,0.7547146081924438,474.4790935159176,512.8290686446629,0.9960874319076538,319.4490285580524,475.1617728815543,0.9930405616760254,516.5994411282771,712.7118445692884,0.8117585182189941,313.58848314606746,663.3969744850187,0.8799501657485962,711.0517614700375,680.7320926966293,0.9810668230056763,260.20511470037457,625.8496459503746,0.7870129346847534,452.27030664794006,445.49910756086143,0.9945290088653564,426.05929599719104,406.2590706928839,0.8142737746238708,509.43410580524346,1198.8000351123596,0.9278731346130371,283.9690133426966,1204.4769721441949,0.9653378129005432,471.77909936797755,1599.2079236891386,0.9609858393669128,277.35128452715355,1612.1281015917602,0.6289482712745667,475.67481566011236,1917.4037336142324,0.8055697083473206,446.3553370786517,1928.405167368914
7,0.9014971080948325,0.9966517686843872,421.6143638810862,512.1682247776217,0.9986116886138916,459.23974426498125,485.4326501053371,0.9986059665679932,415.8109492041199,480.34102879213486,0.7975929975509644,474.40784468632967,512.614919826779,0.9962779879570007,319.0990753745318,475.6087971090824,0.9923233985900879,518.7243240870787,714.9169007490636,0.8228585124015808,311.88568000936334,665.7384568117977,0.8261560797691345,685.9248449204119,676.345242275281,0.9774779081344604,258.5165028089888,627.3898349719101,0.788612425327301,453.53976474719104,443.33713717228466,0.992690920829773,424.78596090823976,405.8157405781835,0.7818105220794678,507.3863237359551,1197.0349075374531,0.93443763256073,285.3226679541199,1204.4234989466293,0.9632900953292847,471.0941157537453,1599.8567708333335,0.9544484615325928,277.0257636938203,1614.17734667603,0.6759389042854309,443.8584825608615,1912.8198150749065,0.8276655673980713,446.05234667602997,1926.7741982677903
8,0.9016134668799007,0.9977260231971741,423.5693176498128,510.87203007958806,0.9989173412322998,459.71134714419475,484.1827598314607,0.9985780715942383,414.94696570692884,479.3107370669476,0.7740268707275391,472.6697097378277,512.2526773174158,0.9975637197494507,318.39287804307116,476.2318220388577,0.9917294979095459,520.6017380617977,712.2776948735956,0.7855939269065857,313.0986657303371,663.9708421114233,0.8726322650909424,684.3118709035582,675.1127984550562,0.9832861423492432,257.6147003745318,629.7633573267791,0.7775881886482239,454.9730073735956,443.23754242743445,0.9855453968048096,420.30752574906364,410.4378072331461,0.8326934576034546,507.5845622659176,1191.2231536750937,0.9379476308822632,285.45507080992513,1198.276787804307,0.9624691605567932,468.2783971207865,1600.7518433988764,0.9577959775924683,276.751960440075,1616.4562851123596,0.6460275650024414,474.0422372425094,1918.6151100187267,0.8273077011108398,444.4195488061798,1928.1551381086142
9,0.892022150404313,0.9992474317550659,427.9937675561798,513.5447389981274,0.9983320236206055,461.6604488529963,484.8729371488764,0.9989190101623535,418.25484257958806,476.72463863529964,0.7443328499794006,470.3079646535581,509.7559325257491,0.9986162185668945,319.5475626170412,476.7154582162922,0.9884582757949829,529.6015478698503,716.1388108614233,0.7482408285140991,305.0460118211611,663.6639747191011,0.7558440566062927,706.2768463249065,677.3203417602997,0.9843881130218506,258.1743036048689,630.8031952247192,0.7583842277526855,852.4032947097378,432.02580026919475,0.9908180236816406,420.9630296114233,401.19407625234084,0.8281938433647156,508.1631115402622,1186.574935627341,0.9570496082305908,279.3250380383895,1203.2006378745318,0.9670664072036743,468.24847846441946,1599.5666549625469,0.9636438488960266,274.4703885767791,1611.8788038389514,0.6913228034973145,442.7792164091761,1915.785639044944,0.7915189862251282,444.28158649344573,1926.1793363764045
