Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.733508800759035,0.9996458292007446,179.48577949438203,197.39612593632958,0.9999017715454102,195.13638225655427,175.5237959386704,0.9991252422332764,160.23945166198502,170.98108565465043,0.9972090721130371,224.71783805399497,188.77813865480647,0.9988635778427124,128.12839419475654,179.34411819210362,0.9633082151412964,267.46208840511855,294.8151724406991,0.9585965275764465,83.90588912297127,289.2914862281523,0.9638223052024841,292.8694405430711,453.2293617353308,0.969268798828125,37.61057223392632,436.4340472846442,0.993525505065918,299.32684730024965,593.6499785424469,0.9786911010742188,128.05017166042444,292.62277134051186,0.5583522915840149,235.58611306179773,593.4361345193507,0.8739919662475586,85.75499375780274,581.8432525749064,0.04965007305145264,297.6718359862671,564.9531347534331,0.046999186277389526,293.86716799313353,445.52478347378275,0.08043786883354187,301.9863647003745,600.4605571161048,0.03826028108596802,303.53560003121095,603.4080446317104
1,0.7434360332348767,0.9996709823608398,180.3142604946941,197.30652846051808,0.9999071359634399,195.22157849563047,175.3575486696317,0.9991439580917358,160.63395365168537,170.77397150046815,0.9968065023422241,225.24579139357053,188.29155206382646,0.9991196393966675,129.3913174937578,179.34528860408864,0.9540690779685974,267.62404416354553,293.3066820770911,0.968920111656189,81.06473841292134,288.93216974875156,0.940564751625061,293.7209640293383,451.9381047128589,0.9746382236480713,38.27938953261548,436.3906445068664,0.9903442859649658,299.98769116729085,594.5368582240949,0.9793580770492554,126.7945146691635,293.88576779026215,0.6638586521148682,237.7200667134831,592.7156971754057,0.9010002613067627,85.96254681647937,597.8501970193507,0.05073109269142151,299.6235467384519,564.4228893570537,0.0771293044090271,294.4185783395755,446.62477567103616,0.09788435697555542,301.0467189450686,600.9988978620474,0.045266151428222656,302.07531601123594,599.3186739232209
2,0.7453275989083683,0.9996486902236938,180.39767673220973,196.98916393570536,0.9998764991760254,195.2395248127341,175.42328680945693,0.9990626573562622,159.54017926810235,170.5233204588015,0.9964883923530579,225.6775027309613,188.5793027270599,0.9990200996398926,129.43081889825214,179.30212966214106,0.9575164318084717,268.3211708021223,293.83197760611733,0.9728258848190308,85.93411555867664,288.6131593320849,0.9382915496826172,294.2030274656679,450.89785229400746,0.9806013107299805,38.53210098704744,436.7042661516854,0.9911613464355469,300.3209172128589,594.3242333801497,0.9584294557571411,130.53556589419475,290.6425805633583,0.6979494094848633,241.4140820068664,590.3322507022472,0.8981049060821533,85.61603171816478,580.4765527465668,0.04255145788192749,299.69382022471905,564.6256632334581,0.08017775416374207,293.7954314918851,446.8365227059925,0.10475260019302368,299.46090823970036,599.5849426498127,0.05411073565483093,304.8459737827715,604.877106741573
3,0.7436433767571169,0.9996424317359924,180.91136567571783,197.42815377262795,0.999893307685852,195.51515683520597,175.5018263303683,0.9991455078125,160.87169358614233,170.89479215433832,0.9960865378379822,215.3932876872659,189.85556384597376,0.9987993240356445,129.97008622034957,179.31413857677902,0.9605876803398132,268.1478035268414,293.10498107833956,0.9784444570541382,83.0735555165418,290.8266278480025,0.9331979155540466,295.37553643882643,450.6022745006242,0.9774471521377563,38.32377984550561,436.34324282147315,0.9926063418388367,300.7984940699126,595.2978210830212,0.924960196018219,133.69814099563047,288.4458635689763,0.6273669004440308,237.38281737671656,593.2846149344568,0.9048783183097839,86.77822643570536,581.9586356897628,0.05213049054145813,296.5309281367041,441.0935549313358,0.097140371799469,293.1454627028714,445.5906679151061,0.13466671109199524,299.73341916354553,599.7562617041198,0.06494376063346863,305.1090238764045,605.1423513576779
4,0.7320465498110827,0.9996183514595032,181.5827188670412,197.6982994889201,0.9998934268951416,195.87791139981272,175.80407303370785,0.9992974996566772,161.27251092384518,171.14641853932582,0.9948711395263672,226.56867392322096,188.28737027933832,0.9988090991973877,131.37131320224717,179.93455446317103,0.9510525465011597,268.792993133583,293.49926361579276,0.9700189828872681,82.45138401217227,289.7638937656055,0.9225596189498901,296.4075472066167,449.8933949750312,0.9732500314712524,38.65094657069287,436.1736306179775,0.9875217080116272,300.53680945692884,593.3902446161048,0.9303903579711914,134.09581285112358,288.03914540418225,0.571313202381134,233.28144994538076,594.3162355649188,0.8875939249992371,85.47948365324592,581.7839029338327,0.051218181848526,296.7981722066167,442.15014435081144,0.09384667873382568,292.7625429151061,446.7602508583021,0.06861016154289246,300.47804502184766,602.2412414169787,0.04492643475532532,307.1027231585518,605.7749102684145
5,0.7348916478016797,0.9995729923248291,182.15978074282145,197.97663808910735,0.9998868703842163,195.9760065543071,175.9851942883895,0.9993021488189697,161.72177844101122,171.1802873361423,0.9952468872070312,218.31112476591755,189.46262240558676,0.9989883899688721,130.99490383114858,179.74711786048687,0.9594224095344543,270.55153714107365,294.5860642946317,0.9676200151443481,83.15585010923843,290.2580026919475,0.9464432597160339,297.0953593164794,451.54050600811485,0.9808751344680786,39.31542359160423,437.54452442259674,0.9916428327560425,301.04213483146066,593.8831831304619,0.963100790977478,131.44663409019972,291.8326457162921,0.5815199613571167,232.6500614466292,597.3708157771536,0.8417468070983887,88.31019818976279,585.2052122347066,0.05457809567451477,301.78168890449433,566.63384636392,0.079129159450531,293.3600870006242,446.6666178995006,0.0799572765827179,300.0392868289638,601.1232541354557,0.05412498116493225,307.2909156523096,606.383231897628
6,0.7342362824608298,0.9996088147163391,182.32946609706613,198.02823375078026,0.999904453754425,196.10024090980022,176.2427702676342,0.9993005394935608,161.76479108146066,171.82394077715355,0.9948877096176147,227.01023622815228,188.0956177824594,0.9988558292388916,130.95435393258424,179.86980385845817,0.9619845151901245,269.3091448189763,295.00316986579276,0.9802826642990112,84.94236208645441,289.92148486267166,0.947363018989563,295.7630403401997,451.34192610799,0.9852325916290283,39.95550483770285,437.52136001872657,0.9906324148178101,300.7373400436954,594.5605590667915,0.9635348916053772,134.03599992197252,291.4275368679775,0.5934580564498901,232.091482326779,594.2606897627965,0.8131241798400879,91.477966994382,581.2926712702871,0.0511469841003418,302.87280547752806,567.3239992977527,0.05440598726272583,291.6596734550562,445.13620669475654,0.0801367461681366,300.11048689138573,601.8435939450686,0.06815740466117859,307.621069366417,605.998458957553
7,0.7357374745256761,0.9994649887084961,182.88460713171037,199.0347149071473,0.9998931288719177,196.20033551810235,176.36010406913232,0.9993506669998169,161.55423884207238,172.203020150593,0.9937812089920044,215.27234511548062,190.04001345973782,0.9987127780914307,131.27175503277152,180.42437187890135,0.9644625186920166,269.94633661048687,295.34151646379524,0.9727718830108643,84.06921036204741,289.3560539559925,0.9450691938400269,295.920753355181,450.58130461922593,0.9891031980514526,40.6331733770287,437.6855590667915,0.9909443855285645,301.2292544475655,593.6728015761548,0.9817699193954468,134.4105317571785,294.0262172284644,0.5639564394950867,230.46431706460675,593.0686251560548,0.8367171883583069,86.7202422752809,583.4733926342072,0.04194185137748718,302.8561758739076,568.9519936017477,0.07922998070716858,290.657703261548,446.91113647003743,0.06796577572822571,309.1803995006242,602.5858302122347,0.08240196108818054,308.1024012952559,605.3557077091135
8,0.7296149905990151,0.9994869232177734,182.99250448657926,199.37932808598626,0.9998804330825806,196.34037043539325,176.6562792602996,0.9993842244148254,161.61302766073658,172.58818322799624,0.9936514496803284,227.1043568586142,188.00192386470036,0.9985755681991577,131.5589936407615,180.55881076388889,0.9583641290664673,269.13368055555554,295.0387698970037,0.977406919002533,84.90978561953807,290.69244499063666,0.9505308866500854,295.100440855181,451.7183110955056,0.990337610244751,40.82291422830835,437.5993387172284,0.9888622760772705,302.1128179619226,593.6073072721598,0.9808465838432312,134.21378062578026,295.02296933520597,0.49758172035217285,229.47019838483146,596.757763732834,0.8551839590072632,84.7658737125468,582.7940172440699,0.03253042697906494,295.69047479712856,442.21344413233453,0.05784648656845093,291.70190582084894,446.4071278089887,0.06588733196258545,309.1530898876404,601.420148642322,0.0570979118347168,308.1786731429463,603.6958684456929
9,0.7251631126684301,0.9995920658111572,182.50375994850185,198.9977128199126,0.9998918771743774,196.33322604556804,176.88183959503743,0.9993932247161865,161.65738139825214,172.74464048845192,0.9953307509422302,226.42303078183517,188.58619108926342,0.9987831115722656,131.86208157771534,180.5289408746879,0.9478996396064758,268.35794124531833,295.6477254993758,0.9761327505111694,85.19597573345817,289.98263888888886,0.9509119987487793,295.5710440074906,451.221324906367,0.9913475513458252,41.25952666588637,437.5492060705368,0.9859024286270142,302.1626092384519,592.8000643726591,0.964206874370575,135.40382139513105,290.7477225733458,0.5121776461601257,233.0865275827091,593.7268843632959,0.8088905811309814,85.89736949906364,584.0185607833957,0.03567981719970703,296.0093632958801,442.23446278089887,0.06425061821937561,292.49920021847686,446.8958235799001,0.06141239404678345,301.4559242353308,603.0638947409487,0.03596958518028259,308.4240695224719,605.5366338951311
10,0.7264161776093876,0.9996482133865356,182.29652387640448,199.04373683286516,0.9998940229415894,196.43529572409489,177.10482746176652,0.999439001083374,161.56640625,172.60528831148562,0.9952548146247864,225.92597144194752,188.4117753199126,0.9987980127334595,131.86451993601747,180.75878052824592,0.9385021924972534,267.864661360799,296.91206304619226,0.9755822420120239,84.44939918851435,290.43158941947564,0.9459151029586792,295.83502067727835,450.3789208801498,0.9882079362869263,40.354542173845175,437.03217657615477,0.9912166595458984,301.996166900749,593.959211142322,0.9505707025527954,133.00842696629212,289.36907478932585,0.500236988067627,232.85837039637948,592.4052941635455,0.8084703683853149,90.01968242821471,598.6932350187266,0.04779452085494995,295.9631320224719,441.93566635455676,0.09159576892852783,292.18840706928836,446.71377574906364,0.06462094187736511,302.05639435081144,604.3500312109862,0.0533275306224823,304.5519565387016,617.8540008583021
11,0.7312129332738764,0.999638557434082,181.91479888420724,198.9965789833021,0.9998993873596191,196.1940445536829,176.98261694366417,0.9993728399276733,161.61800191167288,172.44970886001872,0.9955620765686035,226.02157947097373,188.64632100499375,0.9987169504165649,131.13237847222223,180.21284429619226,0.9499303102493286,269.3450374531835,295.8472075920724,0.9745675325393677,82.90418714887639,290.37506827403246,0.9519287943840027,296.017263576779,451.1879193976279,0.9877495765686035,39.80559456928839,437.19466877340824,0.9920656681060791,302.3274910268414,594.7025690543071,0.9580716490745544,134.90863959113608,289.73855922284645,0.5398654937744141,235.29831363139823,593.3854166666666,0.7544959783554077,83.46893531523094,601.834815855181,0.08577665686607361,303.1594101123595,569.313065699126,0.11160483956336975,291.98051264044943,448.2911497347066,0.07117822766304016,302.10062617041194,605.3385416666666,0.060195326805114746,304.8801107990012,617.6575179463171
