Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.38199233482865724,0.1413860023021698,106.19236940152933,207.61630969101122,0.04422178864479065,107.87369060159176,207.43660268414482,0.061416298151016235,143.60867275280899,156.46684320380774,0.6440966129302979,114.14342911204744,208.04404650436953,0.024448126554489136,112.05932769584894,209.41001482521847,0.10739481449127197,143.14856673299,148.88163477294006,0.024290770292282104,153.02580758426964,151.63021321004993,0.2941666841506958,100.88058871722845,12.26850683471832,0.2135397493839264,102.98431891775905,8.551093969452246,0.6452587246894836,127.00203846754056,183.17436456382646,0.8522577285766602,42.89756212936953,41.65424018316947,0.8080503940582275,114.28323238529961,44.298362398564294,0.4945739209651947,137.2589804736267,44.229826242587386,0.444131076335907,163.44068205758427,139.72747688436328,0.9744250774383545,111.72345603152309,185.22987622893257,0.4909699261188507,123.51121157147315,186.29123263888889,0.2292419970035553,102.91986091604244,210.14605766229712
1,0.38169558959848743,0.1944981813430786,104.2478274227528,207.5639825218477,0.029752790927886963,107.06183920490011,206.15790320692884,0.050756603479385376,103.73041998283395,207.46464380461921,0.6929253935813904,112.83660317181648,208.28593164794006,0.023007333278656006,164.99802492977526,154.27891649110487,0.05392247438430786,100.62502438358302,185.9038750390137,0.030833542346954346,139.86223275593008,-15.8489342545451,0.3321380913257599,98.00169222066165,11.540731556257802,0.20531487464904785,101.37201544943818,7.957777387640449,0.6537326574325562,126.31150758817103,182.109948014201,0.7227121591567993,42.71690416276529,41.74610228425406,0.8480644822120667,113.09165545021847,42.86028877477372,0.5138517022132874,136.47937636548065,43.81231529435861,0.498507559299469,162.43242089965668,140.34614934456928,0.9708283543586731,110.91610340589887,185.59116777855803,0.46234676241874695,125.55492158239699,186.33453788233456,0.2056320607662201,102.9103757022472,209.19595134987514
2,0.37049567524124594,0.10404148697853088,104.76705143960675,207.25743211610487,0.04610353708267212,106.98957845661673,207.47115422128587,0.04055854678153992,104.66926107990011,208.37483419163544,0.7289837002754211,114.18080914481897,208.17362086454432,0.04295104742050171,142.2294397627965,120.76474231429462,0.09985905885696411,100.01539823267788,184.5546948150749,0.03798532485961914,110.71420733848313,185.94086493445693,0.20125576853752136,98.50813924001247,8.819645609004368,0.2580607533454895,102.10833869772159,7.169627595632412,0.6785975694656372,126.57658151919475,182.00017312343945,0.6448251605033875,43.04302848977839,42.22940623536985,0.8099653720855713,111.34530323423843,42.396467306491886,0.4564656615257263,136.96282966604244,44.81870196434144,0.571973443031311,161.7616285307428,140.4750653480025,0.9632568359375,112.05547508973157,187.47606751326467,0.4270622432231903,125.61695341760299,186.10183315777152,0.18648096919059753,108.80174196317103,209.12770170099873
3,0.3606548186610727,0.17670020461082458,104.86436631944443,208.23457982209737,0.04543212056159973,106.81850323813981,207.1788925951935,0.04122665524482727,103.62354673845192,208.47261235955054,0.42411160469055176,112.97835713171034,207.93076037765292,0.021792948246002197,103.95261538311485,206.30525319912607,0.037429600954055786,103.89514327793381,-13.996037972553838,0.03863832354545593,108.97560910190387,188.67927541744692,0.328352153301239,98.05722583099251,7.489851095554385,0.25731217861175537,101.35356926888264,2.7487060699272394,0.6342989206314087,127.16161682662297,181.93472758661048,0.7450014352798462,43.56038106663546,40.624731780586764,0.6291882991790771,110.42965092462546,43.05530867177746,0.5556222796440125,88.63141044397628,113.22240022237827,0.6029475331306458,161.865807389201,140.7093184300874,0.9785813689231873,110.06792047050561,183.66324321161048,0.40915003418922424,125.5220768960674,187.49225821239074,0.2053462564945221,102.5802097963483,209.52959191635455
4,0.34035687411532684,0.1412474811077118,104.13958869772159,207.77336434925093,0.04492706060409546,106.74078056725966,207.49246547284642,0.08999583125114441,144.5316157537453,154.84245767009986,0.3347240686416626,111.68484462780899,208.62171796972532,0.03243407607078552,146.8298659878277,145.70305184925093,0.044645488262176514,140.4755652114544,152.4855283434769,0.03899547457695007,110.3175717852684,187.87504389044943,0.12769919633865356,95.5505691128277,7.863374060012874,0.21392494440078735,101.28916003433207,2.052342942293812,0.676704466342926,127.07361647549936,182.60264269272784,0.7603446245193481,42.68972865948814,41.31806067610799,0.6124436259269714,73.4645170099875,15.264484153109393,0.47849175333976746,92.5859277465668,41.95899534761236,0.5433762669563293,161.21246147393882,143.13931316323345,0.9730284810066223,110.31223178058676,183.6129520716292,0.403135746717453,123.23103201076779,186.8510065543071,0.269948273897171,114.61325198970036,206.0521759909488
5,0.33817638018551993,0.1691981852054596,103.42111423220973,207.87579978152309,0.08094838261604309,105.69472485564918,207.33506944444443,0.049826622009277344,144.63467296738452,157.6870586571473,0.27028509974479675,103.75977781679151,205.229815269975,0.02688571810722351,165.08478171816478,153.96091799313356,0.027930468320846558,140.71629213483146,147.20254467072408,0.043591439723968506,111.19642926810235,189.448540886392,0.20313379168510437,95.81632578417603,7.664580041549625,0.2396036684513092,99.43798279494382,5.692002276207475,0.7492362260818481,126.95950130696005,182.5084245279338,0.8741315603256226,42.80995801147003,41.83221900358926,0.5258818864822388,73.96902553448814,13.493818456909331,0.49113866686820984,137.9921948150749,42.85435442025593,0.370336651802063,159.9663628472222,143.13259548611111,0.9728916883468628,110.56152953339574,184.82782752028714,0.40713152289390564,124.95186680711609,183.97012279572408,0.24684688448905945,104.80122503121098,210.60507861267166
6,0.3447578268892625,0.2668410539627075,102.27556131008114,207.66310178682895,0.07880368828773499,105.11355434612983,206.73035658551808,0.049050092697143555,100.87579734316478,213.09637367353307,0.15717148780822754,108.03306170021847,208.45722631866417,0.057496875524520874,164.4221212741885,154.54818439840824,0.030041754245758057,147.8911126716604,150.0921699438202,0.03268885612487793,101.69614641853931,-13.913677848977839,0.17657873034477234,100.54577773876403,1.1266725994972104,0.40046778321266174,100.31573082475029,2.0977089794982833,0.7426575422286987,127.10781445068662,183.28844315699126,0.9444761276245117,43.8558796133739,42.09673516015137,0.7038021087646484,109.90931745474407,43.10170148642322,0.512601375579834,88.59439616495004,114.6074243133583,0.30464184284210205,113.76239905196627,62.70345052083333,0.8862550258636475,111.13527524188513,187.17360135767788,0.3303412199020386,126.32385787297127,186.03822858146066,0.18696749210357666,116.89417768804617,204.93916296036204
7,0.3680598805932438,0.17326238751411438,102.43409117509361,208.01822428995004,0.0600525438785553,104.92982404806492,205.9531298767166,0.04118487238883972,101.19094296192259,206.66213132022472,0.19573554396629333,108.44135260611733,208.11841643258427,0.0789523720741272,164.06006164169787,154.8413360252809,0.033738791942596436,143.3248112710674,144.6360262562422,0.06349712610244751,149.3326335245006,155.03672167602994,0.2142222821712494,98.11867246020597,2.072108503286907,0.3901231586933136,96.75320400280899,2.9195384050576427,0.7814007997512817,126.79082787141073,184.62184720271534,0.9253637790679932,44.31178556101747,42.007604020365164,0.7902801036834717,110.66960976513732,41.75188728932584,0.4271279573440552,89.09524715199748,114.40807633036829,0.4638083577156067,159.30410473236577,144.50383066089262,0.899904191493988,108.82777143804617,185.68053361033083,0.49371227622032166,127.13837927200373,185.67186524656677,0.22465142607688904,102.5756134909488,209.73468223314606
8,0.3693050882395576,0.21027448773384094,101.75250907069287,208.4310871176654,0.08633565902709961,104.6830378043071,206.5302405196629,0.058040618896484375,167.86855785736577,157.3290710830212,0.2065843641757965,108.89734999219723,208.35274266541822,0.15975889563560486,163.88862066947564,155.6338634324282,0.03962838649749756,144.22572370474407,145.51648086376403,0.061672210693359375,149.3333162648252,155.05485087000622,0.20590740442276,148.05312938904493,148.77973577949436,0.4101288318634033,147.77543695380774,150.89897393882646,0.7538661956787109,126.5244981858614,184.35288409019975,0.8554790019989014,44.323099543539314,41.976408273837386,0.838627815246582,111.46627018960675,42.03188397315855,0.44502487778663635,88.7525358926342,115.27716818820224,0.43924951553344727,158.7541452091136,144.5118406679151,0.9103283882141113,108.98009568117976,187.90092706382646,0.439628541469574,126.81396789169787,185.76112135221598,0.15765130519866943,103.12902329119851,209.4417622503121
9,0.3818540695835562,0.21376681327819824,101.93799498673533,207.63164696473157,0.06433001160621643,104.45458801498125,206.22878628277152,0.08110427856445312,170.4293705134207,157.4053185471286,0.21787911653518677,97.3396291744694,203.2586220349563,0.2774101495742798,163.43052629525593,156.18540788857678,0.026295572519302368,143.9337059144819,149.85864836922596,0.03542530536651611,147.07184866573033,148.36200842696627,0.2372325360774994,101.72912521457553,8.56460704636782,0.31342199444770813,149.33114612593633,150.4421109355493,0.783450722694397,125.01211864076154,185.18293783161673,0.9087004661560059,44.11669251326467,41.19365563553371,0.8547344207763672,110.45520491963171,40.81203732151217,0.43846094608306885,93.14537248361424,44.003900154104244,0.44396117329597473,159.9198145872347,144.11403470271534,0.9096560478210449,108.79949867353307,189.31266337000622,0.5197142958641052,127.1787950608614,184.9036360799001,0.16597533226013184,125.55475089731584,183.4413282225343
