Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9651748678263496,0.9996787309646606,465.45126697097385,305.2356734257959,0.9999849796295166,510.69624882958806,267.3388854751873,0.9999175071716309,423.7331021769663,262.2195400280899,0.999779224395752,559.8825198970038,311.85861423220973,0.9993053674697876,350.70334445224717,297.1544724367978,0.9774171710014343,670.118357911985,541.4504330524345,0.9908227324485779,243.20305184925098,518.720081343633,0.9885373711585999,717.2235633192884,869.2194083567416,0.998279869556427,206.08533766385767,852.2695751404494,0.9925932884216309,696.5977586610488,1177.3419212312735,0.9959483742713928,333.66719335205994,584.5452583684457,0.769463300704956,597.867582514045,1178.8006934691011,0.8291401863098145,334.57016619850185,1094.651875585206,0.9873993992805481,582.9979371488764,1451.8299391385767,0.9868096709251404,313.1793510065544,1469.9350421348315,0.9369858503341675,595.3730688202247,1743.6272530430713,0.9559097290039062,334.8581606975656,1767.3577949438202
1,0.9665054398424485,0.9996721148490906,474.7194668773409,335.15720095973785,0.9999889135360718,513.5028967696629,295.8434281367041,0.9997173547744751,431.4558462078652,291.1201757080993,0.9994760751724243,562.1774783473783,339.2390493328652,0.9992987513542175,351.63630910580525,328.8356961025281,0.9864035844802856,664.5090121722847,571.3556662570224,0.9782537221908569,257.4093662219101,549.3912028909176,0.995644211769104,717.4921728698503,888.1760592228464,0.9984667301177979,214.42247483614233,875.5389747191011,0.9938855171203613,697.3205612125469,1206.1579763576779,0.9918267726898193,319.8840560627341,606.7262113764045,0.7616928815841675,603.8987154728464,1211.3327334971912,0.8109105825424194,335.12786750936334,1128.6824818586142,0.9833222031593323,590.6065660112359,1475.4880617977528,0.9915049076080322,319.08086083801504,1484.442737593633,0.9481304883956909,595.8319434691011,1781.708216292135,0.992397665977478,335.93830465823976,1786.614144428839
2,0.9696247647790348,0.9996291399002075,474.0595739700375,335.38502896769666,0.9999889135360718,513.6029669943821,296.34769282537457,0.9996485710144043,432.2863266619851,291.80963980571164,0.9995219707489014,562.5235545411986,339.3310729751873,0.9992835521697998,352.11530021067415,328.71518024344573,0.9844759702682495,666.257973431648,571.753204002809,0.9771692752838135,252.03790671816478,549.241719335206,0.9956610202789307,720.1059954353932,889.4982590121723,0.9985617399215698,215.37672635767797,876.2266649110487,0.9934937953948975,696.9916754447565,1208.2320195458801,0.9866793155670166,344.2341848080524,612.6017526919476,0.7857915163040161,602.2814987125469,1212.4120727996255,0.841332733631134,335.57650105337086,1132.737666783708,0.9859268665313721,590.2989671114233,1475.1994089419477,0.9867738485336304,319.8639396067416,1485.360633192884,0.9552688002586365,594.7387055243446,1781.9698033707866,0.9944139719009399,335.482429190075,1785.8636177434457
3,0.9684578355620889,0.9996324181556702,472.7212078651686,335.75462312734084,0.9999896883964539,513.6425415496255,297.21127399344573,0.9996716976165771,431.86870903558054,292.23523086376406,0.999556839466095,563.0826457162922,339.2489246839888,0.9991568326950073,359.77988939606746,324.3554321746255,0.9834100604057312,666.9585381554307,573.2020643141386,0.9787261486053467,254.83848314606746,550.2276451310862,0.9953635931015015,719.5121576544943,891.6441362359551,0.998670756816864,214.1479400749064,877.9361247659176,0.9932241439819336,694.4546611657304,1210.164223431648,0.9846656322479248,343.7144487359551,612.9146915964419,0.7445555925369263,600.214770599251,1216.9515156835207,0.8627971410751343,337.18984082397003,1135.1966292134832,0.9853842258453369,589.7202715355805,1478.5094803370787,0.9842126369476318,318.24752750468167,1497.3215121722847,0.9613009691238403,593.8922050561798,1782.1395131086142,0.9934648275375366,335.5299040262173,1786.2140098314608
4,0.967727310517255,0.9996592998504639,470.850158005618,337.56444580992513,0.9999896287918091,514.2469130383895,300.0512238120318,0.9997241497039795,429.9016122425094,294.39921289794006,0.9995993375778198,561.8205026919476,342.3326676615169,0.9992123246192932,351.45606566011236,329.7105790613296,0.9811511039733887,668.6875292602997,574.8922489466293,0.982719898223877,254.935627340824,551.4860574672285,0.9942476749420166,717.3194639513108,895.6423367275281,0.9987220168113708,211.84925093632955,879.386338366105,0.9947181940078735,692.398759363296,1211.3061066245318,0.9882224798202515,342.2124444054307,615.7985867275281,0.7847804427146912,600.8106566011236,1207.9299069522472,0.8515272736549377,338.4176761470038,1138.8626521535582,0.9877140522003174,590.8059749531835,1477.5743211610488,0.9810769557952881,317.28208391853934,1496.0589302434457,0.9166316986083984,596.2151070926967,1783.0518492509364,0.9916677474975586,334.6773320458801,1794.8880793539327
5,0.9640795623554903,0.9997513294219971,473.23596968632967,336.8607721793071,0.99998939037323,516.4069083567416,300.04120215941015,0.9997752904891968,432.8950140449439,294.57018448618913,0.9996181726455688,565.8287248361423,341.5465165613296,0.999383270740509,355.02253043071164,330.1882900280899,0.9802685379981995,670.64453125,573.9960059691011,0.9816875457763672,256.3908151919476,554.2194083567416,0.9921588897705078,722.6994820926966,891.4812295177903,0.998985230922699,215.46823794475654,878.0898144897004,0.9938995838165283,696.9910902387642,1208.9344861891386,0.994051456451416,328.3148993445693,605.7232414559925,0.7788122296333313,600.9246254681648,1214.7996400983147,0.8234937191009521,334.1243123829588,1137.2468984082398,0.9886075258255005,592.4954646535581,1474.8501872659176,0.9707168340682983,318.7663126170412,1494.5559749531835,0.8961962461471558,597.316172167603,1781.136177434457,0.9919573068618774,339.8569171348315,1790.8380149812735
6,0.9667801366132849,0.9996851086616516,470.9857794943821,338.9253789208802,0.9999898672103882,515.8322360720974,301.6943542251873,0.9998539090156555,429.97234901685397,296.31398861774346,0.9996787309646606,564.1864173689139,343.53160843867045,0.9994187355041504,353.4263810861423,332.8807862242509,0.9803481698036194,670.0027065777153,575.0952056999064,0.9874571561813354,251.4529933286517,552.8480878394195,0.991542398929596,721.7484492041199,898.2193644662922,0.9971747398376465,216.3341965121723,875.0438172986892,0.9944636821746826,695.8549859550562,1213.241163389513,0.9866979122161865,336.986481741573,615.9835849719101,0.8072078227996826,602.2005208333334,1213.0389747191011,0.7944515943527222,335.2856536750936,1126.3701866807116,0.9839857816696167,592.0585352294008,1481.643989934457,0.9829572439193726,315.91518902153564,1501.2198618913858,0.9335645437240601,598.7466350655432,1778.9018609550562,0.9967849254608154,338.1034936797753,1800.1283064138577
7,0.9679390717955196,0.9996537566184998,471.31225128745325,340.461800678839,0.9999865293502808,515.4110340589888,303.31029084737827,0.9998878240585327,431.13939606741576,299.3428868211611,0.999708890914917,564.9007344335206,345.8369177200375,0.9994364380836487,353.8941069756554,333.4842799040262,0.9794104099273682,669.5774812734082,575.835783883427,0.9871962666511536,254.10404962546818,552.4417720037453,0.9897018074989319,722.6553721910113,901.4225626170412,0.9964306354522705,217.02437382958806,871.6903675093633,0.9947503805160522,695.6552112593633,1214.8460908239701,0.9935621619224548,342.9713102762173,604.4350201896068,0.7884994745254517,601.0750965589888,1215.3855044475656,0.8481774926185608,328.76236247659176,1145.219305945693,0.9848529100418091,591.6370406132959,1479.5085732677903,0.9807201623916626,316.48042485955057,1505.6346558988764,0.917061448097229,598.2323852996255,1779.8086376404494,0.995927631855011,338.2086113061798,1802.2354868913858
8,0.9697844947085661,0.9996374249458313,471.4769867743446,342.7965897120787,0.9999808073043823,516.4845944522473,307.0333347963483,0.9998674392700195,430.57291666666674,300.3084035580524,0.9997515678405762,564.9703007958802,347.6901187968165,0.999474287033081,355.51724894662925,335.6838132022472,0.9837265014648438,668.9463366104869,576.7346602879213,0.9864656925201416,263.90734726123594,550.970856741573,0.9907289743423462,721.3559222846443,901.9097466058053,0.9958915114402771,211.66769077715355,858.1148320458802,0.9947466254234314,695.6741573033707,1216.7701018258426,0.9806091785430908,328.44825316011236,584.4319112827716,0.7837101221084595,600.0000731507491,1216.4145891853932,0.8629753589630127,333.2943439840824,1138.2497951779026,0.980897068977356,588.6783854166667,1485.6163682116105,0.989766001701355,319.4999414794007,1512.991719335206,0.9441041946411133,595.7399198267791,1783.7021594101125,0.9940036535263062,338.4230161516854,1798.8638225655432
9,0.9670969878925997,0.9997555017471313,473.02749005149815,344.83175327715355,0.9999752640724182,516.7639571629214,307.59875351123594,0.9998616576194763,429.1120962078652,302.33100348197564,0.9997053146362305,562.9094247425094,351.1928692649813,0.999436616897583,357.8522208567416,337.54729195926967,0.9769910573959351,671.2779435861423,579.4719247425094,0.9914937615394592,254.00434515449444,551.448677434457,0.9890741109848022,719.555316596442,905.2948706694757,0.9988776445388794,211.79577773876406,847.2547255383895,0.9916342496871948,694.6327100889514,1215.9227235486892,0.9797104597091675,335.2693410580524,573.0013752340824,0.7997265458106995,603.5903850655432,1214.4420060861423,0.8125209808349609,347.88433403558054,1103.2614261470037,0.9845566749572754,590.096485838015,1482.3507724719102,0.9822639226913452,319.955085440075,1516.9017731741574,0.9400275349617004,598.6184749531835,1780.2409585674159,0.9950374960899353,338.12258602528095,1795.516883192884
