Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9809524732477525,0.9993909597396851,549.3665876638577,235.75220915262173,0.9999518990516663,603.7636060393259,211.5777519311798,0.999730110168457,525.7572565543071,207.0233680067884,0.9997485876083374,642.8708011470037,260.90646579470973,0.9995659589767456,475.6102966994382,246.41628994030899,0.9925594925880432,720.9360369850187,461.8369616104869,0.9890189170837402,382.58302610018734,433.66832718867045,0.977455735206604,767.027665613296,717.7928224485019,0.9764571189880371,300.69339595037457,628.2115373361423,0.9976264834403992,761.3385855571162,923.7747249531835,0.9960838556289673,446.61677785580525,562.1366602294007,0.9502196907997131,641.7350626170412,924.0041988529963,0.9417340755462646,434.0375555945693,932.5522296348315,0.9866589307785034,650.984682233146,1307.602118445693,0.9592206478118896,385.8600333567416,1283.5656601123596,0.9770110845565796,669.5222524578653,1576.0129915730338,0.9337584972381592,370.4184222846442,1554.8882256554307
1,0.9815508057089413,0.9994217753410339,549.7485077247192,234.41475743211612,0.999945878982544,603.6001872659176,210.4111803604869,0.999728798866272,526.1190601591761,206.07220710440075,0.9997831583023071,642.2545792368915,258.7593267205056,0.9996071457862854,475.4037921348315,245.14668553955994,0.9930893182754517,718.1999063670412,461.055784761236,0.9898378849029541,378.44503452715355,434.64456051029964,0.9805406332015991,764.2603727762173,719.3856800093633,0.9730194211006165,300.51081168071164,631.4095417837079,0.9980438947677612,760.7653762874531,925.7576954588015,0.9969784021377563,448.61437851123594,569.4982590121723,0.9511075019836426,639.8720593398878,922.7075286750936,0.9443216323852539,433.33552785580525,930.6626726357679,0.9881998300552368,652.3588190543071,1306.63360252809,0.958803653717041,406.185554190075,1280.2081870318352,0.9809315800666809,669.5722875702247,1573.3551322565543,0.9330031871795654,369.05591643258424,1554.195634363296
2,0.9822535164215985,0.9994071125984192,551.4148817883895,233.52562836493448,0.9999467134475708,604.2733204588014,210.1643697331461,0.9997416734695435,526.8679775280899,205.82087941830525,0.999803900718689,643.7722378277153,258.11744718515916,0.9996160268783569,476.43265742041206,245.91579251521537,0.9941900968551636,719.7057876872659,459.97209298923224,0.9886943101882935,379.50637874531833,435.3087327364232,0.9813610315322876,763.6960147471912,717.4142673220974,0.9750530123710632,302.039223431648,631.3517526919476,0.9978639483451843,760.458362593633,924.8454324672285,0.9966608285903931,445.86083801498125,568.8538374882959,0.9472925066947937,639.6219569288389,923.4661019428839,0.9460872411727905,433.31146125936334,929.0151714653558,0.9888188242912292,651.7398905664795,1306.0909702715355,0.965498685836792,387.0128891619851,1281.4055184925094,0.9711781740188599,671.219057233146,1575.2590999531835,0.9470956921577454,367.61989407771534,1555.2839712078653
3,0.9820252411505755,0.9994087815284729,552.9658971207865,231.66161926498128,0.9999420642852783,605.3545616807116,209.2000234082397,0.9997480511665344,527.2675269194757,205.90860545411985,0.9998215436935425,645.0079002808989,257.1215545997191,0.9996637105941772,476.5685715121723,244.79457440894197,0.9948047399520874,721.3970330056179,460.418202832397,0.9864124059677124,379.11063319288394,435.20237154728466,0.9819030165672302,761.3396096676031,716.3685042134832,0.9741054177284241,286.02476884363296,620.5756232443821,0.9980248212814331,761.0135036282772,924.6583128511236,0.9965692758560181,450.6557964653558,564.3858263108615,0.9445646405220032,639.3895569990636,923.0244908707865,0.9460514783859253,434.9987564372659,931.8310363998128,0.991299033164978,652.1724309456929,1306.0230863764045,0.9626339673995972,388.01951661985026,1283.0361949906367,0.9771219491958618,672.3498946629213,1573.6689489700375,0.9423542022705078,368.2004915730338,1554.0543071161048
4,0.9810161660699284,0.999480664730072,551.1186212546817,231.767578125,0.9999394416809082,604.3223314606741,209.1129374414794,0.9997133612632751,525.5989583333334,206.37208860018728,0.9998131990432739,642.6282332631085,257.3652197448502,0.9995666742324829,469.5636557818352,249.24588892790263,0.9945189952850342,717.6349631320224,459.90479430009367,0.9848706722259521,376.62511704119856,434.62345651919475,0.9790058135986328,758.2668393024344,710.2996986189139,0.9657208919525146,300.3989641853933,636.5971734550562,0.9981680512428284,759.338205173221,925.2419095271536,0.9956659078598022,442.2490197799626,557.1415979049625,0.946811318397522,638.3933169475656,926.0628803838952,0.939963698387146,434.16966584737827,934.8673045411986,0.9891272783279419,653.8357326779026,1306.3996664325844,0.9586836695671082,406.17684925093636,1279.7097378277153,0.979683518409729,670.6181238295881,1573.621254681648,0.9465416669845581,365.69134772940083,1555.233204588015
5,0.9795545339584351,0.9994348287582397,553.3975596910112,231.4427887991573,0.9999423027038574,606.3638225655432,209.24490139279027,0.9997587203979492,528.5355220037453,204.83061944054307,0.9998205900192261,644.7828154260301,256.26779391970973,0.9997020363807678,476.0197945926967,243.66077437382958,0.9946823716163635,719.8653294709738,460.01890946863296,0.9823763370513916,382.193205758427,434.4973812031835,0.9804080724716187,760.5201018258426,710.5646506320224,0.9696573615074158,278.22923981741576,624.0551117743446,0.998088002204895,760.7318732443821,924.0766180945693,0.9950653314590454,458.9526275749064,540.7865168539327,0.9461754560470581,640.3540496254682,923.401802434457,0.9345054626464844,436.60039208801504,935.3076720505618,0.987860918045044,655.6501638576779,1305.485720973783,0.9492812752723694,387.17579588014985,1282.7194522471912,0.9769882559776306,671.6545967930713,1575.6033473782772,0.9386797547340393,369.9397969335206,1553.5122600655432
6,0.9802985647145439,0.9994401931762695,554.8700842696629,230.5167734667603,0.9999372959136963,607.1676029962548,208.4101416198502,0.9998371601104736,528.2117567883895,204.00816728113296,0.9998011589050293,644.0038330992509,256.2344006027622,0.9997597932815552,475.9931677200375,242.01724163155433,0.9949556589126587,719.5295675327716,459.13104225187266,0.9727082252502441,379.6414881788389,424.6854152036517,0.979827880859375,759.2594218164795,709.6506320224719,0.9777759313583374,298.92402563202245,628.4625907069288,0.9981774687767029,761.7733204588014,922.5951691245318,0.9962294101715088,464.60469335205994,528.2531601123595,0.9496386051177979,639.8281688904494,924.8234140917604,0.9314609169960022,437.91447214419475,930.3748244382023,0.9886274337768555,653.0476065074906,1304.1501345973784,0.9590945839881897,385.8634714419476,1281.1168656367042,0.9739114046096802,672.5680301966293,1572.9633368445693,0.9438924789428711,370.6640625,1557.2610896535582
7,0.9818355441093445,0.9994913339614868,555.4187880383895,230.55360486891388,0.9999325275421143,607.2573589653559,208.60993460323036,0.9998476505279541,529.3212341994382,203.8098373127341,0.9998006224632263,643.4835849719102,256.2181977118446,0.9997889995574951,476.07765683520597,241.20594496137642,0.994590163230896,718.1364846676031,459.13133485486895,0.9708436727523804,375.2926029962547,425.49662043539325,0.9816832542419434,759.327817766854,711.0543948970038,0.9795354008674622,283.3381612827716,632.5179219335206,0.9976463317871094,761.7587634597378,921.8696599953183,0.9934673309326172,463.72549449906376,517.6197477762172,0.9424424171447754,636.4674771769664,927.9446102528091,0.9352912306785583,438.7121079119851,933.208830758427,0.9908744096755981,653.7721646769664,1305.3025514981273,0.9666019678115845,386.6755179073034,1281.193527621723,0.9749692678451538,672.2163945458801,1570.9679307116105,0.964397668838501,368.2246313202247,1555.994850187266
8,0.9827791101792279,0.9995989799499512,558.0078856507491,236.35105775983146,0.9999103546142578,594.0050766619851,205.6516085849719,0.9998480081558228,532.1175678838952,203.03853581460675,0.999761700630188,647.8374444054307,258.9030313670412,0.9998453855514526,476.79826486423224,241.19124166081463,0.9936373233795166,722.1198355571162,458.4530079588015,0.9837320446968079,374.96430243445695,424.91558403558054,0.9822672605514526,767.4347495318352,713.2931735720974,0.9817126989364624,283.69469803370794,626.8096032303371,0.9981635808944702,764.031410931648,934.226796582397,0.9938650727272034,468.2898817883895,501.2907449672285,0.9589332342147827,639.7163945458801,925.8402826544944,0.9298996329307556,440.97824496722853,933.8404874765918,0.9906882047653198,655.7344335205994,1305.4747483614233,0.9680930376052856,401.78509772940083,1278.186007724719,0.9667734503746033,672.8059895833333,1572.887113764045,0.9605149030685425,363.4345739700375,1552.951340121723
9,0.9818716084255892,0.9994170665740967,558.7802112593633,234.85393624180713,0.9999080896377563,594.6447068117977,205.76969218164794,0.9998332262039185,534.4663652855805,202.75666769077716,0.9998077154159546,647.3890303136704,258.53413213951313,0.9998376369476318,478.65446512172286,241.67178721910113,0.9932104349136353,720.7296787219102,456.41605220037457,0.9691203832626343,370.04081811797755,424.11710703417606,0.9806522130966187,764.8994908707866,712.2064460440075,0.9793506860733032,290.35236715823976,624.0735457631087,0.9978898167610168,766.7398905664795,921.7875117041199,0.9922764301300049,472.2547255383895,481.98289735486895,0.9502362012863159,639.4752896769664,924.9697155898876,0.9431594610214233,440.8507432116105,928.9386557818352,0.9908295273780823,658.1574789325844,1303.9532127808989,0.9565716981887817,402.2546523876405,1280.2605629681648,0.9773570895195007,671.6766883192884,1572.0777738764045,0.9623596668243408,365.44424449906364,1556.6021477059926
