Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.9500232794705559,0.9997748732566833,340.97641619850185,241.1459308676654,0.9999455213546753,385.53346402933823,203.4116777855805,0.9998632669448853,322.2215394818976,205.7124395287141,0.9993016719818115,429.7586025280898,221.95812363451932,0.9996728897094727,267.0325667134831,231.17611774344567,0.9665461182594299,493.6570985486891,425.2002867509363,0.9612685441970825,202.5306745474407,418.4080446317103,0.9962170124053955,475.6895677278402,665.5912531210986,0.9991906881332397,188.1642088014981,641.9700472066166,0.990477442741394,374.4592696629213,787.8533181179774,0.9907780885696411,289.046455602372,754.4865792759051,0.8157159090042114,432.6728308364544,688.6732892478152,0.8218110203742981,224.16983653245939,676.7276743913857,0.9361095428466797,553.381320224719,900.7041003433208,0.9754990339279175,128.3496459503745,885.3838951310861,0.834138035774231,377.9888420724094,1206.783122659176,0.8640860915184021,363.5902387640449,1225.9107755930086
1,0.9437966977848726,0.9999295473098755,343.55083489388267,253.515649383583,0.9999591708183289,374.4226942883895,218.66868075062422,0.9998074769973755,309.5655820848939,223.05601884363296,0.9995442032814026,431.79321746254675,235.53214731585516,0.9998648166656494,268.3430379993757,243.28139630149812,0.9791603684425354,495.1315250468165,433.7804794787765,0.9289916753768921,195.87683364544318,428.68582240948814,0.9901225566864014,472.403489778402,674.7456304619226,0.9988593459129333,185.88029611423218,652.2847904962547,0.9907197952270508,377.21729673845186,807.5014630149813,0.9929095506668091,287.20593398876406,752.6513732833957,0.801697850227356,420.66342852684136,699.5644604400749,0.8282167911529541,211.94288389513105,686.5204139357053,0.842815637588501,544.6218593945068,915.0343320848938,0.9654548168182373,139.7768414481897,900.4100343320848,0.8338853120803833,359.3832416510611,1216.0266463795256,0.8926049470901489,359.41903675093624,1251.3184691011236
2,0.9452821927912095,0.9999286532402039,344.15374336766536,253.76445946473157,0.9999694228172302,374.73456031523096,219.3534205290262,0.99983149766922,310.4694327403246,223.2547206616729,0.9995236396789551,432.90910775593,235.82506729868913,0.9998753070831299,268.71259558364545,243.0745991338951,0.9766517877578735,495.7579392946317,434.5557798845193,0.9342379570007324,198.62374180711606,427.70950374531833,0.9919416904449463,473.27486150124844,677.9026704900125,0.9994065165519714,191.6425756866417,648.755852059925,0.996936559677124,374.00680789637954,801.6726650280898,0.9971567392349243,293.48095154494376,736.9528323970037,0.8318357467651367,426.25760767790257,698.1620630461922,0.8260800838470459,239.63624570848935,731.9965277777777,0.8455168604850769,545.4702130149813,915.7105376092384,0.9561387896537781,130.0049742509363,903.15260221598,0.8269404172897339,357.95382724719093,1213.0198579900125,0.887825608253479,357.86146223470655,1248.6564645755304
3,0.9411446732633254,0.9999275803565979,344.0879076935081,253.95294456148562,0.9999690651893616,374.48843242821465,219.43708060237202,0.9998400807380676,310.5748673533084,222.9625565699126,0.9994996786117554,433.54317844881393,236.00594471754056,0.9998849034309387,268.89825218476904,242.84488139825217,0.9776533842086792,494.8316069756554,434.5884051186017,0.9282370805740356,195.62558520599248,428.71137640449433,0.9923868179321289,473.27115519662914,679.3091155586766,0.9995843768119812,200.96115207553055,656.4830095193507,0.9982854127883911,380.3353718008739,802.9445614856429,0.982815146446228,291.4710127965043,712.2761587078651,0.8268787860870361,440.1499102684145,697.2641132178527,0.7768193483352661,239.25659332084888,727.5483770287141,0.8231619596481323,544.7881554307115,913.9331694756554,0.9516682624816895,135.9357931491885,897.362183988764,0.8642528057098389,360.0418909956304,1213.5356195380773,0.8785947561264038,359.2827325218476,1249.7749882958801
4,0.9457836361492381,0.9999352693557739,343.9621859394507,253.20873322409486,0.9999719858169556,374.5183267009987,218.8972768414482,0.999847412109375,310.4992782459425,221.72421192259674,0.9995766878128052,432.38466565230954,235.95561700218477,0.9998842477798462,268.9976396691635,242.45484160424468,0.9785979986190796,496.67461571473154,434.32447721598,0.943250298500061,208.5338151529338,426.8238920099875,0.9902219176292419,473.1896652621722,676.5085147471909,0.9998072385787964,194.67603971597998,654.6116182896379,0.9996055364608765,365.7630598470661,805.4438787453183,0.9959794282913208,292.0303234238452,689.4088444132334,0.7764573693275452,443.8670899656679,701.3707962702871,0.8896510601043701,243.59423767166038,722.3401899968788,0.8163076639175415,545.1753667290886,914.7521652621722,0.9612998962402344,136.69270833333331,897.212858926342,0.8354583978652954,358.2076603464419,1212.7730961298375,0.8924694061279297,356.9894565387016,1247.451915574282
5,0.9481160009608549,0.9999337196350098,342.7224270443196,252.54647510923843,0.9999583959579468,373.47934222846436,218.43667095817727,0.999830961227417,309.1507685705368,221.0933110955056,0.9995895624160767,431.00201896067415,235.7481614778402,0.9998660087585449,268.19400553995,242.428775553995,0.9810775518417358,497.16726162609234,433.71088873283395,0.9504289627075195,204.27341799313353,424.72461181335825,0.9918577075004578,471.8432525749063,678.7372230024969,0.9995462894439697,188.0805731117353,651.384499843945,0.9980731010437012,364.9074399188514,805.5701857053682,0.9882513284683228,275.0902680243445,669.2327461766541,0.8228145837783813,448.57424313358297,705.7358477684145,0.918270468711853,246.92688826466917,695.9552512484394,0.8269355893135071,541.4527738764044,917.7803136704119,0.9557235240936279,132.36618289637948,901.4181491885143,0.8012539148330688,330.6758153870162,1214.123263888889,0.8845603466033936,354.4399578651685,1247.757490636704
6,0.9381322089363547,0.9999265670776367,341.1069171348314,252.44642926810235,0.9999421834945679,372.15111969413226,217.98984179931335,0.9997923374176025,307.6672713795256,220.82670099875153,0.9996092915534973,430.0054131554307,234.977030664794,0.9998661279678345,267.1987652153558,241.9865548923221,0.9819352626800537,496.5594764357053,432.38081304619226,0.9719606637954712,202.85390332397003,423.30812070848935,0.9924584627151489,469.1660326935081,674.2767341604244,0.9988409876823425,200.4077422752809,656.5243153089888,0.9953194260597229,359.1717384519351,812.4418207709114,0.9958679676055908,287.5695907459425,629.130286360799,0.7870082259178162,450.5086415418227,693.7986696317104,0.8231216669082642,253.4488627496878,702.1880364388264,0.8242159485816956,541.5516736891385,919.3849485018726,0.9174983501434326,132.48897862047437,903.8885962858926,0.8007920980453491,368.21282966604235,1197.1259558364543,0.8600919842720032,355.4271516073658,1246.0843867041199
7,0.9377561667386223,0.9999022483825684,340.18794865792756,252.28683871722845,0.9999396800994873,387.96158122659176,220.0729800639825,0.999754011631012,321.20606078339574,219.88973743757802,0.9996500015258789,429.14691596441946,235.20018921660423,0.9998486042022705,266.1158415262172,241.97824009051183,0.9755404591560364,496.9992099719101,431.71699438202245,0.9830962419509888,201.798094179151,420.17346480961294,0.9930719137191772,470.47294397627957,675.8380637484394,0.9947562217712402,200.16697877652933,659.699106585518,0.9904546737670898,356.8212098158551,812.042759051186,0.984892725944519,293.9299508426966,590.3040632802746,0.7804499864578247,438.4807077091135,703.8278811641698,0.7991746664047241,255.79246644818977,703.7560958957553,0.8433924913406372,542.2857170724094,917.1800873907615,0.9215340614318848,138.8808910736579,899.9384558364544,0.8032107353210449,354.5192045099875,1213.817883895131,0.8731861114501953,354.3173572097378,1247.1930594569287
8,0.9443425360847922,0.9998814463615417,338.50372581148565,252.13509968008736,0.9999492168426514,386.2191791510611,219.37485369850185,0.9997900724411011,319.229088639201,219.68196492665416,0.9996641874313354,427.70901607365784,235.3886986969413,0.9998372793197632,264.9572311953807,242.25453046972532,0.973811149597168,491.9948209269662,431.20347612359546,0.9871228933334351,205.34551537141073,417.05553604868913,0.995110809803009,469.3139435081148,674.1123400436953,0.9980871677398682,201.16099992197252,669.411867977528,0.9933527708053589,355.2195985486891,811.1556843008739,0.9958340525627136,297.7510533707865,549.1166803214732,0.7537338733673096,432.7142829275905,708.5755598470661,0.9028373956680298,263.0456558208489,706.5885904338327,0.8366131782531738,541.4837897940074,917.9972300249688,0.9388507604598999,134.4783376248439,905.661867977528,0.7894904017448425,361.9364466292135,1202.1135689762796,0.8898564577102661,349.1380403401997,1237.9293461298375
9,0.9402414349948659,0.9998278617858887,337.0098412141074,252.99618153089887,0.999961793422699,384.2563007178527,219.04548025905117,0.9998250007629395,317.30332201935073,220.31128082084894,0.9996863603591919,426.47369499063666,236.13751853152309,0.9997940063476562,264.0000292602996,242.483931218789,0.9772197604179382,496.9666822721598,431.89596988139823,0.9810070991516113,209.39455563358297,417.2870337858926,0.9918395280838013,467.9808930243445,674.6709191635455,0.9981015920639038,183.33489388264667,669.9423084425717,0.9892539978027344,356.17694678526834,808.4809515449438,0.9976471662521362,302.37281523096124,515.5531659644195,0.7952324151992798,427.4752262796504,705.4647510923845,0.7905206680297852,268.4376950686641,704.4273759363296,0.8362804651260376,541.1225226279649,918.5912141073658,0.9323313236236572,134.4329353932584,904.9643999687889,0.7753309011459351,354.4892127028713,1215.2511509051185,0.9202444553375244,349.48077598314603,1241.7265527465668
