Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.766538101084092,0.999759316444397,174.004398798377,155.81466770053058,0.999962329864502,194.6084533005618,140.68870211064294,0.9998166561126709,161.2207201935081,134.83255793539325,0.9799777269363403,214.09864134675405,155.75376970193508,0.9961577653884888,143.77926517634205,144.6693586142322,0.9668976068496704,240.96683832709112,234.8660365948814,0.9616851806640625,94.62774071473157,235.03055262952557,0.996306300163269,264.7795529026217,345.3543422284644,0.9970114231109619,88.98374590355803,370.13540203651684,0.9955180287361145,227.07799820536826,360.3438816713483,0.9958001375198364,132.25280411204744,259.13689431179773,0.4648495018482208,195.4920899656679,398.061846519975,0.5342063903808594,133.72764513108615,394.40091974875156,0.5299237370491028,187.71084971910108,412.62006476279646,0.5275283455848694,135.83699574750312,376.2111813358302,0.05644148588180542,210.94091857833956,667.8046484862672,0.02930578589439392,210.48116612047437,666.5714243913857
1,0.7506184648065006,0.9998582601547241,171.09073131242195,161.05515078807738,0.9999840259552002,192.3344403480025,146.50399159254056,0.9999582767486572,159.50538389513105,140.0122161750936,0.9877743124961853,210.83116807116102,164.92928760923843,0.9961891770362854,140.7999570848939,151.399946843789,0.968662679195404,247.9518814372659,240.62256164169787,0.9659039974212646,89.55466311641698,242.85419592696627,0.9967966675758362,262.53792134831457,348.85187460986265,0.9979325532913208,87.45711415418225,374.46692610799,0.9874991178512573,225.66382354088637,364.56168071161045,0.9944230914115906,134.08069502965043,266.254608497191,0.4834870994091034,204.5818508114856,398.04967911204744,0.3931733965873718,138.17950218476904,396.87334191635455,0.4892440438270569,188.2055682350187,405.1504467072409,0.44616422057151794,140.48553078183517,377.0091097066167,0.03097975254058838,214.0689665262172,653.534156523096,0.022483229637145996,216.60566381866414,669.6246391229713
2,0.7607718898969538,0.9998573660850525,171.6924937578027,161.38758436719723,0.9999872446060181,192.33629350031208,146.74996098626715,0.9999597668647766,159.98496020599248,140.49624248985643,0.9879205226898193,210.84955329275903,165.39841555477528,0.9955739974975586,141.44436641697877,151.58562782849563,0.9712963104248047,246.67132880774028,241.18218925561797,0.9621529579162598,90.0455046426342,242.83442084113608,0.9968057870864868,263.0939889591136,349.2794407381398,0.9982352256774902,86.78624863451932,374.929970349563,0.985820472240448,227.76371332709112,363.3190445536829,0.9943275451660156,133.28084035580525,266.6077803136704,0.49570152163505554,204.0164442883895,398.13982521847686,0.35913026332855225,129.96562402465668,413.67816596441946,0.6083972454071045,188.04975713951308,405.691689099563,0.5205742120742798,143.26308910736577,374.9923923220974,0.03712621331214905,221.72770365168537,653.4935822409487,0.020255476236343384,219.68360350343318,668.1871781367041
3,0.7565031858051524,0.9998774528503418,172.14237086454432,161.85899217774656,0.9999861717224121,192.28750195068665,147.0850158005618,0.9999581575393677,160.3173572097378,140.90966613998125,0.9880681037902832,211.87510241104866,164.8863725031211,0.9948697090148926,142.14024949282145,151.09554219335206,0.9773553609848022,243.55330251248438,242.7870191557428,0.9609048366546631,91.68817786360799,243.00720291042447,0.9965630769729614,263.3133436719725,349.1403323970037,0.998346745967865,86.87037199594255,374.92816596441946,0.9897933006286621,226.78946726747813,363.53937460986265,0.9942464828491211,131.86854322721598,267.69499551342074,0.6132195591926575,187.36284722222223,398.93482755930086,0.2985299825668335,140.44871157147315,402.2514337546816,0.42727184295654297,141.7575979244694,380.2248166354557,0.5133675932884216,141.94715589887636,373.5929697253433,0.06852778792381287,234.10105532147315,665.2454939138577,0.039667993783950806,238.20332494538076,665.1007041978776
4,0.7576999138383305,0.9998714923858643,172.38549957084894,162.17952656835206,0.999987006187439,192.33010007022472,147.59498624765916,0.9999525547027588,160.54410014825214,141.47821814528714,0.9858347177505493,212.11011138420724,164.87632646691634,0.9953820705413818,141.87873556491883,151.57149754213484,0.9755762815475464,246.8533034878277,242.28210830212234,0.9628555774688721,90.89712566323345,243.6451262094257,0.9969411492347717,263.46205914481897,349.3471051810237,0.998397171497345,87.04303214731584,375.1706850811485,0.9932658672332764,225.54061329588012,363.5419592696629,0.9945017099380493,131.64792056803992,267.82154630930086,0.6281779408454895,186.5922528480025,400.858253355181,0.253779798746109,137.6454529494382,405.28662901841443,0.44542115926742554,141.73055653089887,378.98593554931335,0.5680586695671082,144.58172889357053,374.0369703885768,0.04778093099594116,219.55261489544318,649.060305477528,0.035114437341690063,140.28270813826464,647.752711454432
5,0.7349244496401619,0.9998902082443237,172.75186290574283,162.35772179307116,0.9999879598617554,192.8492997034956,148.27595876248438,0.9999572038650513,161.018385221598,142.22912277621722,0.9830665588378906,212.8320848938826,165.22087868679773,0.9952043294906616,134.39607229244695,150.6414345349563,0.975711464881897,246.46857931491883,243.065284605181,0.9653117060661316,90.45012581928839,243.9033971207865,0.996600866317749,263.4397237827715,350.3638518258427,0.9983574151992798,86.89319502965043,375.35356195380774,0.9953409433364868,224.35601006554305,363.37566323345817,0.9939357042312622,132.54094491260923,267.5705660892634,0.6262199282646179,185.93067747347067,404.93572487515604,0.251459002494812,129.17452305711606,414.26605415106116,0.29893821477890015,142.11035522003743,383.6341048299001,0.30705052614212036,135.17710284019972,637.7301322565543,0.038647621870040894,242.0735603932584,667.2113471441947,0.06803598999977112,140.46439021535576,639.5562675561797
6,0.7308370085323558,0.9999136924743652,173.07279962546812,162.65356780586765,0.999987006187439,193.29632393102372,148.87798942727838,0.9999539852142334,161.25524734706613,142.95192532771534,0.9813797473907471,213.46479010611733,165.09821707240948,0.9963254928588867,134.75348685237202,151.02732911985018,0.9815305471420288,245.58228483926342,242.82454549001247,0.962247908115387,91.21411224250934,244.09568605649187,0.9965400695800781,263.67278206928836,349.92662979868913,0.9980243444442749,86.66589126872657,375.4923045411985,0.9951612949371338,225.21226396691634,364.18997737203495,0.9938013553619385,132.34948501872657,267.61196941323345,0.556891679763794,210.84138479244695,406.2179843554931,0.30204927921295166,130.23711083801498,410.4468047752809,0.33015167713165283,143.05392673220973,384.43308169475654,0.22935715317726135,143.90171953027465,373.6145735799001,0.043604910373687744,240.57952949438197,670.7178039169787,0.05730900168418884,149.5855083489388,664.4442006086142
7,0.7439555823802948,0.999926745891571,173.20366631554305,163.1734989466292,0.9999867677688599,193.38888401217224,149.138905957397,0.9999435544013977,161.17287960362046,143.28244479556804,0.9800719022750854,213.82959289169787,164.93718789013732,0.9968822598457336,134.6901383036829,151.26393521769663,0.983415961265564,244.291588639201,242.34299410892632,0.9556055068969727,91.9817562031835,244.27041881242195,0.9949865937232971,264.31694756554305,349.9725440855181,0.9981200695037842,87.30235155274656,375.41722748907614,0.9956445097923279,224.75138986423218,364.457757880774,0.9940594434738159,132.65862008426967,267.50012191791507,0.5516469478607178,202.31739622347067,403.6777758270911,0.3913474977016449,136.76657108302123,450.28397120786514,0.3351725935935974,144.19656581616726,383.4577383739076,0.373882919549942,133.80023505774028,639.9224114388264,0.05838242173194885,240.696741377965,668.1068586142321,0.03816920518875122,136.92150436953807,648.7016717384519
8,0.7460328778799843,0.99992436170578,173.7445185705368,163.8387318586142,0.9999874830245972,194.01303058676655,149.78559515449436,0.9999376535415649,161.49786399812734,143.61873098080522,0.9707556962966919,213.9212995474407,166.13173962234706,0.9962958097457886,135.31055419007487,151.33069746800874,0.9845331907272339,244.0138352450062,242.99908317727838,0.960479736328125,90.95342735642944,244.8872990792759,0.9966424703598022,264.1366309691011,350.5552873361423,0.998082160949707,87.0223061017478,375.4167642009987,0.9911787509918213,226.19172811329588,365.3404192025593,0.995745062828064,133.01320614856428,267.5870981585518,0.5732465386390686,200.9532566713483,405.4827949438202,0.45652222633361816,137.32327266697877,449.67165067103616,0.29310572147369385,144.2213151529338,389.3160892634207,0.27338090538978577,141.78520014044943,383.6461503199126,0.11177781224250793,237.67207982209737,662.4123654026217,0.08096334338188171,136.93835342540575,639.5295431491885
9,0.7450228456188651,0.9999233484268188,174.20551459113608,164.07037589731584,0.9999860525131226,194.48068332553055,150.03100372581147,0.9999284148216248,161.95415398720348,143.8799279221286,0.9680625200271606,214.5467628355181,166.11392741495004,0.9969866275787354,135.22306589419475,151.91197770365167,0.983056902885437,243.86463210049936,243.11649012952557,0.9706017374992371,92.43195029650437,245.5478015761548,0.9956891536712646,264.38841584737827,350.25788077403246,0.9980436563491821,86.73575023408239,375.3640468945068,0.9934183955192566,226.41537433676655,365.2735838014981,0.995611310005188,132.6099504525593,267.53462468789013,0.5586916208267212,201.26085557116102,402.47273915418225,0.49754324555397034,131.90450901217224,413.7881359238452,0.30228191614151,149.55997873751556,413.8900593008739,0.2445199191570282,142.03954529494382,383.9691352606117,0.10103324055671692,236.76335245006243,663.055019116729,0.060010313987731934,239.47085674157302,663.7906230493134
