Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7429073908749748,0.999785304069519,213.11054358321627,211.97391810042134,0.999991774559021,227.8027892380618,196.3312110472261,0.9999415278434753,193.84430960323033,200.97237919153793,0.9997068047523499,256.9286012113764,205.0777135270365,0.9989099502563477,166.95098534058985,216.86613961551964,0.9768545627593994,305.390625,319.6513726738062,0.9723110198974609,123.78486547577248,323.3743526158708,0.994733452796936,319.9846383426966,454.7656798630618,0.9786226153373718,110.90998617450842,457.5769454441713,0.9863101840019226,330.69119228405896,577.2484528616573,0.9956146478652954,104.23813037658005,595.4146550210673,0.7337034940719604,281.7084631759129,568.617615431882,0.675273060798645,162.975799903441,593.0977330582865,0.11499983072280884,264.3189299508427,734.9348226825842,0.15545588731765747,264.8853087693118,735.3115673279494,0.036726802587509155,285.7417211639747,730.155427054073,0.0104847252368927,277.64780108848316,731.7298872015449
1,0.7395160075496224,0.9997876882553101,213.19711749473316,211.92576204792837,0.9999920129776001,227.81856236832863,196.43076007285813,0.9999418258666992,193.79015976123594,201.09652058462078,0.9997039437294006,256.8273788623595,204.75004389044943,0.9988136291503906,167.0117461815309,217.08815671084972,0.980255663394928,305.5738676264045,319.4017457426264,0.9693589210510254,123.76412723841293,323.2829507549157,0.9929269552230835,319.3702269136236,453.27823253160113,0.9699879884719849,110.72556399227528,457.8851112622893,0.9686082601547241,331.03180960323033,577.5817459620787,0.9962341785430908,104.62660200140448,595.6549552317416,0.734739363193512,275.0976013869382,578.0058374297753,0.6609511971473694,161.92808001228934,571.5188838658707,0.11140447854995728,263.44103866748594,735.3381759129213,0.12890875339508057,163.41673433110952,725.6291147296348,0.049254149198532104,326.8041169241573,533.8439804248595,0.010903120040893555,278.59937346383424,735.8472502633426
2,0.745398998260498,0.9997847080230713,213.06528155723316,211.98113259304776,0.9999924302101135,227.5175013167135,196.25870951106037,0.9999431371688843,193.6719024315309,200.9959565923455,0.9997056722640991,256.53413579705057,204.34167068995785,0.9988181591033936,167.0283971207865,217.33702927492976,0.9809142351150513,305.677887991573,319.1845428809691,0.9714496731758118,123.08958589360955,323.4049662043539,0.9944593906402588,318.6444983321629,452.4626931179775,0.9866493344306946,110.72375351123594,457.66426000702245,0.9746382236480713,330.9818293539326,580.1866989992977,0.9967286586761475,106.57221076193821,596.5841160463483,0.7014605402946472,281.06793692942415,581.044098929073,0.7034156918525696,163.92312039150278,595.5648700842696,0.1174214780330658,263.8841401860955,736.1015954178371,0.18444764614105225,267.3823735955056,737.036407127809,0.052859872579574585,324.9442865607444,532.0943973841293,0.00909411907196045,278.2475092169944,736.555971295646
3,0.7473116902744069,0.9997938871383667,212.9227747542135,212.0904609594452,0.999992311000824,227.46115695224717,196.35281337780899,0.9999487400054932,193.43618328651684,201.18546732356037,0.9996858835220337,256.35849170470505,204.61321541432585,0.9988671541213989,167.1013375614466,217.1604525105337,0.9826194047927856,306.2206482619382,318.8795042573736,0.9739689826965332,123.10053107443821,323.5794581724017,0.9945000410079956,318.4026619557584,452.2506748156601,0.9918102025985718,110.45824372366573,456.66407895891854,0.9797909259796143,331.43250197507024,580.2858914150281,0.995262622833252,108.36342115080757,596.282533795646,0.7501561641693115,277.39581504564603,588.4036494908707,0.7434272170066833,161.3274392117275,582.4134809515449,0.08061271905899048,262.24143038974717,736.1166278967696,0.13841098546981812,265.84129762113764,736.0924332865168,0.06745964288711548,324.6875274315309,531.8927756320224,0.00799185037612915,326.87395760182585,589.8121488764044
4,0.7471339720136979,0.9997912049293518,212.73220790905896,212.23502512728228,0.9999924302101135,227.29031337780896,196.28793780723313,0.9999514818191528,193.28945202773878,201.18399973665728,0.9996985197067261,256.29487798455057,204.51173246576545,0.9987964034080505,167.17710344978934,217.1676395716292,0.9824509620666504,306.1615881759129,319.0381408005618,0.9740136861801147,122.9126250877809,323.6931070049157,0.9951978921890259,318.4764253423455,452.3552163799157,0.9937319755554199,111.19722173455057,455.6813169329354,0.9862830638885498,331.27800759304773,580.0848731566011,0.9928962588310242,109.4077669636587,597.0827664150281,0.714032769203186,282.32002172577245,566.4370281776685,0.7256092429161072,161.42043210147472,581.869842872191,0.11136999726295471,263.24973117099717,735.2322902036517,0.14617741107940674,265.69165862008424,735.7713197858146,0.0669543445110321,324.8898898349719,530.1679906952247,0.014329880475997925,326.04632088307585,592.2840041257023
5,0.7496100155746236,0.9998078346252441,212.94271747717698,212.37957557935394,0.9999915361404419,227.5540401158708,196.47587122542134,0.9999520778656006,193.54066998771066,201.28996774051967,0.9996916651725769,256.65557518433985,204.7823856653792,0.9988762140274048,167.28526597612358,217.13553096471207,0.9808981418609619,305.66302010182585,319.7112008426966,0.9778249263763428,123.11367077773875,323.66531886411514,0.9955373406410217,319.06159475948033,451.63469978932585,0.9944065809249878,109.48623485779493,457.0670207162921,0.9858177900314331,330.90411582689603,578.5366375526685,0.9846233129501343,107.1592866704705,596.4150280898876,0.7199586629867554,282.17222063728934,566.3086486130618,0.7522046566009521,165.00427931882024,589.9285134304776,0.11260953545570374,263.61388474367976,734.4178480512641,0.173955500125885,265.8626942152388,734.8970768960673,0.05444398522377014,326.70563772823033,533.2549705933989,0.012770503759384155,277.05832492099717,734.0805499473314
6,0.7540493905544281,0.9997972846031189,213.00073516502806,212.52529187148875,0.9999917149543762,227.5190923455056,196.80613314167837,0.9999498724937439,193.41643258426967,201.46263551176264,0.9996211528778076,256.6882187061095,204.87303315923455,0.9988467693328857,166.97249166081463,217.2374939650632,0.980027973651886,305.5659124824438,319.5036538799157,0.978156328201294,123.2594693644663,324.4328805301966,0.9957531094551086,319.25164040554773,451.1907204617275,0.9961838722229004,106.99811271067415,454.7347370962079,0.9586805105209351,330.82349455758424,578.6348424332865,0.9961204528808594,114.68308352352528,595.061007724719,0.7533290386199951,281.8595560481039,567.9349543539325,0.8048328161239624,161.61563487535113,572.7819961376405,0.14509180188179016,263.0501393521769,735.4933835147472,0.14343291521072388,266.2028451983848,735.9847370962078,0.059500157833099365,325.14025741748594,532.7703651685393,0.009523868560791016,281.1450469627809,717.6656315835673
7,0.7536414318224963,0.9998056292533875,212.8385599543539,212.5537658005618,0.9999921321868896,227.37334862183985,197.00045810656601,0.9999470710754395,193.21958391853934,201.49822792310394,0.9996060132980347,256.64888189080057,204.84564277563203,0.9987447261810303,166.3915192679073,216.78137618504212,0.9813524484634399,305.6413491924157,319.74968728054773,0.979507327079773,124.73646528265448,325.3516722261236,0.996345043182373,319.51361152563203,451.45606566011236,0.9966546297073364,103.75503368591993,451.4178261060393,0.9652354717254639,323.310546875,579.3809252106741,0.9924215078353882,122.66936227176964,591.0130464360955,0.7641482353210449,275.0064738412921,573.8462298103932,0.8183490037918091,160.2002776070927,589.3053787745787,0.14266332983970642,263.10382285814603,736.638979108146,0.1300496757030487,266.60466226299155,737.4420646067415,0.03998208045959473,326.80696980337075,533.4226321102528,0.007100015878677368,278.3419285463483,718.9922752808989
8,0.758614182472229,0.999793529510498,212.78224302141854,213.26789084445224,0.9999916553497314,227.62961398349717,197.75921425122894,0.9999309182167053,192.98850070224717,201.90177317415728,0.999597430229187,256.77311929424155,205.2022801088483,0.9985918998718262,166.25219452247188,216.8764675869031,0.9770728945732117,305.45550057057585,320.82909058988764,0.9736043214797974,125.9446596295646,326.3708358936095,0.9980928897857666,321.7769597085674,450.5079770891854,0.9974325895309448,103.48934559339887,448.3223698648174,0.9823960065841675,332.5789753774579,583.0975136060393,0.989242672920227,129.0504849894663,583.0963614817416,0.7517070174217224,275.88000351123594,572.8321409761236,0.839220404624939,170.6473566976826,567.8885950667135,0.18731015920639038,268.35506824964887,732.552887991573,0.16250914335250854,162.56580824262642,721.9299179248595,0.029601961374282837,327.3995731653792,532.1612205933989,0.010345607995986938,275.14706043714887,736.6162109375
9,0.7510865856619442,0.9997885227203369,212.42694983321627,213.75939529933285,0.9999909400939941,227.63320751404495,198.02597217345505,0.9999194741249084,192.68941472085675,202.3860357048806,0.999584436416626,256.97043429599717,206.0801302449087,0.9985889196395874,166.19971800386236,217.09899216555476,0.9738741517066956,306.1052438114466,320.97258492801967,0.9684523344039917,127.57488807935391,326.7973961990871,0.9979466795921326,321.1467477176966,451.2159026070927,0.9969480633735657,100.37117604459269,447.9093607356039,0.9795336723327637,332.81848007373594,582.539336815309,0.9887638092041016,130.26611328125,571.6083655196629,0.7505755424499512,273.2470703125,579.1987798455056,0.7245824933052063,172.75536012113764,569.8079792837078,0.13108021020889282,268.4962583391854,733.3859287219101,0.20114797353744507,162.22765976123594,732.3380991046348,0.03844565153121948,326.56609353054773,530.5243811446629,0.0192490816116333,151.57347261235952,720.9139637464888
10,0.7436138391494751,0.9997762441635132,212.02123749122188,214.36759348665728,0.9999909400939941,227.36196453651684,198.3667266502809,0.9999141693115234,192.4703190835674,202.69521648964184,0.9996283650398254,256.65955275632024,206.61500395014045,0.9982703924179077,166.02558264571627,217.5551785244031,0.9742075204849243,306.66841314080057,320.89421304424155,0.9683366417884827,127.40826896067415,326.0733409410112,0.9976568222045898,321.0059965326545,451.5466171436095,0.996848464012146,98.80179073033707,445.53299464536514,0.9800947308540344,332.52581307057585,582.5415862008426,0.9942967891693115,139.6484100684691,560.0136060393259,0.7705479264259338,280.5815484550562,573.5018543714888,0.630551815032959,170.8907841028792,574.9580297577247,0.13471519947052002,267.7319884568118,735.4092784410112,0.14548766613006592,157.12536758251406,737.7903353230337,0.03840667009353638,324.78372981039325,531.2773218047753,0.012704908847808838,276.6496774051966,714.6766919768259
11,0.7608568195034476,0.9997867345809937,211.9286286429073,214.69164216116573,0.9999909400939941,227.28213878160113,198.66913184691012,0.9999175667762756,192.5138803546348,202.92125230424858,0.9996111392974854,256.3823571365871,206.7232487710674,0.9981898069381714,174.97857597436797,218.6092350991924,0.9777649641036987,306.9434965326545,320.9099038799157,0.9670031070709229,128.04051088483146,326.36990322155896,0.9960389137268066,321.41382110252806,451.11635358146066,0.9972519874572754,97.99346580933988,442.84489663799155,0.9850261211395264,332.8043802668539,582.4599499648876,0.9670302867889404,145.19863171523878,541.687807233146,0.813988447189331,280.9520661429073,578.251130179073,0.8412904739379883,163.29118021418537,608.9936468574438,0.1576402485370636,267.61310020189603,735.3642358672753,0.16981327533721924,164.56592345505618,723.7512618504213,0.045589834451675415,325.4354206899579,530.4754981566011,0.018632084131240845,153.59375,726.7663711376405
12,0.7631524801254272,0.9998177886009216,211.2454737974017,215.21691483058285,0.999991774559021,227.03023503335675,199.02751108233846,0.9999184012413025,191.98988325140448,203.09479788448033,0.9995670318603516,256.0161461990871,207.21276443995785,0.9981716871261597,174.5032424069522,218.9125455363413,0.9755785465240479,307.02691581811797,320.8219035287921,0.975217342376709,127.83504871839887,325.67402014571627,0.9949085712432861,321.39058659585675,452.3772164676966,0.998150110244751,97.35063531425561,442.4223687675562,0.990674614906311,333.2898909322331,581.2492319171348,0.9870741367340088,150.78267643960675,519.300934866573,0.7245499491691589,276.26610230863764,584.8021637991573,0.8460887670516968,164.33190506495788,587.6983299683989,0.20255616307258606,267.36352813377806,733.229953037219,0.14923691749572754,166.12888979108146,726.795229108146,0.11462467908859253,325.5999001492275,530.6642270891854,0.017465680837631226,281.1423861042837,717.880585059691
