Frames#,score_overall,nose_score,nose_x,nose_y,leftEye_score,leftEye_x,leftEye_y,rightEye_score,rightEye_x,rightEye_y,leftEar_score,leftEar_x,leftEar_y,rightEar_score,rightEar_x,rightEar_y,leftShoulder_score,leftShoulder_x,leftShoulder_y,rightShoulder_score,rightShoulder_x,rightShoulder_y,leftElbow_score,leftElbow_x,leftElbow_y,rightElbow_score,rightElbow_x,rightElbow_y,leftWrist_score,leftWrist_x,leftWrist_y,rightWrist_score,rightWrist_x,rightWrist_y,leftHip_score,leftHip_x,leftHip_y,rightHip_score,rightHip_x,rightHip_y,leftKnee_score,leftKnee_x,leftKnee_y,rightKnee_score,rightKnee_x,rightKnee_y,leftAnkle_score,leftAnkle_x,leftAnkle_y,rightAnkle_score,rightAnkle_x,rightAnkle_y
0,0.7256646804949817,0.9999428987503052,517.8105249297753,455.6481887874532,0.999947726726532,577.9806735720974,389.2820619733146,0.9999145269393921,467.7087722378277,405.44618299391385,0.9944959282875061,661.899066596442,422.0250321863296,0.9909855127334595,380.3659000468165,443.46683345037457,0.9437828063964844,879.3553955992509,799.9836142322098,0.9473869204521179,228.6151831694757,794.5981829353933,0.9927739500999451,929.4842872191011,1207.171333684457,0.927132248878479,104.35923601357683,1189.6199087078653,0.9858605265617371,992.2005208333335,1651.735867275281,0.9989100098609924,379.09849016853934,959.7746225421349,0.5186085104942322,265.60590765449444,1764.2781484082398,0.5102717876434326,349.9164618445693,1751.6131203183522,0.4673418402671814,1001.0501521535582,1551.2826252340824,0.016164541244506836,1132.7209152621724,1897.5296992041199,0.033196479082107544,999.5804073033707,1689.7305126404494,0.009583353996276855,282.13900105337086,1961.8820224719102
1,0.7297495445784401,0.9999457597732544,517.3449935627341,455.6525412570225,0.9999403953552246,577.2768170646068,390.00179219335206,0.9999123811721802,466.84339887640454,406.1762274695693,0.9953538179397583,664.6147150046818,423.25370874297755,0.9880058169364929,379.3077013108615,441.90191947565546,0.9486039280891418,880.9335498595506,801.0599543539327,0.9519612193107605,223.96206402153564,794.3594920411986,0.9921287298202515,930.6315835674159,1208.6631700608614,0.9202696681022644,113.32594510767797,1202.434676381086,0.9866839647293091,990.7022471910113,1649.573823735955,0.9983305335044861,380.50576427902627,956.194844335206,0.5416908264160156,267.5877808988764,1769.167105571161,0.48810794949531555,357.5953885767791,1767.7482736423221,0.5379109978675842,996.7592755149813,1541.5617684925094,0.015415608882904053,1132.4686914794008,1896.3361715823971,0.03467443585395813,998.4010709269664,1689.7569932116105,0.006806224584579468,1123.1040788857679,1902.3967111423221
2,0.733769995324752,0.9999456405639648,518.247820107678,455.62584123361427,0.9999433755874634,578.4161399812734,389.92648349719104,0.9999173879623413,469.9310919943821,406.2975845622659,0.995879054069519,673.3203125,424.46921816479403,0.992978572845459,383.6437119616105,442.32769341058054,0.94678795337677,880.5329763576779,801.1365431882023,0.9476929903030396,225.52471032303367,793.1282917837079,0.9932647943496704,935.4254447565543,1203.7423191713483,0.9259961843490601,105.59606887874531,1186.5248273642324,0.9860788583755493,992.3213658707866,1647.9068644662923,0.9984654784202576,383.28776041666674,952.5024139747192,0.577364981174469,272.293202832397,1763.6949906367042,0.5434233546257019,366.3104956694757,1769.0838600187267,0.5122305154800415,1003.3233848314608,1556.0710732677903,0.014290779829025269,1131.438582631086,1895.2854342228466,0.03280159831047058,998.173133192884,1691.0816069756554,0.007028400897979736,1123.0843281835207,1902.1417076310863
3,0.7346366959459641,0.9999444484710693,520.8390390917604,456.23675971441946,0.999955415725708,580.8207514044944,389.5085001170412,0.9999210834503174,473.57758368445695,406.988127633427,0.9964159727096558,678.3029757724719,420.44976738061797,0.9928469657897949,385.73267790262173,442.1732721793071,0.9524141550064087,882.5772471910113,799.5664355102997,0.9523915648460388,226.67559105805242,794.6039618445693,0.9933212995529175,935.0133134363296,1202.0352001404494,0.9475098848342896,109.4507476006554,1191.6363822565543,0.9890487790107727,993.2287277621724,1648.8333918539327,0.9986957311630249,385.42727352528095,951.5964419475656,0.5645346641540527,275.5715999531835,1767.9817708333335,0.527447521686554,366.8151626872659,1775.3620962078653,0.5236720442771912,1006.7165554775281,1556.7219686329588,0.016945570707321167,1132.0237886235955,1897.6650280898878,0.0266132652759552,998.3876111891386,1688.338600187266,0.0071454644203186035,1122.0423689138577,1902.9988881086142
4,0.7329169652041267,0.9999213814735413,525.6706460674158,457.837188377809,0.999962329864502,584.2333801498128,389.74752018960675,0.9999018907546997,477.4468925561798,407.51360603932585,0.9945266842842102,680.9347202715355,422.2000453534644,0.9943243265151978,388.9047138342697,441.680857911985,0.9563075304031372,881.9089419475656,797.2879359784645,0.9466579556465149,228.9908122659176,793.822419241573,0.9949427843093872,939.3599309456929,1201.5652797284645,0.954377293586731,112.333984375,1192.5408912687267,0.9927197098731995,991.9872132490636,1645.316011235955,0.9986385703086853,387.8336405664794,949.9268492509364,0.43216681480407715,817.1269311797753,1857.6065074906367,0.5306159257888794,368.3876111891386,1772.1071804775281,0.6034305095672607,1011.7237242509364,1558.453593164794,0.01782962679862976,1131.8330114700375,1901.2140098314608,0.03423589468002319,996.7866338951312,1680.5278558052435,0.009029179811477661,995.6734257958801,1730.3362008426966
5,0.7305812537670135,0.9999098777770996,529.2532040028091,458.34657361891385,0.9999507665634155,588.0513371956929,389.93017761001875,0.9998741149902344,473.6705582865169,406.5689738412922,0.995133638381958,686.7978259597378,423.06585761938203,0.9926156997680664,389.4869937968165,438.7466350655431,0.9553440809249878,884.0862008426966,799.9562558520599,0.9568171501159668,228.70815777153564,794.2686388108615,0.9965830445289612,940.233058286517,1199.9731536750937,0.9489073753356934,114.798908590824,1192.09452539794,0.9891424179077148,995.1290379213483,1650.5083977059926,0.9987610578536987,391.2922079822098,950.1197477762173,0.3954524099826813,817.9370025749065,1860.1642965823971,0.5035967826843262,369.0849572799626,1780.843135533708,0.6389223337173462,1013.6392497659176,1559.2758075842696,0.02086794376373291,1125.5329763576779,1937.7329119850187,0.020373374223709106,1004.2990695224719,1698.168451544944,0.0076292455196380615,1117.5520833333335,1899.580699906367
6,0.7269254747559043,0.9999105930328369,531.4908854166667,458.7434530079588,0.9999485015869141,589.9852966994382,391.50050474016854,0.9998565316200256,483.5745845037453,409.61595856741576,0.9960106611251831,692.849294826779,422.21913769897003,0.9952582716941833,390.7555740870787,439.7594071863296,0.9554463624954224,890.0220915262173,801.0310598080524,0.9513790011405945,228.41972436797755,794.9697155898876,0.9977908134460449,942.5422811329588,1200.8802961142324,0.962200939655304,119.46439021535582,1198.2911985018727,0.9875422716140747,998.0436563670412,1657.415876638577,0.9989491701126099,392.89786692415737,950.7435773642322,0.4335985779762268,299.6664325842697,1788.9987125468165,0.42270612716674805,352.55552141853934,1798.139922752809,0.6138907670974731,1016.6763225655432,1549.4740461142324,0.018372446298599243,1125.2598314606741,1938.5662453183522,0.017606139183044434,1007.0638752340824,1700.0823677434457,0.00726589560508728,1000.6334854868915,1695.199701544944
7,0.7323056897696327,0.9999162554740906,532.1733087546817,459.7773291198502,0.9999524354934692,591.6858321629214,392.5459752457865,0.9998434782028198,483.70815777153564,410.4044504915731,0.9946535229682922,692.3457250702247,425.6697316830525,0.9952001571655273,389.887347846442,440.06254389044943,0.951801061630249,890.2014571629213,800.9623712546817,0.9516257047653198,230.75813436329588,796.2022325608615,0.9981353282928467,941.7442064606741,1202.7973577949438,0.9511168003082275,118.8355132256554,1200.2167456694756,0.9890539646148682,999.519692181648,1660.256173923221,0.9988401532173157,394.9295558286517,950.8170207162922,0.4256526231765747,283.9103464419476,1776.3104225187267,0.5133894085884094,370.01068000936334,1781.7496196161048,0.6396862268447876,1020.128599016854,1543.0727703651685,0.017220616340637207,1127.3794475655432,1939.8819346910113,0.016109466552734375,1007.1716994382023,1701.1633895131088,0.00699952244758606,1004.7268551029963,1694.9966350655432
8,0.7331095565767849,0.9999251365661621,534.0639630149813,460.977732911985,0.9999538064002991,592.7068703183521,393.61148905664794,0.9998706579208374,483.88810861423224,411.3813055945693,0.9952901005744934,693.6040642556179,425.7636572448502,0.9961372017860413,392.9661165730338,443.2307394077715,0.9518065452575684,890.0583742977528,800.6552112593633,0.9520120620727539,231.1674128043071,797.8356887874533,0.9986221790313721,939.375,1206.3301000702247,0.9440674781799316,121.79654582162925,1202.6081899578653,0.9895064234733582,1001.1130617977528,1661.624531835206,0.9990383386611938,398.0952276451311,952.0604371488764,0.37684619426727295,287.6936300327716,1776.3983497191011,0.4769386649131775,369.8344598548689,1846.077510533708,0.7373160123825073,1020.9212605337079,1541.405079588015,0.017155557870864868,1126.6350655430713,1940.362974016854,0.02017417550086975,1006.2583391853932,1701.8878745318352,0.008201926946640015,1005.8510358146068,1693.334064840824
9,0.7346377250026254,0.9999282360076904,536.6897823033709,462.8084035580525,0.9999532103538513,594.9115607443821,394.21443410580525,0.9998677968978882,484.16673981741576,412.0137669709738,0.9932941198348999,694.4288389513108,425.98204880617976,0.9941877126693726,394.4152329119851,439.65589887640454,0.9500016570091248,890.8012933052435,800.4771623361423,0.9528712034225464,234.71866221910113,797.0397354868915,0.9986650943756104,941.2110838014983,1206.1147442649813,0.9082903861999512,124.33151187968167,1203.223753511236,0.9887314438819885,1001.7518141385767,1662.259626638577,0.9991674423217773,399.8264132724719,952.5664208801498,0.4156002998352051,291.9451515683521,1782.9528031367042,0.4821862578392029,371.66249707397003,1778.375468164794,0.7589094042778015,1020.5026919475656,1541.4979810393259,0.018709242343902588,1126.9272296348315,1939.126726357678,0.02207249402999878,1007.274695692884,1704.44844335206,0.00640532374382019,1006.2341994382023,1699.358906835206
